http://movie.douban.com/subject/4967578/	秘密花园 시크릿 가든
(5星)	 玄彬他怎么就那么帅?            
(4星)	 竟然看得我热血沸腾= = N年没看韩剧的人啊            
(5星)	 靠 又变帅了！！            
(4星)	 N年不追韩剧的人，这回又芭蕉了。。。三石可以跟千秋SAMA组个脱水蔬菜二人组。。。            
(NA)	 你的脸怎么了？！！！！            
(5星)	 瘦成这样，我依然爱你            
(3星)	 玄彬减肥成零码男模了，胸肌酒窝腮帮子都塌陷了，前面编剧水平一直把住了，后面迅速降低水准戏耍观众智商            
(5星)	 玄彬太帅了，超可耐！            
(3星)	 玄彬的小脸消瘦成那样了。。。一集弃            
(5星)	 难得那么花痴。            
(4星)	 如果不是为了玄彬 我才不会看呢            
(4星)	 就是爱玄彬和河智苑            
(5星)	 超级好看，大力推荐            
(5星)	 剧情很好，演员演的也很好~~            
(5星)	 好想继续下去哦。。            
(5星)	 额滴神啊~~~又要开始我的无敌追局啦！希望后面能让我坚持不弃剧啊！            
(5星)	 还不错啊 打算追看            
(NA)	 还是挺有爱的呐            
(4星)	 喜欢看豪宅、美女、名牌衣服和包包，里面一堆的富二代范儿            
(4星)	 萌点好多,剧本也强忽略神棍...女二演技好狰狞,不过也比不上脸要塌了的那位母亲大人...最后还有孙艺珍!!            
(1星)	 看完美剧在看韩剧，简直要吐了，太垃圾。。。。            
(3星)	 我好像还是接受不了玄彬和三顺以外的女人在一起            
(5星)	 玄彬天生就是當社長的命            
(4星)	 结局还能更完美一点么！（能的，其实我希望他俩婚后能闲没事换换灵魂玩）另外，要是有人能跟我那样做仰卧起坐……我保证天天都做！还有，我也好想说出“其实，我就是那个炒栗子”这样的话，其实，我就是那个鸡腿菇！其实，我就是那个耙土豆！其实，我就是那个大盘鸡！            
(5星)	 终于出了部不侮辱观众审美+智商的韩剧，是韩版现代仙度蕾拉：王子还是很英俊，就是聪明点毒舌点洁癖点儿；灰姑娘依旧不起眼，是个家世身材教育背景都拿不出手的闷闷的帅气女武替。那么感动，是明白爱实在没有道理：郊外酒店一个长久的凝视，豪华派队上一个朴实长吻……玄彬演技惊人细腻。2011.1.17            
(5星)	 2010年SBS唯一值得看的一部。玄彬太贊了！！！            
(2星)	 太傻了，受不了了。编剧还有逻辑可言伐，认识自己的人物伐？居然分还这么高同学们都打出胎看的第一部片啊！            
(1星)	 虽然大家都说很好看，我努力看了两遍开头，看到第七集彻底看不下去了，一点想看的想法都没有。。。/(ㄒoㄒ)/~~我不适合这种的            
(2星)	 玄彬瘦的跟猴儿似的 这剧情简直就是大姨妈。弃。            
(4星)	 O(∩_∩)O哈哈~第6集变身之后应该蛮搞笑的O(∩_∩)O哈哈~            
(4星)	 刚看了一集，还算吸引我。            
(3星)	 看了一个月终于结束了。。这么扯的剧情我都坚持下来了，人生还有什么不能接受的吗？男猪的娘的鼻孔好大哟，林导演的身材好好哟～ps尹尚贤唱得不错            
(3星)	 “小妞，给爷乐个~不乐，那爷给你乐个。”奋斗穷酸女和2B富二代的这种老套噱头，什么时候能是个尽头。三星给第六集，本剧完全可以删减为2小时之内的电影。            
(5星)	 卖腐卖萌是可耻的！！玄彬你作为一个大龄男青年要不要那么乖！╭(╯3╰)╮            
(4星)	 拼着不写论文也要看！罪过罪过……我好喜欢20岁记忆的你  哈哈            
(5星)	 目前是5星~仰卧起坐真的秒杀我了~            
(4星)	 小玄子你怎么可以这么可爱！！ 你让我这个过了看韩剧的年龄的女人情何以堪！！             
(4星)	 别怪那些少女太动情，只怪偶像剧实在太刻骨铭心。用自己的生命去换自己爱的人的生命，你愿意吗？            
(2星)	 不好看            
(2星)	 看不下去了，什么跟什么呀            
(3星)	 哪有8.5这么好看            
(4星)	 我觉得还是挺值四颗星滴  但是我怎么都觉得玄彬整容了  河智苑残了 哎 哎 哎 怎么河智苑身材变那样了呀             
(NA)	 我要怒了！！！！！这糟烂的结局！！！！我白给予厚望了！！！！！！在16集就结局多完美！！！！！！这是接档的新剧没拍出来还是咋的啊！！！！！！！我擦！！！！！！！！！！！！这年头烂尾剧是潮流吗？！！！！！！            
(4星)	 颠覆一切韩剧模式            
(4星)	 我很少看韩剧，这部确实值得推荐，摆脱了王子爱灰姑娘然后一生一世的俗套剧情，重点是现实而且搞笑。4星是因为它还是韩剧的通病——拖沓。            
(4星)	 我操玄彬你能再JB帅点么！！！            
(4星)	 出特别篇了，NG一网打尽~~~            
(4星)	 玄彬的脸看的我心疼啊真是心疼 他妈的整成个倭瓜了!             
(2星)	 被逼着看… 棒子的东西 我这把老骨头完全托不住额啊            
(2星)	 拖沓，拍了一半，好像没剧情了。            
(5星)	 好看。玄彬是演技派            
(5星)	 为了找回少女感特意去看了当红韩剧，居然还不错。河智苑演技好是一直知道的，可是玄彬演技超乎我想象了啊！            
(5星)	 好久没看韩剧了，大结局我喜欢            
(2星)	 玄彬那小脸尖的我都不敢相认鸟~~~（泪目~~）女猪脚好帅好帅~~给2星！            
(2星)	 很莫名其妙的剧情            
(5星)	 在玄彬面前，谁不花痴就是心理生理不正常！            
(4星)	 “你是为了显高才带着脑袋来的吗？” 玄彬演技蹭蹭的            
(5星)	 口水啊口水，玄大爷不要太帅哦            
(5星)	 小玄子怎么瘦到两颊都凹陷了！！他现在给我一种弱弱的娘的感觉~~~河智苑很适合演这种自己打拼的角色，她好像很多角色都是这样的。玄彬一穿闪闪运动服整个人都变囧了，净干丢脸的事，还总让人家看他衣领上的商标~~Orz            
(5星)	 哪过看了没被玄彬迷得七荤八素直男也变弯啊！！！            
(5星)	 遇到他，就赶紧嫁了吧            
(5星)	 居然。。居然。。看哭了= =            
(3星)	 这是一出女儿和女婿被爸爸戏弄的故事，但我还是被玄彬帅到了。男主的形象树立得很成功，只是时不时会因女主附身混淆视听。流水般那段ost真不错。编剧洒狗血，追片请谨慎。支持玉木宏和玄彬组成脱水蔬菜二人组。            
(5星)	 会用眼神舌吻的男子演技和马相都是超水准~等你阿兵哥回来我还追随你            
(4星)	 人是会出现盲点的，会莫名其妙的就不喜欢一个人。所以看这部剧最初只是为了玄彬忍着看，后来，不喜欢女主的感觉没有消失但却依旧看下去的理由是剧中男一男二之间处处迸发的笑点以及玄彬同学足以掩盖一切的强大魅力。            
(2星)	 真难看，两颗星是给玄彬帅气的脸蛋儿的，起码养了姐的眼            
(5星)	 就算是玄彬，我也不能这么喜欢吧。done            
(5星)	 太好看了。。            
(4星)	 看到现在还行  玄彬太帅 太帅 太帅            
(5星)	 玄彬！玄彬！玄彬！            
(4星)	 玄彬太帅了！！！            
(5星)	 绝对是我看过中最好的一步！玄彬和河智苑的演技为什么为什么可以这么好啊啊啊啊            
(5星)	 不要结婚就这么一直都下去该多好啊，动则心痛的肝肠寸断才更好看            
(5星)	 金幼稚和吉暴力的故事            
(5星)	 其实只为了看玄彬和河智苑丫~童话故事什么的，最不可抗拒了！            
(3星)	 瘦了之后的型太合胃口了！            
(3星)	 女看客都会觉得玄彬很梦幻吧。。。故事很让我想快进。。。搞笑的片段是会让人喷呢。。。            
(5星)	 加入宅男行列看起韩剧，编剧确实不错，摆脱以往的王子灰姑娘的老套剧情，20集的落差很大，前半部很苦，后半部很甜，挺赞的高潮。不过18集就够了吧，后两集纯粹凑集数的吧            
(5星)	 真美好，玄彬令人心动。河智苑的演技很流畅。哎哟哎哟。            
(NA)	 真是少数几部完全看完的泡菜剧啊            
(4星)	 值得一看的爱情片！            
(5星)	 五颗星都给玄彬。本来没觉得玄彬好看，结果看来看去，越看越可爱了            
(3星)	 听宿舍的姑娘们看 我就算看完了= =            
(5星)	 玄彬,你从什么时候开始这么帅的?去年吗?            
(NA)	 最后一集真没劲。。整个就是看玄彬和衣服。。            
(5星)	 有没有人再那么一个小小的瞬间，想起了童年时看过的……叫神马的那个动画片……乱马1/2……            
(4星)	 小玄子的吐槽角色太有爱了啊！！！            
(5星)	 今后不管你做什么我都喜欢，不管你做什么我都能原谅你。玄彬真的太帅了哈哈~            
(5星)	 年度最佳韩剧 我投给你！玄彬小子 你哪次能让人失望呢 唉 我真是喜欢你 喜欢得没话说了 啥时出新剧新电影什么的 通知一声啊！            
(5星)	 讓我花癡死吧！            
(3星)	 河智苑还是一样的好看，在里面还很有型，剧情还狗血，所以我是去看人的。男主角的脸太瘦了，但他在里面的性格很可爱，但是他的演技很好，变成女主角的时候演得很像。男主角的那个明星表哥也很搞笑，爱耍酷但傻傻的，面对昔日的恋人却深情起来。最后几集很好看，我竟然也被感动了。            
(5星)	 每次看到优秀的韩剧，总恨不得与全世界分享            
(4星)	 你妹的玄冰 又一次把我迷个半死~~~~~~~~            
(4星)	 弱弱的说，欢乐死我了            
(5星)	 真的是好久好久以来在剧情上最让我拍手叫好的一个~            
(5星)	 这是2010年最好看的韩剧，毫无疑问，史无前例            
(4星)	 一切为了玄彬。。。。            
(5星)	 本年度最好看的片莫过于此了。            
(4星)	 烂尾了。但是其实前10集还是不错的～大粉红也都是不错的            
(5星)	 好久没这么给力的韩剧了。            
(4星)	 喜欢河智苑啊            
(5星)	 很喜欢里面的细枝末节 我最爱的河智苑            
(5星)	 玄彬演的太棒了(～￣▽￣)～            
(5星)	 玄彬同學的妙語連珠般“惡毒與高傲”已經讓我徹底倒下，另外編劇差一点就要在這部戲裡樹立一個偶像劇里程碑，可惜歸可惜，可是萌的點對味，就行了。            
(3星)	 还好，看着还可以，只是女主角不欣赏，大概是太没有感觉了吧。阿三哥还是那么的可爱，不是因为帅帅的外形，是因为多变而又可爱的表情，总是让人难忘的眼神。剧中最大的看点就是阿三哥，当然，最近迷恋浪漫的感觉也是诱因            
(5星)	 我终于抵挡不住玄彬的魅力，又开始了扒韩剧了- -            
(3星)	 又见集团公子哥和平民灰姑娘的故事            
(4星)	 造型，造型啊~~            
(5星)	 编剧简直太强悍了。情节紧凑，环环紧扣。            
(4星)	 越看越好看。觉得。            
(5星)	 大爱河智苑            
(5星)	 玄彬人要不要这么帅！！！！声音要不要这么好听！！！！演技要不要这么赞！！！！            
(3星)	 演技啊。。。            
(5星)	 拜託 韓劇的這些海報能不能別太難看啊.. 這部劇成功的原因,首先絕對是編劇,然後是導演,再來是演員.所以,花癡們不要光是花癡明星了..再補充一下,玄彬的帥還要感謝造型師,不信你去看看金三順時候的他..            
(5星)	 强烈推荐，每集都精彩。            
(4星)	 应该叫做“命中注定我爱你”。            
(NA)	 真的很不错~！不用睬那些鄙视韩剧这个不看那个不看，嫌掉价的人。。。狗血中也有的极品的！            
(4星)	 今年追的韩剧未免也太多了吧。。。。这剧的成功编剧功不可没，台词啊剧情啊都很妙又丝丝相扣，该狗血的地方也毫不含糊。。。韩剧都进步那么多了，为嘛咱的偶像剧还是各种模仿各种抄袭各种天雷滚滚呢！！            
(5星)	 现在好编剧的难度系数越来越高了。男主除了必须的美貌、富有、聪明外，还要恰到好处地任性、幼稚、毒舌、洁癖，最重要当然还是单纯和痴情。富有童话色彩的交换灵魂/肉体，当然是为了最后以命换命铺设的梗。如果再加上男主失忆穿越回少年，所有恶习依旧，所有爱恨依旧，那么这出戏不大红也难了。            
(5星)	 我居然也爱看韩剧了，说明这部真的好看            
(4星)	 基本不看韩剧，为看美男，果然被电晕。            
(5星)	 许久不看韩剧，这部够有型的，有型的好像金朱元那件闪闪亮的运动衣，尽管最后我们发现某夜总会小弟穿的也是这个...的仿款。PS,好久不见玄彬&amp;河智苑，这戏里他两很有爱~丢丢丢丢~            
(5星)	 &#34;喂 那怎么办&#34; &#34;什么怎么办 方法只有一个 就是你爱我爱的死去活来 我爱你爱的疯疯癫癫&#34;   啊 我也好想两个人裹在被子里看雪景！混蛋！害我春风吹流眼泪的童话！            
(5星)	 只有这一次，没法不给五颗星            
(5星)	 金洙元，你的妄想症，你的抽风，你的帅、你的高智商、你的幼稚、你的毒舌、你的王子病、你的痴情、你的胡搅蛮缠怎么都这么可爱呢？（终于追完了，韩剧还是不能追）            
(NA)	 我無聊了！！！            
(4星)	 好好的虐心剧5集之后突然变成奇幻喜剧了。。。玄彬虽然长残了 但做出娇羞的表情还是很萌的！！！看了最后一集特么好想结婚！！            
(4星)	 编剧很厉害啊 彻底童话了 基本无坏人 很欢乐 目前看到悲伤了 但是我觉得吧 这个作者不会悲剧收 高水平            
(4星)	 2011.01真的是最好看的韩剧，第一次听到好听的韩语歌曲            
(4星)	 我是为了闪闪得运动服，还有女版闪闪运动服而来得！！！            
(5星)	 這麼多年來第一次追的棒子劇 也是這麼多年來一直無感玄彬突然變得好帥氣好喜歡 ps河智苑不是挺好的么            
(5星)	 真是很难找到一部片，男主女主，男二女二全都这么讨人喜欢啊            
(5星)	 给力！台词是亮点。两个主角表演都很出彩，男2也意外的可爱。我觉得我爱上玄彬了。            
(4星)	 演员太对我胃口了 嗷嗷 要不是结局太过幸福甜蜜 能再给多一星             
(2星)	 是我下的字幕组翻译有问题还是真的剧情有问题，台词太跳tone了，跟不上……            
(5星)	 童话中有理智~~理智得又很疯狂~~疯狂得有点现实~~现实得还像童话~~            
(5星)	 太好看了！！！！小彬彬和小苑苑都很赞啊！在拧巴型剧情中脱颖而出哇，力推~            
(5星)	 以为爆点在于男女主灵魂交换，NO，就是精装版杉菜和道明寺嘛！男主贵在那么有钱还那么幼稚那么贱。这剧的台词功底太强大了，暴多冷幽默！男主就是道明寺、入江直树、黄泰京的加强版，更毒舌、更机车、更幼稚、更猥琐、更别扭、更装B！前四集就是男一号的毒舌脱口秀和男二号丢脸集锦。            
(5星)	 又完结一部心头好 各种不舍            
(4星)	 最后一集真是令人发指的甜蜜呀~            
(5星)	 我追的第一部韩剧……            
(5星)	 爱情会回来的，相爱的人会相遇。            
(4星)	 看着玄彬的眼神忍不住心动，暧昧情愫搔人痒~            
(4星)	 玄彬这次的角色真是太可爱啦~哈哈哈！            
(4星)	 玄彬瘦的难看啦 河智苑胖的也难看啦            
(5星)	 永远永远爱着21岁时的金周元。祝你幸福。            
(4星)	 高开低走……            
(4星)	 蛮有想象力也很写实的剧情。主线和支线都不错。结局很好。诚意之作。            
