http://movie.douban.com/subject/5247088/	法证先锋3 法證先鋒Ⅲ
(5星)	 我只想说徐子珊真是厉害，无线再怎么捧也捧不红她，她的很多角色都特别好，我估计机会让给别人，都不晓得红了多少人了            
(2星)	  我要欧阳震华  再老再秃我也要            
(5星)	 还不错呀,大家为什么要反感徐子珊?            
(4星)	 看完美剧后，这个……实在是……太小case了            
(4星)	 很多人都不喜欢徐子珊，但是我觉得她没有那么讨人厌啊。还蛮漂亮的，在里面角色也很顺眼啊            
(NA)	 没有被炸过的情侣都没有好结果。            
(4星)	 这不电视剧的人气就是用法证先锋1 2 的人气累起来的。。。吴卓羲就是来打酱油的。。。            
(2星)	 尽管有张可颐，但也替代不了欧阳，林文龙，更别提还有最烦的徐子珊，ew。            
(3星)	 法政3居然没有胖子我表示不看了！胖子可是法政系列的灵魂人物啊哎！醒哥还好，忒烦徐子珊！            
(NA)	 又有徐子珊，这回轮到了小吴同学！            
(3星)	 不是人手一部ipad就叫高科技。柴九哥还是回去演小人物吧。            
(3星)	 真讨厌，演员全换了，我的欧阳震华，林文龙，唉            
(NA)	 没欧阳震华的法政就不是法政了。。。。没打算看！！            
(2星)	 编剧请去死好吗，首先木有常识，法证就是我们所说的鉴定人是不可以干扰警察办案的只能提供鉴定意见。其次法盲，法证不经过警察自己取证、在法庭上跟律师辩论、关联人案件不回避等等，当观众是SB么。最后三观不正，现代圣母圣父本着刘三好精神神马事儿都要插一脚还要鄙视别人的人生观，痴咗边条线啊？            
(5星)	 晕。这7.9分到底怎么来的，今晚才开播好吧。豆瓣也管一管啊，没开播的剧就让别人瞎评论。。。            
(3星)	 阿sir不像阿sir，madam不像madam，张可颐不像张可颐，吴卓羲却还是吴卓羲，还好还有胡定欣            
(1星)	 比我想象中的还要差！没办法，没有了Bobby，其他人我都可以勉强容忍，但当我看到徐子珊那张脸时就毅然决然的弃！            
(3星)	 张可颐曾是最爱之一，这部戏角色却如此讨厌，不食人间烟火，生死关头都不激动下敢再不入戏一点么？感情戏更是跟谁都没火花，胡定欣的角色有魅力多了，萧正楠还是回去唱歌吧哭起来好喜剧，功夫元华配的很出彩，徐子珊人设不错，但比起蒙&amp;佘太缺气场，集体出场永远戴墨镜能看清楚毛啊，三星全给黎耀祥。            
(2星)	 装B的无聊片 我终于知道徐子3没演技 张可颐老了 吴卓义四肢发达头脑简单             
(4星)	 这么个结局是不是告诉我们可以期待4。。            
(4星)	 嘻嘻哈哈没正经的查了10个月的案，TVB终于在台庆档搞了一部“硬货”。欧阳震华换成黎耀祥是个明智的选择，两人外形实在是没法比，而且《不速之约》对欧阳震华留下的印象实在是恶劣。剧情中规中矩，就是看着够硬，舒服。            
(3星)	 第一集的感觉不温不火，黎耀祥就是个内敛的角色了。黎诺懿现在万年配了。。。            
(4星)	 我大爱一下我们可颐姐姐和黎耀祥的角色，我知道他们hold住，我在等黎太太哈哈哈。子珊还能演高级督察(﹁&#34;﹁)好像气场不够了。Ron是打酱油的咩？胡太气场我喜欢的呀。不过。。。angel干嘛要死，贼噶变态的编剧好吧。实话，没有前两部好看，但比万凰好看很多。。。            
(4星)	 當肥皂劇看看還是不錯的，也不是特別枯燥，反正無聊嘛，磨時間，徐子珊我覺得還挺好的..可能跟角色設定有關..還有就是我發現，黎耀祥啊，除了鄧萃雯其他女人站他旁邊都好奇怪啊            
(3星)	 高科技掩盖了人的智慧，法证法医已经取代了重案组。（还是第一、二部好看。            
(3星)	 每天干活儿的时候作为背景放着。。哎。。            
(5星)	 徐子珊好漂亮！！            
(4星)	 好爱子珊。            
(3星)	 其实已经一蟹不如一蟹了，不过熟女还是很好看的。            
(4星)	 终于追玩这部TVB剧了。还是有些不舍得。为什么每次很好的片子结局都要搞的很叫人痛心。最后angel@陈茵媺 一个人走了。 剩下KEN@萧正楠  多么狗血的结局啊！！！！            
(4星)	 高科技，观察力            
(4星)	 Caring,cheerful,charming,confident,creative ,不落俗套，张弛有度。剧情不作分析，如果你们要分析，怎么不去当编剧。TVB剧好看的地方是精神，永远积极向上的精神。唯一不喜欢的就是结局太悲了，Eva死了就算了，angel不用死吧。T.T            
(4星)	 嘤嘤嘤嘤嘤，tvb口味儿越来越重了~            
(3星)	 喜欢张可颐。最后一集那个小丑的案子是肿么回事?应该还有4吧。            
(NA)	 谁给我推荐的烂剧 剪辑和配乐还能再做作点吗？            
(4星)	 最喜欢的那对被拆散了。。            
(2星)	 编剧能有的毛病，这出戏全集齐了。也许还是常见的低级毛病，偷懒、不用功，导致角色面目模糊、该拍的情节欠奉、家长里短无意义的对话倒是不吝时间，这些毛病是没有任何借口的。所以不要说视帝之争黎耀祥早就摆明隔岸观火，而是他太清楚，这个戏是连一个人物都立不住的，两届视帝又如何。            
(4星)	 四星全部都是给二小姐和展鹏兄的            
(3星)	None
(5星)	 喜欢看TVB的破案片胜过CSI,有可能是我认知不够,但很大原因是TVB讲情更多,人性贯穿案件,更易入戏. 就像我热爱小人物剧情片大过场面好看的科幻片一样.还有我脚着我的进步是,看法1法2时不一定次次猜准罪犯,但法3时已炉火纯青,案件一发生便已猜对最后犯案人,虽能抓住编剧的构思,但仍不觉无聊便是一个情字在            
(3星)	 烂尾            
(NA)	 咦 好像从中间就不想看了 反正各种秀高科技= =  friendbook metube什么的真是够了！！！！！！            
(3星)	 =_____=            
(4星)	 最后又留尾噢　我５介意依然系呢班人演～            
(3星)	 全剧亮点必须是萧正楠。            
(NA)	 哦也  终于出来了            
(3星)	 我觉得整部戏最强的应该是雯雯吧特别是最后就莫名其妙的接受了天使妈咪。。。            
(4星)	 破案的全是法医  警察只管捉人了            
(3星)	 3.5            
(3星)	 每次出场都要摆POSE，太装模作样了；律师和法政两夫妻天生一对硬要被拆开，最后胡定欣还要死于非命来成全张可颐，靠！结尾仓促又急刹车的感觉还要死多一个女的，真是各种吐槽点。            
(4星)	 张二小姐登场必须支持！！吴卓羲+徐子珊 我喜欢！            
(4星)	 tvb就是这种剧情片我最爱            
(3星)	 的確沒有前面兩部來的精彩，而且最大的硬傷就是把法政同法醫刻畫的太過神化，缺乏真實感。AK的有愛是很多人的共識，可惜編劇，唉。雖然我是醒哥的粉，但是陳展鵬睿智男也很有愛吶，覺得Jim同Mandy更加相襯。            
(2星)	 黎耀祥真演不了心思细腻的人，每次红着鼻子出镜我都怀疑他是不是酒后上工；室内场景布置好怪，选角特别颠覆；连结局都没给我一个可看可想的剧情，TVB果然是不能指望啊！~            
(3星)	 一直觉得胡定欣长得怪，脸怎么看都是歪的。            
(3星)	 华董原来只是一个路人！！！！！             
(4星)	 徐子珊好看好多            
(4星)	 终于更新完了，这坑爹的结局，Angel蛮好的编剧为什么要给写死啊！我已经不想再期待第4部了。            
(4星)	 算不错啦。            
(2星)	 不好看。。。。感情戏这么多。。一点都不专业！            
(5星)	 吴卓羲。哦拉拉。            
(NA)	 TVB老套路，不过就是因为老套路才会一直毒害我=V=            
(NA)	 珍惜眼前人            
(3星)	 无所不能的张可颐你告诉我2012来了我应该往左跑还是往右跑？            
(2星)	 这部电视剧把警察拍成了傻瓜，推理和查案变成了是法医和法证的工作，因为黎耀祥和张可颐要演男女主角所以就牺牲了警察那一方令我觉得太假了。而且我感觉欧阳震华比黎耀祥更适合这个角色，徐子珊和吴卓羲就看得已经很腻了。            
(4星)	 又看完一部 接下来tvb出什么剧呢?            
(4星)	 说实话，随便看看吧，因为张可颐和黎耀祥，才多加了1个星，徐子珊挺好看的，但是演Madam明显hold不住啊，不如佘诗曼。现在技术展示的太牵强了。电子产品同样，没有平板电脑就干不了活了吗。很对得起名字中的法政二字，破案基本就靠无所不知的法证，警察完全花瓶，法证太神化了。凑合看吧            
(4星)	 始终没有以前那么好看了。            
(NA)	 个人觉得感情线比罪案线好点   人生无常 珍惜眼前人啊亲  真是结尾了都要集体戴个黑超穿个西装走个台步。。。            
(4星)	 没了欧阳震华的法政总觉得少了点什么            
(4星)	 法政3要变成溏心2了！！！！！！！！！！！！10集破案，20集情感财产纠葛!!            
(4星)	 一早就猜着他们三对，不过可惜那对欢喜冤家 女的还是死了。            
(4星)	 Mandy和Jim的朋友关系。不过这结局就这么没了?还是还有四?            
(4星)	 还会有第四部的吧！！！最后留的悬念好棒！！！            
(3星)	 算了 别拍续集了 永远是狗尾续貂            
(3星)	 没有欧阳胖胖什么都没意思了            
(3星)	 我其实是看到一半扔掉了。印象最深刻的就是布sir和老婆在庭上对垒的那段。            
(NA)	 假牛片~            
(4星)	 本以為換了演員會沒興趣 但還是看到非常津津有味啊            
(4星)	 刚开始觉得木有1、2好看，看完还蛮期待续集的。。。好喜欢萧正楠和吴卓羲啊&gt;&lt;            
(3星)	 Angel死了T_T  太虐心了T_T  編劇們是壞人T_T            
(NA)	 悲剧个毛么！很看好的一对被编剧拆散，叙事则是下套让观众追着看谜底。CSI破案技术检测出双面胶四指全部的指纹就假的离谱了。法医尸检不拍全尸不给力啊！赞助一个劲儿打广告，fashion + investigation runway.            
(3星)	 来一起吐个槽吧            
(3星)	 场景剧的FU太重了！            
(NA)	 最后两集好渣啊……            
(3星)	 为什么最后都要死个人呢 大团圆那么难么            
(4星)	 张可颐真的老了，黎耀祥还是比欧阳震华差那么一点点            
(3星)	 怎么样都不喜欢徐子珊。。。            
(3星)	 演员好像从头到尾都没有入戏，特别是黎耀祥的布国栋，完全就是为了成全mandy的王子梦而存在。其他人都在神游酱油，除了高sir。案件也以猎奇向为主，多平淡收尾，梅小青也太保守了吧！最后一个案子很突兀，而且港剧中类似的用过很多，于是整部整个片子就头重脚轻了。            
(3星)	 离婚也难破亲人必死咒语。热闹婚礼都无法进行下去，追车时明明白昼转瞬黑漆，危险都在铁皮屋里。不论点精英难免一死，不想有雷同都会撞结局，不讲伤心史都有危机24小时。谁用骨灰惦记，谁收Call后聚集，然后众人被CHOK低。             
(3星)	 刷牙洗脸良伴            
(4星)	 果然一幫活菩薩還是要死幾個才夠狗血啊...西九龍重案組高級督察凌倩兒重頭到尾就一條皮褲仲要處處扮chok真系難為妳了...............加一星是因為這劇多多少少治愈過我......            
(4星)	 说实话让我印象最深刻的还是#鉴证实录# 到了现在 好多剧情我都记得 不过法政也不错啦 TVB破案剧一直都是我心头好             
(3星)	 一顆星給黎耀祥，一顆星給張可頤，劇情真是太差了，好難得有那麼難看的劇，而且是這麼難看的台慶劇。。。浪費了演員！            
(2星)	 這貨居然還是台慶劇，TVB是有多頹廢！編輯是不是都給菊爆至腦殘才寫出這種劇本來~請問法證可以自己查案的嗎？還讓我喜歡的胡定欣最後被變態佬亂刀插死……傻逼編劇，我插死你好嗎？            
(3星)	 高科技 好先进~            
(3星)	 主角不谈情专心办案头十几集觉得还不错看，越往后越寡淡。AK这么萌的一对只因为是配角（？）就给杯具掉太残念了好吗。            
(3星)	 终于追完了！啊！国考后把法证2补下好了！            
(NA)	 不知道该打多少分……觉得案情啥的有些还不错~~但是醒哥这角色带入不能啊……怎么看都比较喜欢欧阳震华……ipad展示和英文名加化学名的装x模式到后面剧少多了……庆幸庆幸啊…………            
(5星)	 追。            
(4星)	 墨镜墨镜墨镜，英文英文英文。            
(5星)	None
(4星)	 结局有够赶的            
(4星)	 最后的场面太好笑了，哈哈！            
(3星)	 结局告诉我们秀恩爱都是要用命偿的 虽然我的小可爱死了我很难过            
(2星)	 我也不想看了……等黑楼剪傲娇的片段……            
(1星)	 看不下去了 无数细节互动抄袭借鉴R&amp;I 还抄的这么雷 再看我要吐了- -            
(3星)	 坑爹            
(2星)	 一群人端着装B，完全没有前两部的精华            
(4星)	 無功無過。            
(4星)	 一开始觉得很不习惯，看久了也觉得挺不错的。            
(3星)	 最无感情侣档            
(2星)	 欧阳震华都没了。。还怎么先锋啊。。。。            
(4星)	 怎么人都换了，老子的欧阳震华呢！            
(3星)	 结局实在坑爹啊~            
(3星)	 每次在查案的高潮音乐我都恍惚以为是凤凰传奇！！！结局简直痴比中的战斗机嘛！！那么喜欢爆炸！！Angel死的时候那表情假中之假！哎，最后两集毁了整个片子，            
(3星)	 对结局简直吐槽无能了....            
(3星)	 每次都是哈尼看的时候我在旁边烦他 我每次看他看电视很认真都很想撒撒他 所以我也没怎么看。。。            
(3星)	 我喜欢前几集这种快节奏！不过剧情有点简单，我一下就猜出凶手是谁了。//祥仔现在都扮帅哥扮精英人士，我都快忘记他猪八戒时的憨厚可爱了。徐子珊一点也没有madam的范儿，跟个村姑似的！            
(4星)	 黎耀祥张可颐吴卓羲徐子珊陈茵薇萧正楠都爱啊，尤其这部戏对徐子珊大改观，越看越顺眼。前半截的以感情戏为主，案情戏为辅，最后一个案子揪心，Eva和Angel的死又让人难过又没必要：（            
(4星)	 其实我很爱，一和二...            
(4星)	 對pro sir 和doctor 鐘的精神愛情很是羡慕。            
(3星)	 2月中。随便看看的。如果没有CSI，也许我会觉得它是一部很棒的剧，但因为珠玉在前，它未免显得有点山寨。徐子淇在里面好漂亮，和吴卓羲也很般配嘛！黎耀祥我可是看着他从小配角一点点走向“视帝”宝座的，好友感情...囧..还有张可颐..之前听说生病导致容颜憔悴，她真的和之前的样貌不一样了！            
(3星)	 编剧必须是有病……            
(3星)	 火车上看过            
(3星)	 没有12好看啊            
(4星)	 TVB最擅长的不温不火，演员都是不功不过，整部剧也都是不温不火，总觉得缺少了点激情，不过演angel的很喜欢            
(NA)	 唔。。。。。全宿舍追剧时光。。。为了宿舍生活。加分！            
(4星)	 能让我一集一集追着看的电视剧，定然是好的            
(3星)	 没有Tim sir了            
