http://movie.douban.com/subject/5257294/	豪斯医生  第七季 House M.D. Season 7
(5星)	 ╮(╯▽╰)╭，第一集就是滚床单            
(2星)	 大失水准。            
(4星)	 他们滚了一集的床单……OTL            
(5星)	 house 终于和cuddy上床了！！            
(5星)	 前半季是确实不怎么能行的，从13集开始恢复水准。另外cuddy下一季已经不再续约了，所以这个结束方式还满奇妙的。终集水准不错。            
(5星)	 第几集会分手            
(4星)	 弃呢？还是不弃呢？还是弃呢？越来越乏味了叔叔……            
(3星)	 前半季越看越不给力啊，这还是House M.D.吗？！E13过后开始基本回归正常水准。这季里House&amp;Wison好苦逼啊！            
(1星)	 居然这么多人给五个星，真是奇了怪了。跟前面六季相比，不害臊吗？            
(5星)	 不失水准，I feel HURT.            
(NA)	 15            
(3星)	 第七季了，请你像个医务剧，别继续发展情感小纠纷了，让越来越多的疑难杂症淹没我吧~~~~            
(4星)	 走势永远令人觉得很容易就万劫不复。。。反正就是见不着他好            
(3星)	 2012-01-07 爱情戏分过重，人物行为表现出更多不一致，诊断过程留不下印象。因为缺乏对人际关系的深度挖掘，生活八卦挖光后只能换人，后来的人几乎未建立和主角之间的有效互动。彻底沦为偶像剧，主角姿态最重要。我得重温第一季，才能想起为什么当时看中这部电视剧。            
(5星)	None
(4星)	 结局无限遐想            
(4星)	 豪斯陪伴我成长            
(5星)	 a tragedy            
(5星)	 编剧越发犀利了。。            
(4星)	 house居然和Cuddy上床了 终究是耐不住寂寞了            
(4星)	 很受伤。            
(4星)	 7季就这么看完了 是一种特别的失落            
(5星)	 这季house好萌！！            
(4星)	 最后还是虐了=_,=            
(5星)	 叔你瘸着个腿也想加入中国跳水队吗？不过话说可不可以偏重诊断而不是现在偏重感情纠纷？要是叔颓了，这剧也就残了            
(5星)	 豪斯开始重视感情了            
(4星)	 编剧你...            
(NA)	 骨子裏還是温柔的混蛋。善良的混蛋。噢，混蛋在这里算是爱称吧。            
(NA)	 没精力。砍。            
(1星)	 莫名其妙了            
(5星)	 House陪伴我成长            
(5星)	 这一季从头虐到尾……            
(5星)	 &lt;23 完结&gt;这季把大叔虐的不轻啊 先是恋爱后来失恋 腿伤又加重了吧 17集里的跳楼和22集在浴缸里自己做手术的两幕太震撼了。            
(5星)	 虽然本季中间有点跳tone，但大叔还是很有爱的啊~~olive回归也中我意！            
(3星)	 所以最后一集是在影射marina abramovic么？            
(3星)	 这季不喜欢，感情纠葛不好看。            
(5星)	 越来越飞。。。            
(3星)	 高智商萝莉像是跑错了剧组，完全不像割喉女和13女那样出彩。这一季Foreman也不如过去犀利。            
(4星)	 什么也挡不住wilson对house深深的爱！！！            
(5星)	 终于又虐完一季。。。            
(5星)	 七季了，我终于为你心疼。            
(5星)	 苦逼地等待第八季，以后就只能一周看一集了，要是再搞个编剧大罢工，群众演员大罢工什么的...T T            
(5星)	 第二集的弟弟，看得我泪奔。季结的让人崩溃= =            
(5星)	 从至甜蜜到至绝望的一季。还是那个问题，做个正常人要失去自我的话，你从是不从。            
(5星)	 结局很合理! 是我也这么干!! @110603 || 还真不错~ 很有幽默感~~             
(3星)	 house的第15集果然不错            
(5星)	 Cuddy的房子活该被撞！            
(4星)	 他人即地狱。House和Alan的共同点是太了解人性，所以可以犀利、刻薄、冷酷无情（House），或者关怀、体谅、无微不至（Alan），但也因为太了解人性，让他们无可相信，无可依靠，孤独并痛苦着。（哦错了Alan有个Denny，其实House要是从了Wilson也不至于。。哈哈）            
(5星)	 现在我觉得叔不是水瓶而是天蝎。。。            
(5星)	 剧里纠结感情的都年过半百……专心的疑难杂症不好么=_=            
(4星)	 3.5            
(4星)	 没前几季好看。。            
(3星)	 诙谐了不少 很催泪            
(5星)	 不追了！！！            
(5星)	 最后一集HOUSE好可怜的有没有TAT            
(NA)	 不可以回頭了，終於。            
(4星)	 竟然没有在完结的第一时间看完……            
(3星)	 愤而三星——编剧你丫再给我往里勾兑婶儿试试！！！            
(5星)	 大叔～我们想看HW恋            
(5星)	 这季非常dramatic~            
(5星)	 Cuddy走了。。。            
(5星)	 终集 看得很痛苦...            
(5星)	 以前總覺得Cuddy等House等得好慘，結果House對她才是真愛啊TUT            
(5星)	 这结局...            
(5星)	 唯有众叛亲离，方显house威武。            
(5星)	 给五星真的是因为是偏爱……            
(4星)	 前半季开始拉家常伦理，后半季好了一点。就编剧在最后几集总是喜欢是不惊人死不休，带着一种。。大不了下季老子不干了跳槽给你看。。的感觉。            
(4星)	 大House, what are you doing???            
(NA)	 下一季没有Cuddy和Wilson了            
(4星)	 狠狠地折腾，越深爱越折腾。            
(3星)	 编剧已经疯了            
(4星)	 在追的剧集纷纷完季的夏天真是寂寞啊！            
(5星)	 House is not like always...            
(5星)	 House in Love :)            
