http://movie.douban.com/subject/5279587/	玛丽外宿中 매리는 외박중
(2星)	 真不如让男主角当女主角了。            
(3星)	 哥哥 你可以再娘一点的 你可以的            
(4星)	 文根英的脸真是残到不能在残            
(2星)	 这么脑残的剧情居然也好意思拍出来……            
(5星)	 全部集中在小帅的脸上了 。。。。其他的全部忽略~            
(2星)	 最受不了韩国人鸡消化系统一样的自言自语了。希望金材昱这次的角色不但扰人心智而且势均力敌。            
(NA)	 剧情令我相当无语。。。。完全是为了男主和男配去的            
(3星)	 目前来说好一般好无聊的剧情。要不是小根锡那张小萌脸。我觉得我肯定不会看下去。            
(2星)	 剧本烂。。文MM傻            
(3星)	 张呕吧第一集完全在卖萌，比女人更精致更风情更销魂……所幸文MM是LOLI风，和谐无冲突，文MM的嗓音很有特点哦……剧情实在小白，但其小白反而好像及时缓解了我被工作轰炸到无力说憔悴的神经。那把蔬菜真是笑死我了~~~            
(3星)	 双根实在养眼，情节实在一般            
(5星)	 真的很好看啊，看了好几遍了，张根硕完全看不到泰京的影子了，太强了，文根英演技也很好，越看越好看            
(5星)	 《玛丽》很好看啊~！！整部片都还没播完怎么就可以说不好呢？            
(5星)	 两个演员都是我喜欢的  大家看着开心就好~~            
(5星)	 大爱玛丽，大爱武玦            
(3星)	  金材昱 真是万年配角啊。。。            
(NA)	 文根英，张根锡最佳组合，早在2009SBS两个人合作主持就很养眼，期待这次擦出火花            
(4星)	 那首歌太好听了            
(5星)	 才看到第二集，男女主角还有金材昱都很养眼啊，期待更新！看着心情就好！            
(4星)	 男女主角都是童星啊!            
(5星)	 很好的演员 很有趣的韩剧 支持            
(3星)	 除了三位主角，其他我都不喜欢            
(5星)	 双根的演技真不是盖的, 超期待下周一            
(5星)	 非常好看，好期待第三集！！！！！！            
(5星)	 很不错的片子！男主角太有爱了，也很帅～很期待下一集～            
(5星)	 我觉得这部戏很搞笑，很好看。男主演的很好，女主也很可爱。            
(1星)	 真正的烂片一部            
(3星)	 韩国人真的好吵。。。吃饭的时候居然可以那么大声的说话我真无语。。还有男2。。你不会走路么请问。。男1无好感。。。我居然无聊到要看这种剧了。。            
(5星)	 想 张根锡 和 文根英 一起            
(1星)	 此剧又名:文根英退化中            
