http://movie.douban.com/subject/5320205/	拜金女王
(2星)	我是为了吴建豪进来的。。
(2星)	吴建豪怎么越来越丑了
(4星)	林楚曼是非典型拜金女，虽然本质是善良的，但很多时候，她心底那份贪财的习惯是不会改变的了吧，是的，不是本性贪财只是习惯了。当justin重新出现在她眼前的时候，也许一开始是真爱的，但在一千万的诱惑下，她眼里绽放的光芒是不会变得。最后总算都好了。故事很俗套，但好久没看完一部偶像剧了
(2星)	毁就毁在熊黛林身上了，她去拍拍电影当个女配还是不错的，在偶像剧里演女主就很奇怪了，不太讨好，演技也很一般，和吴建豪完全没有化学作用，搭在一起叫人难以入戏。其实剧情编的不错的，吴建豪突然一个反转变身穷人还是很有戏剧张力的，可惜了，女主要是换成隋棠会好很多
(4星)	看了第一集，巴黎外景，很诱人，对了，蔡康永还客串了。熊黛林演技还不错，第一部电视剧就能达到这个水平。和下一站，幸福一个导演编剧的吧，风格很像！
(3星)	陈晓东虽然老了，但侧颜无敌了啊！而且这种小言中腹黑霸气总裁的感觉好微妙啊哈哈哈~~~
(4星)	V真的帅 真心帅 噗。。其实我看了还蛮感动的 虽然主角几个说国语都不怎么流利。。熊黛林挺御姐的~噗次刻次...
(4星)	冲着它这么烂，我还能等着看就给四星嘛！
(2星)	人物设定尤其女主角很有新意，但桥段是台偶几十年如一日的幼稚无聊加狗血；私心认为熊黛林小姐没什么不妥，而吴建豪犹如马教主上身，唐禹哲看久了就也还好，其他人一律划入懒得吐槽的范围……如此剧情，OneRepublic的片头曲，Sex and the City的造型师，巴黎外景统统都是浪费……
(NA)	总算全部一集集追完了说实话虽然很狗血但是真的还是很感人的嘻嘻嘻
(5星)	很特别呀！！！怎么就是分不高呢？至少剧情不拖沓呢！
(NA)	估计又是虎头蛇尾
(NA)	女主实在接受不了，型接受不了，声音也接受不了，等不到男主出现，拖到出现，看了剧情介绍，吸引度不够，主打的时尚也不爱，暂弃，等更多评价再决定是否捡回来！亮点在蔡康永~~
(3星)	够砸钱的时装剧
(2星)	放弃了
(5星)	为什么大家评语这么差，我觉得很不错啊，是近几年我唯一能看进去的偶像剧。
(2星)	台剧依旧很低能，不就是部广告片吗？熊黛林这种货色根本不适合演该片女主角啊。。。另，最近好多人买Chaumet对戒，难道是受了这片的影响？ 
(3星)	前期尚可，中后期拖拉乱虐，熊黛林身材演技都不错，吴建豪身材好好，微表情好动人。
(2星)	居然飞巴黎拍，居然有蔡康永，此女居然被包养~~
(2星)	熊黛林你演的这叫什么个屁
(2星)	第一集开场没一会蔡康永都出来了……本来想支持熊黛林这个南京姑娘的～发现第二集回到市井生活后完全没有看头了……
(NA)	弃，V和熊小姐无化学反应，剧本恐怕也是糟烂
(3星)	预感后面很狗血，南竹是假的。
(3星)	其实还不错啊。瞒好看的。
(4星)	其实比某些剧 好看很多啦
(4星)	一局掼蛋结束最后一集 前面好看 后面没劲
(5星)	挺喜欢的 但是pplive上被删掉了 我就只好放弃了
(2星)	看了一集不想看下去了
(NA)	1+ 泥馬90幾分一集……看不下去了
(2星)	第一集惊艳魔术师蔡康永。
(2星)	糟糕到无力吐槽了
(3星)	有些台词不错~但也看到一半。。。。。弃之了
(4星)	虽然有很多硬伤，但是陈慧翎作品中情侣之间的互动永远是我最喜欢的，同时这才是她真正的水平。
(3星)	话说看前两集的时候真心觉得熊的演技要比吴好~追着下一站过来的时候蛮喜欢吴建豪的说~这部剧还行吧，虽然中间拖沓了点。
(3星)	2011
(3星)	结局太拖拉 吴建豪身材不错
(3星)	比传统的烂套路有了点点新意，起码女猪不再是圣母，她也有七情六欲她也必须为现实考量她也有虚荣心爱美心她也需要为了得到某些牺牲某些。Vannes的演技真是无法恭维，也没比花瓶Linn出色多少，DT耍帅归耍帅，倒是清新得多
(2星)	只有熊大美人也可以看
(3星)	后期做作的要死，太做作了！身材好但是做作也很讨厌啊！
(NA)	真的看完了结局 却觉得没那么好了
(1星)	我居然把这个电视剧看完了，太神奇了
(3星)	零零拉拉看完了，被禁真是倒霉了，vaness运气有点糟诶。
(1星)	真的很难看，我只是为了去看vanness..
(1星)	= = 就看了一集果斷棄之~~~~ 但是，不知道爲什麽突然覺得，愛情才是世界上最奢侈的東西。。。
(4星)	我觉得雷普利小姐的剧本初衷跟这部戏有点像，但是雷普利小姐实在是用力过度了，非常不讨喜。相比之下我觉得这部台湾剧还不错哦~~ 配角阵容太强大了！！从开场的蔡康永、到犀利哥陈宇凡、再到突然出现的浪子唐禹哲，我要疯了啦~~ 结局超级减分！！！
(3星)	从4颗变成3颗
(3星)	=-=好喜欢熊黛林啊！！！好喜欢吴建豪啊！！！好喜欢巴黎啊！！！好喜欢peter啊leon啊 哈哈哈...就是好不喜欢拖拖拉拉的剧情诶
(3星)	我喜歡嚴總! 
(3星)	造型和美术堪称台湾偶像剧之最啊，但是导演和编剧那么掉链子。。
(3星)	有点搞笑的片子 编剧很脑残
(3星)	我终于看完你了…… 拖死人不偿命啊。两星半，大部分给吴建豪。
(2星)	若不是vanness，也不要看这烂片
(2星)	台偶也就刚开始几集可以看看，然后就磨叽了。
(1星)	名模不错，吴建豪横竖不顺眼，剧情又这么烂我居然看完了
(1星)	你的克拉拉, 不, 是你的克拉拉
(2星)	这么弱智的电视剧，但是爸爸海边捡垃圾那段却湿了眼。我抵抗不了亲情
(3星)	看完我更加不相信真爱了，哼！
(2星)	熊黛林演的太假了也 兩集棄
(3星)	怎么有种老熟女诱骗小男孩的感脚= =
(3星)	弱爆了，看不下去。
(2星)	我完全是为了蔡康永。。。
(1星)	作
(3星)	为什么是熊黛林，无语问苍天～～～～
(5星)	每一集看的都很纠结。唉。爱情啊。可还是相信爱情是没有任何条件的。真心难能可贵。
(3星)	感觉还好啊，偶像剧都有点狗血。
(2星)	vanness!
(1星)	1集弃
(3星)	终于完结了 吴建豪
(NA)	拍这个戏这得花多少钱啊啊啊   画面挺美  熊黛林360度无死角
(3星)	林楚曼代表了大部分女孩的心态，只是她的结局却是少之又少的happy ending，正如故事一开始所说的，我不相信奇迹，可是导演从始至终都在讲个奇迹，可是why not，浮生聊慰。ps；我始终觉得吴建豪不入戏，一直很抽离。
(4星)	被广电局封杀剧当然要看一下！！！结果没有失望！好看的！！！熊MM气场很强！！御姐风啊！！！！！！跟一般台湾偶像剧感觉不一样！！！
(3星)	比想像中好看，熊黛林樹大招風，其實演得很不錯，不應該得到這種惡評，不過她實在太高了，跟男主站在一起視覺上就是不搭，名模演戲都有這種困擾
(4星)	童话之所以成为童话 是因为美好且不切实际
(3星)	唐禹哲果然是治愈系
(3星)	吴建豪的夸张表情让我受不了  熊黛林的估计是本色出演吧
(NA)	比较喜欢严总，总觉得蔡家豪有点2
(3星)	天王嫂霸气外漏啊
(NA)	服装非常出色
(4星)	熊黛林=3=
(NA)	不错的
(1星)	吐槽无能
(3星)	我知道很多人唾弃我，但我只追求我想要的生活。爱情和面包只能二选一的时候，我选面包。没爱情可以活，没面包活不下去。真爱是什么？有保质期么有维修期么能ID防伪认证么？但我还是会装出我爱你，因为爱你才和你在一起
(2星)	两集弃，烂本子烂演员，Vanness国语可以索得更烂些吗？
(NA)	穿衣服很好看啊
(5星)	心疼林楚曼. 喜歡她的堅定,她的善良,她的可愛,她的真心
(4星)	熊黛林很可爱 吴建豪里面的形象不是很喜欢
(4星)	看前半部真是毁了吴建豪因为下一站幸福而在我心里的美好形象..好歹也是个留学巴黎读音乐的学生演的像个青涩的250..还好后半部挽回了再加上主题曲的MV真的好帅啊~不过剧里的莎夏和伊娴都比女一漂亮好多啊...anyway这个故事告诉我们真爱也是要建立在一定的物质基础上的..
(3星)	虽然近年台湾偶像剧一直想突破、有创新，但始终无法超越韩剧。究竟是剧本还是制作问题呢？不是说你开始用段CG技术有非一般了啊！
(3星)	中间还挺感人的，熊黛林挺美的，穿衣服大气，演偶像剧有点屈的感觉。看着打发时间的剧，一贯的太扯
(3星)	开始看的时候感觉还不错 但是中间真的是。。。。呵呵 杂了点   片头曲超级爱 大师的杰作就是厉害啊
(3星)	还不错吧~~剧情还挺跌宕的.....
(3星)	一小段精彩的俗套。。。
(5星)	我竟然哭了~~!!!!!!!!!!!!!!!!!!!
(3星)	没打算翻完的。但是熊MM突破想象了。演技还不错，意外。
(4星)	这个....蛮感动的啊 楚曼最后能和小提琴家在一起真的是太好了(抹泪... （（终于看完了 = =。。。好长
(2星)	熊黛林真心不会演戏，这部电视剧是洗钱用的吧。我可以忍受林依晨傻呵呵的，不能忍受这傻妹儿极其做作的表演。【头别扭地一拧，嘟着嘴小声说：我当然……幸福了，傻妹儿你可以更装吗。。。】
(5星)	冲着熊黛林和小V给的五星 前半部分搞得很墨迹 中间虐的地方有点莫名其妙 结尾的解决也喜庆得很离奇
(5星)	起码舍得花制作经费。吴建豪当然很帅。
(5星)	化妆 造型 真的很FASHION
(3星)	劇情還可以，音樂 片頭的編排的優勢都蓋過了主角蹩腳的演戲，給三星啦
(3星)	熊黛林一直卖萌中，最后拜金女不要财富要真爱，不太现实吧....这片唯一吸引我看完的就只有熊黛林的萌样。
(2星)	电视剧大都虎头蛇尾,可这部连个虎头都没有! 
