http://movie.douban.com/subject/5350046/	全部我的爱 몽땅 내사랑
(4星)	 挺不错的 因为优酷把资源删掉了 还剩下些没看完 有点遗憾~不过是不错的剧            
(NA)	 看到第11集，棄……我實在難以瞭解韓國情景劇的笑點，ps還那麼那麼長120集吶。。不是我隨便一忍就能看完的。。。            
(3星)	 不高兴 先弃了            
(5星)	 人性中的小善和小恶，一会哭一会笑的，但总归是笑的，很温馨很励志的家庭喜剧片，看了就开心。            
(2星)	 挺烂的其实，完全冲着亚当看的            
(NA)	 冲着亚当夫妇去看的，情节轻松流畅，不会太刻意地营造喜剧效果，很不错的假日休闲小品            
(3星)	 冲着亚当看的，果然金枝走了之后就不想看了，弃之~            
(5星)	 五颗星我都给孙佳仁的神眼妆了。。这部剧一定掀起了泡菜国的割双眼皮热潮。。宇宙最强反面教材女神小锦旗颁给你了！！！卖了换钱去买双眼皮贴吧！！！            
(4星)	 哈哈哈哈哈哈哈哈 笑死我了～            
(5星)	 亚当大势！！            
(NA)	 亚当赛高~~~ &gt;&lt;  第一次看韩剧 追得好累！！            
(3星)	 看到第40集弃剧~  其实剧情也还不错的 笑点也很欢乐 关键太长了实在受不了了~后面笑点也比较重复~ 室内情景剧里算三颗星吧~            
(4星)	 屎院长。。哈哈            
(3星)	 金枝留学走了就不想看了，本来一开始就是抱着看亚当的心情看的~            
(4星)	 为什么人人都冲着亚当来看。没人看到院长管家室长的可爱吗。。。            
(5星)	 真的希望在杀青的时候佳仁出现！！可是木有 TAT            
(NA)	 后哈哈哈哈哈哈后            
(NA)	 210集。            
(3星)	 亚当为了这部剧下车真可惜~剧本太幼稚了            
(4星)	 210集的日日剧，终于追完了。            
(4星)	 搞笑啊  尤其是那个单眼皮的女生 哈哈哈哈哈哈   100多集可还行 ？            
(5星)	 太可爱太可爱了~    我才看到40多集、亚当俩太默契了~  胜雅呆呆的~  全室长蛮过瘾的~     雨真老师、斗俊其实都蛮帅的~   美善阿姨跟那英姐姐也蛮刺激的~            
(NA)	 越看越无聊了。            
(5星)	 不就是我们结婚了么~~~搞的这么复杂~~亚当夫妇！！            
(5星)	 very good~            
(3星)	 没法超越《穿透屋顶HIGHKICK》            
(3星)	 打着亚当夫妇的名号捧尹胜雅。            
(3星)	 120            
(3星)	 7集弃~笑不出来了~            
(1星)	 看到第二集，没觉得多好笑==，弃            
(3星)	 越来越扯了，玉叶和顺德怎么都能有爱情了。。。。。。。            
(5星)	 太有趣了！！！集集笑疯！！！！！            
(4星)	 亚当亚当我永远的爱！！想当初从10年追到11年！！            
(3星)	 不推荐，看了60集弃了，开始看的时候挺有意思的，后来越来越没劲，哎……            
(4星)	 后面的狗血程度让我对编剧深深的无语            
(3星)	 这电视剧简直是我的噩梦啊！！我十一长假整整5天、5天啊、宅在床上不分白天黑夜的看这个坑爹的电视剧！！200多集啊！终于给看完了、            
(5星)	 最喜欢赵权跟佳仁了~            
(5星)	 太逗了~~            
(4星)	 我就这么追啊追，追啊追，从亚当夫妇还在时在追，佳人走了在追，全室长走了还在追，就这样追完了。。。            
(4星)	 推荐            
(5星)	 亚当fighting            
(3星)	 过程满搞笑，就是太长，没看完。复杂的男女关系            
(3星)	 131-190.            
(NA)	 亚当亚当！！！！只看了五集所以不评价，还是受不了日日剧的感觉~~~~            
(NA)	 看的真呀么真开心            
(5星)	 亚当夫妇大发 ~~            
(4星)	 笑点低的看了解闷儿            
(5星)	 就算后来剧情变狗血了，就算佳人最后一集没有如我所愿的露个脸我也要给五星，一年多的剧终于看完了。。。            
(4星)	 30几集吧            
(3星)	 前五十集可以看，后面是越来越乱我看到一百多点，嗯，单纯看搞笑的话还一般啦，有时候很没有逻辑，看后面的剧情似乎更~~~唉，亚当夫妇表现不错哦，嗯还有尹斗俊，很可爱            
(NA)	 轻松的家庭喜剧            
(5星)	 好好看啊~~~喜欢哦！加油！实在太多了！马上要最终了~~~也            
(3星)	 你他妈的啃爹，骗我看了150多集，操，佳人不演了。。。            
(5星)	 很有爱的情景喜剧。            
(2星)	 这剧完结了么 感觉好坎坷的剧 拍的时候出了好多事 斗俊老嗲的            
(3星)	 看了30多集，还是弃了            
(5星)	 斗斗的戏 必须的看            
(4星)	 因为赵权，我才看的            
(4星)	 纯粹未亚当夫妇而看            
(NA)	 编剧有点抽。。            
(NA)	 好吧，确实是为了亚当夫妇的延续……            
(NA)	 too long            
(4星)	 哈哈，很有趣            
(5星)	 最近下班后一直在观看更新剧情简单 人物可爱 很喜欢            
(NA)	 60集 掰掰全室长            
(5星)	 75集。弃。돼 습니다...            
(NA)	 再也没有这样一部韩剧....            
(3星)	 这坑爹的剧终于结束了。幸而是半途开始看剧，不然就要改写追《吹风日》的记录了…&gt;_&lt; 从83集开始，因陈益汉而追，此角色也是相当的成功！我会记得“问题由我来提”的全台风！有实力的人总会有适合自己的舞台！期待他更棒的表现…            
(3星)	 劇情逐漸狗血 已棄劇....            
(5星)	 是最近的生活调味料！不是说很好看，但很好笑！            
(3星)	 赵权也太难看了吧，演技烂的惊人            
(4星)	 非常短小可爱的剧。。大爱孙佳仁            
(NA)	 還蠻好笑的～            
(4星)	 永远支持亚当夫妇            
(5星)	 搞笑，又能让人思考些什么。如果碰到斗俊这样的男人，就嫁了吧            
(4星)	 我竟然默默的追了两百多集，最后应该金枝回来的，超喜欢全理事这一型的啊！            
(5星)	 看了全部我的爱才去看的亚当，你们还是那么惹人爱            
(1星)	 为亚当看的 但是已经完全看不下去了，讨厌圣母似的女主            
(5星)	 亚当夫妇的剧，支持！            
(3星)	 主演中途都流失了……不过还是感谢它给了一个大团圆的结局，这么久了            
(5星)	 权儿太可爱了~~~            
(5星)	 支持亚当            
(NA)	 我坚持了 但是太长了 不看了 - -            
(4星)	 好看            
(5星)	 一开始是为了亚当夫妇看的,看到后来完全被整个剧情吸引住了.这个电视剧虽然人物很多,但是每一个人都被描写的非常丰满,是一部令人愉快的韩国情景喜剧.可能很多人不能接受韩国电视剧的拖拉或者说是夸张的表演,这部戏的模式和美国的老友记很像,且一些细节上非常贴近生活.力推!!            
