http://movie.douban.com/subject/5395263/	男人帮
(2星)	 一个个演的真假,装什么装呀,本来还想看,看了恶心死我了```````还有那么那么那么多的植入广告```````啊!!!!!!!!!!!!!!!!!!1            
(2星)	 “我好想死啊~”你丫快去死吧孙红雷！还装嫩呐，放眼望去一片装嫩装B。。。。。看半集就受不了了，实在够了！真心看不了现在国产电视剧            
(1星)	 我估计没男的喜欢看 除非是有基情的 喜欢看的女的也是那种装小资 假白领 没男朋友 无病呻吟的 一个个磨磨唧唧 絮絮叨叨 儿女情长 裤裆里挂镰刀 装尼玛北京人 你妹的 北京人贫也不是这么贫的 一个个的围巾都长脖子上了 尼玛都是租的吧 在家不摘 吃饭不摘 牛逼你XXOO也别摘             
(1星)	 太恶心了，王珞丹太丑，孙红雷演得太二了，台词也恶心~~            
(2星)	 为什么感觉三个男人都很娘娘腔。。。。说话也好，表情也好，动作也好，都娘得要死！速度还能再拖点儿吗！镜头还能再慢点儿么！情节还能再装逼点儿么！看半天不干点正事儿。            
(1星)	 很装的电视剧，表演做作，剧本苍白，毫无创意            
(3星)	 疯狂抄袭欲望都市效果还很一般。大家之所以买帐的原因是：总算tmd有一部不是家庭战争的时装剧了！观众无不泪流满面！            
(NA)	 又一部神经兮兮秀台词的电视剧            
(2星)	 看了一集，弱爆了简直，赵宝刚在秀台词的道路上越走越远了，但是这次的编剧明显不给力。孙红雷神经兮兮的卖弄俗的不能再俗的道理，简直就是情感节目主持人。所幸几个演员还算喜欢，加一星。ps，王珞丹只适合齐刘海，露脑门的造型太城乡结合部，你看看人家姚笛，对比之下要皮肤有皮肤要五官有五官的。            
(NA)	 现在观众对电视剧要求越来越低了。。。            
(5星)	 孙红雷说：说你爱我。黄磊说：呸！然后我就想看这剧了。。。            
(2星)	 来回瞎逗闷子，仅靠冷笑话支撑，孙红雷装萌卖傻娘娘腔，很做作，赵宝刚失败之作            
(2星)	 男版山寨《欲望都市》……一个一个都那么做作，那个啥潇潇出来就雷到我了，这女的怎么进组的？完全不会演戏啊！也就黄老师能看看了，两集弃。            
(1星)	 看了两集，恶心死我了。孙红雷演现代戏，除了《征服》那一类涉案剧，只有在《半路夫妻》里面的角色还算正常，能看。            
(5星)	 基本上对大陆连续剧已经彻底没兴趣了，却无意间看到了《男人帮》，而且在短短几分钟就成功被吸引，继而追捧，继而向身边的朋友都热烈推荐。里面很多台词都现实而经典，常常让我失笑后感叹。            
(4星)	 中国男版的欲望都市，孙红雷居然娘了。不过有黄磊的剧肯定不会脑残            
(5星)	 黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊黄磊！！！不解释不解释不解释！！！绝Bi没办法淡定了。。。            
(4星)	 佰度-搜一下 万象film ， 第一个里面就有，出全集高清版了。            
(4星)	 佰度搜一下 计蒙搙影 ， 第一个里面就有全集高清。 .            
(4星)	 基情四射，腐相丛生。            
(1星)	 鄙视抄袭猜火车的经典台词            
(2星)	 真恶心的剧，孙红雷你还是去演黑社会吧，王珞丹傻缺不解释            
(1星)	 太装了，太没劲了，孙红雷演完战国，再来这个，他是快毁了！            
(1星)	 真受不了。。。编剧可以去死几死了。。。受不了孙红雷装时尚，王珞丹装淑女，王子文装小孩。。。。要不为了我们家黄磊，一分钟我就点叉叉了。。。。            
(2星)	 王珞丹丑的惨绝人寰，女演员没有一个好看的，都丑的天怒人怨            
(2星)	 明明是男人装。            
(2星)	 为了段子而段子，王罗丹那脸简直老鼠老虎傻傻分不清楚            
(1星)	 傻逼片儿，虽然我很喜欢孙红雷和黄磊。            
(2星)	 真的可以再low一点。            
(1星)	 垃圾 做作 恶心 烂剧情 无细节 没演技             
(3星)	 半集弃。我可以忍受女的话多。我不能忍受男的话多。            
(2星)	 二            
(3星)	  - - 王珞丹你他妈换两身行不我操，还有京东商城是砸了多少钱啊出现频率怎么那么高啊，里面的女的一个二个脑子没病吧太欠了            
(2星)	 剧情恶烂节奏诡异台词装逼表演造作。至于孙红雷，丑男卖萌遭雷劈，生动演绎了精神病人思维广，弱智儿童欢乐多……就萌叔黄老师比较接地气，捧哏到位奈何逗哏已疯            
(2星)	 我忍着看完了第一集，可看第二集的时候，实在是憋不住了。不想再浪费时间在这种烂片子上了。果断弃！            
(3星)	None
(3星)	 王珞丹那种土是挥之不去的 骨子里透露出来的啊 为什么老是找她演电视啊。。。            
(4星)	 普通青年：黄磊。文艺青年：汪俊。2B青年：孙。红。雷。            
(2星)	 每集都想讲一个道理，但是故事被道理架空了，太苍白，简直是苍井空            
(3星)	 冗长的旁白，别扭的剧情，暧昧的配乐加上孙红雷大哥低沉的旁白，看得我不知不觉想要睡觉。。赵宝刚作品中必定出现的假的不能再假的剧情，没这些东西就不是赵宝刚了。。。            
(2星)	 暂时比较无聊            
(3星)	 以孙红雷为首的三个身上离不了紫色和无片眼镜的看少女漫画喜欢没刘海的王珞丹娘娘腔的男人成天堆在一起试女人换女人玩女人谈女人。。真是极品            
(NA)	 看半集就受不了了，实在够了！真心看不了现在国产电视剧             
(1星)	 垃圾。。。。。。。。            
(1星)	 屎片，脑残编剧            
(1星)	 呸。  就是一种看≪读者≫≪知音≫的感觉            
(4星)	 蛮有意思的，孙红雷是男版弱版的Carrie Bradshaw~~            
(1星)	 男演员太老，女演员太假，为什么不能像韩国那样选一些正当青春的演员呢？            
(1星)	 男人帮的失败是刻意人为控制的失败。好剧让故事说道理，差剧是让道理绑架故事，扼死故事。            
(1星)	 飘起来演了。一群人都在得涩个什么劲。            
(5星)	 挺有意思的，喜欢阿千            
(NA)	 国产电视剧编剧爱把中老年观众当傻子，现在把青年观众也当傻子了。严重脱离现实，活在自己的世界里写剧本写得好嗨皮呀，广电总局这怎么不出来管管了！王珞丹真土鳖，怎么看怎么土鳖；另外我听孙红雷念文艺词儿听得直发麻，纯爷们儿咱别这样行么？            
(3星)	 我還就看上你了，娘娘腔怎麼了，裝嫩怎麼了，我活到現在，TM這還受不了，我還活個鳥            
(3星)	 比较乱……            
(NA)	 黄磊老师当年100分梦中情人，又书卷，又长发，又忧郁，《啦啦歌》那年我还念小学，就迷得不行了……虽然我敢脚他现在也很好，不过“风流总被雨打风吹去”是真理            
(3星)	 我是寻求G点才开始看的，终于看完脑子里也闪不出任何一个能供我“日”后YY的段落。更讨厌孙红雷了，超级讨厌王珞丹了，以后再也不想看赵宝刚了。同寝的一个男的，天天学顾小白在床上大喊“我好寂寞哦，我好无聊哦”我内心OS是异性恋看到你都会说：“我好想死”吧？不过至少我记住了，王子文是个女的…            
(4星)	 我喜歡米琪            
(4星)	 [二哥兵团选看剧目] 两版结局，我更倾向于第一个，有人哭有人笑的生活才是现实。            
(5星)	 最后两集给了两种截然不同得大结局 我喜欢这种创意 一种童话般圆满大结局 一种真实的 扭曲拧吧的 悲剧收场 我喜欢悲剧结局里俞飞鸿用三集戏份搏倒了二十七集的莫小闵 因为缘分是稍纵即逝的 我痛心老左因为怯懦不敢结婚失去了米琪 所以我也喜欢童话结局里米琪盼得依靠 也喜欢罗书全和Amy没有结婚就离婚             
(NA)	 1            
(3星)	 看了十分钟            
(3星)	 三大男主角，各有特点！顾小白有点神经质，人物个性比较夸张，孙红雷卖萌显得有些傻，演得不像是一个会说出经典爱情语录的专家！最喜欢傻乎乎的罗书全，貌似黄磊的戏路都是有些憨和乖的好男人！汪俊不错哇，赖赖的左永邦，把男人的那点儿贱骨头劲儿表现的淋漓尽致！女主角里最喜欢米琪，很有味道诶！            
(3星)	 让女人知道其实在男人的世界里，爱情也是他们的全部。-------放大屁去吧啊。这世界的男人要都剧里这样，世界本身早就完蛋了。            
(4星)	 俏皮而已。不过至少反映了现实。            
(4星)	 感觉有新鲜感，不是美剧 也不是传统国产剧 融合的不错，估计在价值观上，很多大妈大爷的会不认同。。            
(1星)	 眼红跟风爱情公寓，劳斯丹顿欲望都市，一个装逼编剧，三个2逼男人，一帮S逼女人。山寨也是需要点想像力的。王弱呆，孙红雷，编剧小白，一星打给黄磊老师            
(4星)	 有一篇影評說的很好，說此片不是愛情片，不是喜劇片，也不是生活倫理片，而是一部填補目前國內空白的大型都市青春印象派劇情廣告片，我是認同這個說法的。整個的文藝男寫照，另外我想說的是，米萊時期的王珞丹咋看咋順眼，現在視覺疲勞，有些非好感了，囧。             
(3星)	 就前面10集还能看 孙红雷这长相加上顾小白那性格就是我最讨厌的那种男人            
(2星)	 做作的一比。。。特么待家里又是帽子又是围巾的。。。            
(4星)	 内容很棒出版社比较差的一本教科书。。            
(4星)	 佰度搜一下 万象film ， 第一个里面就有全集了。            
(5星)	 终于看完了~喜欢喜欢喜欢            
(4星)	 男版 好想好想谈恋爱~            
(5星)	 不行不行太好看了&gt;&lt;...各种意淫            
(3星)	 这种拍摄模式中国的大爷大妈不会接受的            
(3星)	 我是来看俞飞鸿的，顺便扫一眼小巴图，哈哈哈，可爱的小胖纸~            
(1星)	 傻逼            
(3星)	 随着男人帮，和失恋33天的热映，影视剧相声化的时代要来临了。            
(5星)	 一贯抢戏的孙红雷变得神经，一贯文艺的黄磊变得懵懂，一贯严肃的汪俊变得滑稽。一贯亲和力的王珞丹更加温暖，一贯倔强的隋俊波更加柔情，一贯气质的张俪更加淡雅，一贯清丽的冯丹滢更加迷糊，一贯纯真的王子文更加幼稚，一贯浓烈的姚笛更加天真，一贯妩媚的王若心更加平实，一贯含蓄的俞飞鸿更加精致            
(4星)	None
(2星)	 啰嗦            
(2星)	 一个每天收听广播电台深夜情感热线的导演拍出来的片子能不二逼么，确定不是在误导青少年？北京台，如此主旋律的电视台居然也在播放呢，怪不得我朝青年多脑残。            
(4星)	 今晚大结局 结果周末抱着电视连哭两天 太真实了 里面角色的对话与心理好多似乎都是我过去遇到听到看到发生的翻版 导演给的两个结局无疑是成全大家心里对所有爱情最完满的理想 然而人生不可重来 从来没有如果当初...T T            
(4星)	 唯一不足就是腔调和这个国际大上海一点都不融洽。            
(4星)	 一部很残忍的电视剧·····            
(3星)	None
(1星)	 空洞的剧情，胡乱的配乐            
(3星)	 想问服装造型：每个人都必须戴围巾这一点，导演怎么交代的？为什么？            
(5星)	 刚好符合现在的心境，于是给个满分；美剧的形式移植的挺好的，没有水土不服！            
(3星)	 呵呵后            
(1星)	 太娘了、、受不了了、、、            
(3星)	 看明星讲一些网络段子还真是蛮囧的哈哈哈            
(2星)	 真心選錯演員            
(3星)	 只是肥皂剧……            
(3星)	 孙红雷神经兮兮一把年纪了还装嫩当情感顾问忒恶心了，王珞丹不适合演温柔贤惠的女子还是钱小样米莱适合她。还有特仑苏，中兴手机，汇源等一系列植入广告            
(3星)	 有点做作和浮夸啊~            
(2星)	 看到第五集，实在看不下去了，这个居然也可以叫电视剧，我这个社区中心一群老大妈排的戏都比他强，唉            
(NA)	 看了最后两集，居然还是个alternative ending……被孙红雷的腔调弄得没有看前面28集的信心。PS 一群操着京腔的人演沪上生活怎么那么别扭呢。。。导演你把故事背景挪北京吧没人怪你。。。            
(2星)	 赵宝刚该歇菜了。            
(1星)	 恶心孙红雷！！！无比恶心他！！！！！！！！            
