http://movie.douban.com/subject/5401730/	千山暮雪
(1星)	 可怜的刘恺威啊！！这么虎背熊腰又无颜的女1还真是难找啊。。            
(5星)	 我真觉得好看。女主角是个正常审美的健康美人儿，男主角演技爆棚，女二号够狠。比原著好个几十倍。            
(3星)	 摔！！！尼玛瞎了老子的狗眼？这是童雪这是童雪这是童雪这是童雪这是童雪这是童雪这是这是这是童雪童雪童雪？？？？？尼玛壁的。            
(5星)	 为什么这部电视剧还没有正式播出的时候，评分就这么低？豆瓣的机制需要改改了。            
(2星)	 给男一和咏飞，女一太丑            
(3星)	 女猪脚丑绝人寰！！！            
(5星)	 佰度搜一下 计蒙搙影 ， 第一个里面就出了全集高清版。            
(2星)	 一星给温峥嵘，气场强大，虐死女一得了，一星给刘恺威，帅死了。            
(4星)	 最后的结局很不满意，明显坑爹！            
(4星)	 佰度搜一下 万象film ， 第一个里面就有全集高清版了 .            
(2星)	 这女主……还不如让吴昕来演            
(4星)	 就是女主差了点，刘恺威太帅了＞////＜            
(1星)	 女主角不要太丑啊~~~~            
(1星)	 女主 丑 肥 没演技！            
(2星)	 减肥女人励志大戏！            
(1星)	 女猪的颜zenzen让人不忍了！！！            
(NA)	 = = 只想感慨一下……莫紹謙和蕭山都是哪裡想不開看上這個童雪了………………從顏到演技都兇殘到……歎為觀止……            
(3星)	 女主有着精纯的小三气质，将小三的匪气与霸气汇聚一身，实属难得！三星男主、女二和两老戏骨各一颗。            
(2星)	 说好的船戏呢？说好的虐恋呢？说好的商战呢？说好的美丽大方的女猪脚呢？说好的狗血剧情呢？说好的天雷滚滚呢？匪婶儿还真把自己当梁凤仪了？！真是各种坑爹，这剧雷、狗血、耍心机没一处专业的！            
(2星)	 这不是我心目中的童雪！差也差得太远了点儿~            
(4星)	 刘恺威在这里面好帅好性感，电视剧比书精彩太多了！            
(5星)	 不能因为女主角，，，对这部戏失望 那对刘恺威是在不公平了 哈哈             
(4星)	 尼玛太虐了，我真心疼莫绍谦            
(4星)	 看到后面女主也没那么雷了，刘恺威演技强大，剧情和原著比合理多了。            
(4星)	 女猪脚的外在和男一号的内在都很重口味。每个女人心中都有一个英俊的禽兽。            
(NA)	 2            
(3星)	 男主撑起了一部剧，前几集女主确实丑的很，后来还算不错了，主要是剧情好虐，虐的天天揪着心，其实剧还不错，好久没追大陆剧了            
(4星)	 昨晚谁说了句经典的话来着：总有一款总裁会潜规则你~~~！！！我觉得把应该是总有一位老总会包养你~~O(∩_∩)O哈哈~~~            
(1星)	 看到莫绍谦的头发，我瞎了，看到童雪的嘴唇，我瞎了，看了一半，忍不住了，不看了我！！！            
