http://movie.douban.com/subject/5908482/	49日 49일
(4星)	 个人认为故事完整性和情节比《秘密花园》吸引人~            
(NA)	 最后一集简直是扇了观众一耳刮子             
(5星)	 韩江迷死人啊有木有！！！            
(5星)	 难得和大众眼光不同步嘛。。我觉得这部很好看啊。。。很对我胃口嘛            
(5星)	 好看好看，南奎丽的脸太假了，越看越不自然。倒是李瑶媛更经看。坐等13集~~~            
(5星)	 我是来看郑日宇的，《搞笑一家人》的时候就最喜欢他。            
(5星)	 溺毙了！！韩江太帅！各方面...            
(3星)	 受不了南圭丽，真做作。剧情也不是我的菜，可惜了这强大的阵容。            
(4星)	 极少看棒子剧的我，竟然能够不快进的认真看起来。            
(NA)	 结局好坑爹！！！            
(5星)	 我爱苹果脸            
(5星)	 很不错的题材            
(1星)	 到19集为止我都觉得这部剧很不错，但是20集看完让我想把编剧送上电梯 = =！            
(5星)	 不错值得期待            
(NA)	 这剧真无聊            
(2星)	 虽然有郑日宇，但第一集没看完就果断放弃了，此类童话故事的变异式电视剧，对我来说是一盘难以下咽的菜。女演员们要是肯少花点心思在整脸上，多练练演技，说不定这剧还有的救。            
(NA)	 赵显宰唱了红霞.....            
(5星)	 非常好看~~顺便~女2长的真像杨千嬅啊~~眼神什么的像那个金三顺 = =            
(NA)	 就那么一个顺眼的 还不是主角= =            
(4星)	 看好大红            
(3星)	 显宰归来第一部  第一集还不错  无力感很强烈            
(2星)	 郑日宇帅呆了真是，这样的死神也太美好了吧o(*////▽////*)q我喜欢南奎丽甜甜的人偶样，超级甜美的。哎一古，我又见到了那个专业男二。。。哈哈            
(4星)	 不喜欢南,总觉得假.来跳着看李瑶媛.            
(4星)	 有佛教的概念在里边 。            
(5星)	 我到这个世间再走一遭并不是为了找回我的爱人，而是为了放开他们。爱的结局不是相守而是自由。 ///  几年来看过的最喜欢的韩剧 /// 虽然从文学上说南奎丽郑日宇是男女1，但是从演技上说…不承认南奎丽啊太次了！ /// 赵显宰和李瑶媛……太他妈让我心动了！！！暗恋题材抵抗无能啊！！            
(2星)	 所以我是有多脑残连这个都看完了。。各种狗血+无趣            
(3星)	 把李允浩还给我！            
(5星)	 淚點好低哭得死去活來            
(4星)	 不得不说，这还是一部很吸引人的片子。            
(NA)	 e17弃，郑日宇这个人设彻底失败了            
(NA)	 49天 三滴纯度100%的眼泪 寻找生命中的真爱            
(NA)	 最后一集真是要死了。。。。            
(NA)	 无感啊。这种灵魂出窍的故事，对我一点吸引力也没有。            
(5星)	 看完了~~~~~~~~~！！！！！！！！            
(4星)	 有点磨叽，好几集都快进看的。但是总的来说还是不错吧，很拖沓，但是也有新颖的地方。            
(5星)	 郑日宇，香一个╭(╯3╰)╮            
(3星)	 百度贴吧真是场闹剧            
(NA)	 这故事告诉我们，还是有那些理想中的完人，爱灵魂多于样貌，起码这一点是难得的，编剧有了新的立意。李瑶媛淑女装真是不如古装假小子或者女王像，跟金南佶飙戏要比和小女孩来得痛快吧。            
(5星)	 你永远不会猜到下一步会发生什么 剧情太吸引人了 大爱江呀 很可靠的男人 李MM的演技很不错            
(4星)	 剧情挺特别的！            
(3星)	 女主角好像瓷娃娃            
(1星)	 那女的整的太恶心了。完全看不下去。            
(4星)	 好久不看韩剧了，总觉得千篇一律，尤其是爱情剧，但是这部还真蛮有新意的，暗藏的线索，让结局呈现多重开放性，真是很少见到这么好的创意，演员也还都可以接受，不错，推荐。。。            
(4星)	 从头虐到尾啊~为了女主角给四星~            
(4星)	 李瑶媛很漂亮，丁一宇很有型，故事很狗血，不过伊景伊秀的故事还是把我看哭了。            
(4星)	 看这剧纯粹是找抽            
(5星)	 最后几集简直就是无法控制的泪奔T___T 尤其是伊秀和伊景的爱情，还有韩江的守护深情。个人觉得这样的结局才真实，还蛮喜欢的。            
(4星)	 你浪费的今天，是昨天死去人奢望的明天；你厌恶的现在，是未来的你回不去的曾经。            
(5星)	 55555……攢人淚下嘛……55555……            
(4星)	 - -反正我每次哭的都是一笔屎...            
(4星)	 这是近期看过的最好看的韩剧，推荐大家都来看。不提剧情中俗套拖沓的部分，设定非常吸引人了。            
(4星)	 那就把未来的每一天都当末日来过吧。            
(4星)	 一叔一正太 两个都可爱！又看上一个叔。。。。。。            
(NA)	 近期看过的最好的韩剧了。个人觉得比城市猎人还要精彩。            
(4星)	 好喜欢赵显宰阿！题材不错，结局有点弱，算不错的剧呐~            
(5星)	 难得看到这样题材的韩剧，很新颖~             
(5星)	 大推薦!!!!劇情好棒!!!!愛情故事超感人!!!后幾集都在哭好沒出息阿!!!無人意料的結局!!!!每一天要當只有49天生命來活做些更有意義的事情!!!親情友情和愛情同樣都很偉大!!!!TTTTT            
(5星)	 不是纯粹的爱情片，内容很深刻~~            
(4星)	 还是很值得推荐的一部剧呢。怎么说呢。挺不错的。            
(5星)	 很好看。结尾稍微仓促了。            
(4星)	 看杂志介绍看得又一部韩剧，能让我一口气看完就还是不错的，比较DJ李瑶媛这种气质类型的            
(5星)	 嫁人当嫁韩江xi~！            
(5星)	 虽然有人说看了结局想把编剧送上电梯。。。但是我还是觉得这样结束也很不错。。。故事很紧凑。。情节发展也比较快。。。又是一枚催泪弹。。。。            
(4星)	 如果是我，我能找到真心流泪的3个人吗            
(NA)	 10.一个单纯的甜美系女生，一个挂着苦逼脸的女生。            
(5星)	 在办公室狂抽纸巾。。。鼻涕一把眼泪一把啊。。。最近哭点这么高还能哭成这样。。。最后几集真的不得不给5颗心啊            
(5星)	 真好  太好了            
(4星)	 唯一的败笔，就是坏女人还不够给力啊。。。。            
(5星)	 苏贤京作家继《检察官公主》又一好剧，李瑶媛完全演技派！期待今年的大赏~~~            
(NA)	 拖着看完了……            
(4星)	 至少是个新颖的题材            
(4星)	 韩国演员整容太坑爹，男一赵显宰像陆毅，男二裴秀彬像囧版安在旭，女一南奎丽整得像个太假的SD，女二李瑶媛像牛莉和杨千桦的合体，女三徐智慧像林心如……看这片就像在看超级明星脸- -            
(5星)	 非常特别的一个韩剧 虽然很荒诞 但能让人思考很多 强烈推荐            
(4星)	 1、人的命数是上辈子的造化，这辈子所做的一切无论好坏都决定着下辈子，所以自醒自己的行为，也同时不要抱怨这辈子遭遇的不幸。2、出来混迟早要还的，即使无意的行为也是有因果的。3、将幸福炫耀于不幸人的眼前是一种伤害。4、当你离世时除血亲外还能得到三滴以上真心的泪是人生旅途最后的华彩            
(5星)	 结局很狗血 烂！！害我期待结局那么久            
(3星)	 结局的大反转实在有些狗血，想把每个故事的支线都交代清楚，反而画蛇添N足，不要去在意它的各种硬伤，作为消磨时间还算是个不错的韩剧~~            
(5星)	 你虚度的今生，是昨天死去的人无比渴望的明天            
(4星)	 為毛不是happy ending啊！！！淚奔。。。            
(4星)	 这部剧还算有想法            
(3星)	 其实我发觉韩剧剧情再怎么离奇，感情的逻辑都是由编剧随便决定的额。。。            
(5星)	 额，觉得和一般的韩国偶像剧不一样，这个呢感动但是不空洞，内容丰满，情节也紧凑。李瑶媛演技还真是厉害啊。            
(5星)	 很喜欢时间使者  剧情超赞  手机满好玩的             
(5星)	 剧情设定很新颖，灿烂的编剧，一贯的风格，剧情节奏相当不错，有关谎言和背叛。            
(4星)	 李瑶媛的表演很精彩。。。对于一向烂尾的韩剧很期待这部剧的结尾。。            
(4星)	 结局确实狗血了点。。。只是。。。前面挺好看的。。            
(4星)	 ★★★☆            
(5星)	 很赞诶。            
(5星)	 时间天使，爱死你了            
(4星)	 扔给我“来人世间走这一趟到底是为了什么”这个问题的电视剧 李瑶媛的演技赞呀 小赵虽变老赵了 还是很有魅力呀~            
(5星)	 如果忘不了就一直思恋。             
(4星)	 狗血的结局！！！！！！！！！！            
(4星)	 T^T...BJ真的很牛逼..结局的大反转活生生把一部奇幻爱情剧变成了励志剧！！瞬间提升一个档次有木有！~~话说还第一次遇到男一配女二的诶~╮(￣▽￣&#34;)╭            
(4星)	 美女上錯身韓國版            
(4星)	 怎么老是这样的剧情            
(4星)	 趙顯宰瘦下來的臉沒有以前那樣討人嫌了，原來戲份很多還是壓在李媛熙身上，未婚夫長的很奇怪，從選擇的最初知道有牽連，到逐漸抽絲剝繭，其實內容并沒有太多創新，只是通過一個靈魂的發現，把老湯重新煲一煲。至於出彩的，自然是調度員同學了，可以研究一下他的臺詞，是最有深意的。            
(5星)	 真的未必看得见 看见的未必是真的            
(3星)	 结局真特么的出乎意料            
(NA)	 【2011-03-16】            
(NA)	 肥皂剧编剧范本            
(5星)	 我们不都是生命的旅行者么，长短深浅都罢，在世上爱过恨过的人，下辈子都不会见面，珍惜眼前吧。            
(4星)	 我看到了周杰伦            
(3星)	 泥马。。。。多年不看韩剧。。。三星给最抓狂的Schedulizer~~            
(5星)	 尽量珍惜活着的每一天吧。爱家人，爱自己，爱朋友。            
(3星)	 许姐姐荐的~还行吧。。还是那套路            
(NA)	 真心爱的有几个。            
(4星)	 唉 结果真让我没想到啊 也有人借我的身体了吗            
(2星)	 韩剧的结局总是很敷衍观众~把看了前面19集的观众智商当零，实在是坑爹！            
(3星)	 2011            
(4星)	 剧本还不错。丁一宇很深情，只不过眼角开得有点过了，双眼皮也是。当初看的时候心说很想看这个大哥演喜剧啊感觉他很适合演八嘎花美男啊，然后就有了拉面馆儿            
(5星)	 真的是没想到我看下来了 并且看完了 。恩 智贤真漂亮            
(5星)	 ....            
(4星)	 前几集不是很带劲，后面越来越好看，调度员跟宋伊景的故事慢慢浮出水面是我最喜欢的部分，恢复记忆相见又分离看的我泪流满面。 T T            
(4星)	 用5年的时光再换回一次相遇  了断今世的纠葛 爱她就让她重新开始！            
(3星)	 有点无语。。。            
(4星)	 我居然被这个剧搞的稀里哗啦。韩剧真NND的煽情，绝不可以轻易尝试。里面宋的爱情插曲反而比主角更加让人感动。这样的串烧结局也还算过得去。            
(4星)	 好多圈圈噢！54层有没有！最后变励志了！            
(4星)	 韩江很阿信有木有~！？            
(5星)	 =V=            
(3星)	 好喜欢南奎丽的眼睛 好想去整一个！            
(NA)	 还好看到最后一集时被拖沓的剧情搞得困得睡过去了。否则，真是会被华丽丽的反转给伤心死。这份伤心给的当然是那个帅帅的大叔。            
(4星)	 这部韩剧真心不烂            
(5星)	 除了结局有点小瑕疵，难得的好剧~            
(4星)	 真爱难寻            
(4星)	 把每一天都当做最后一天，珍惜的活着。            
(5星)	 哭了            
(NA)	 看了一集還是決定棄了。最近的韓劇都是這樣，不知說它如題太快還是太慢，總是到了第一集最後才開始進入正題。當時就因此不看城獵。這樣一點都不好玩~            
(4星)	 把一辈子当做最后的49天活着。            
(4星)	 看了一集。。好像还不错，难得看韩剧~~吼吼            
(5星)	 中阴身            
(5星)	 多么希望智贤可以活下来啊             
(5星)	 ❤            
(4星)	 结局 你永远猜不到            
(4星)	 算是套着奇幻的小幌子中规中矩的好剧啦。韩江是越看越帅的，伊景是越看越顺眼的。结局也不算烂，算无可奈何吧。P.S.最后一集我哭了。注定被留下来的我们，必须好好生活啊。            
(4星)	 其实看这剧我挺感动的，真的好久没被韩剧感动了。我真的愿意相信，死后真的有那么一个49日，看得到守在身边的是到底谁，谁为你流下了真心的眼泪。            
(5星)	 或许因为提前看了剧评，所以对很多情节没有太多的紧张或者感动。故事中很多情节还是好的。结局生拉硬拽故意想要反转剧的感觉吧。看到智贤死可以接受，伊景是智贤的姐姐也可以接收，好在最后没有看到诸如伊景和韩江过上幸福快乐的日子，这样的结局还是可以接受。一个深爱的人和两个交心的朋友，足够。            
(NA)	 全剧里没有一个好看的主角，最后还烂尾了            
(4星)	 很感人            
(3星)	 开篇不错很吸引人，中间却拖沓，到最后抓住人心了，没想到结局超坑爹……韩江!!!!!给我陈信宏的感觉啊~~~             
(5星)	 尽管剧情经不起推敲，不知道为什么就是喜欢这部电视剧。大爱女主~            
(4星)	 我知道是你，你知道是我。            
(4星)	 剧情蛮好的嘛,只有最后四集才到高潮.尼玛前面一直哭哭啼啼乱七八糟烦透了~主题还是积极向上的,科科科~ ps时间使者帅疯掉了(星星眼            
(4星)	 可怜的阿江啊 最后连个吻都木有            
(4星)	 算是部好韩剧，情节虽然免不了狗血，还算能让人接受，节奏也不错，演员演得也好~比较吃不消南奎丽的充气娃娃脸，本来可以很自然很纯真的一个角色，哎。。。            
(NA)	 数年来唯一让我最后一集哭爆的连续剧。            
(5星)	 25岁生日这天看完结局 今年的愿望是家人健康平安            
(4星)	 恶俗的结局啊            
(5星)	 后面几集边看边哭...李瑶媛的演技很好.            
(3星)	 剧情设置不错            
(4星)	 蛮好看的             
(NA)	 傻。。            
(3星)	 开始还挺有趣的，但是后面，真的接受不了的狗血。李瑶媛竟然能演出少女感，太强了。最后喊一声，郑日宇超帅。            
(3星)	 狗血的结局啊！            
(3星)	 看完之后一直问自己，我的三滴眼泪在哪里。            
(4星)	 丫编剧绝对是脑子进屎了！！！！            
(4星)	 留下来的人，要过自己的生活。-------------------不给五星是觉得为神马伊景见过智贤妈妈那么多次都没有认出来这是自己的妈妈呢？？            
(3星)	 因为害怕看到最后的悲惨结局，所以不想看最后一集了。。。            
(5星)	 每次看到郑日宇哭，我就不行了……很感人，前面剧情一般，越来越好看～            
(3星)	 就是女主角之一的脸假的跟假人一样啊。。。她还真适合演灵魂之类的角色。。。不像属于这个世界的            
(4星)	 虽然戏剧化过分，但是都已经说了是梦幻片了。其实也是一部不谙世事的单纯小女生的成长史快速版，49天，说来太短，但其实早已经是注定好的，只是自己会亲身体验看得更清楚。最后仍然是，感触与感悟良多。            
(5星)	 2011.6.12            
(2星)	 纯属陪看。。。            
(NA)	 于是现在都弄这种风格么。            
(4星)	 结局......唉            
(4星)	 总是越来越懂得什么是友情 还有韩江我喜欢            
(5星)	 天使般的面孔            
(NA)	 看的过程中一直在感叹女主角整容整得太失败了~那么明显嘛~            
(4星)	 超级喜欢宋宜景。            
(5星)	 让我从谷底反弹的一部剧。            
(4星)	 催泪……            
(5星)	 力推 是骗了我多少眼泪的一部韩剧啊 是感动不是悲伤的眼泪 在我看来剧情是相对以往来说有些许突破的内容 故事情节算紧凑 总体感觉良好             
(5星)	 結局太扯了 不過還是給五星 因為讓人想要珍惜過好每一天 活著就應該要感恩            
(4星)	 除了整容女，都蛮好。。。            
(4星)	 很正常            
(4星)	 49天的结局告诉我们：得知我幸 失之我命            
(4星)	 还不错，开始看到最后就觉得很拖沓，大概也是韩剧的特色吧，不过很喜欢李瑶媛，有气质，看不厌的美女吖~~~            
(5星)	 因缘 重生            
(1星)	 演员当真是大都丑的看不下去。。            
(5星)	 这部神作简直就是佛教因果教育的偶像剧版本，看出了很多编剧对因缘果报丝毫不爽的提点，对阎浮提和娑婆世界无量苦的暗示，好！！！            
(4星)	 真是佩服女主的演技。            
(4星)	 看这种韩剧的结果就是难过，这也是我一直不想看的原因，赵显宰真是很灵啊！还有郑日宇。。。            
(4星)	 结局有点没想到            
(4星)	 哪怕是一天也想待在你的身边。            
(4星)	 本来是5星，只是那为了收视率而生的烂尾~~            
(4星)	 创意没得说！应该搞成电影！            
(5星)	 很少有韩剧这么耐看。虽然结局不是那么完满。给4.5星星。            
(3星)	 结局太牵强 狗血了点 前半部分还不错 喜欢韩江             
(4星)	 常态化结局 超寻常过程            
(4星)	 所以现在的一举一动都是有意义的，也许不会改变未来的某个结果，但是是有意义的。            
(4星)	 当智贤最后离开的时候，每个人，我相信，都留下了100%真爱的泪水            
(4星)	 赵显宰好帅！！结尾坑死人！！没看过的亲18集打住啊！！除了有血缘关系的亲人，这世上有没有爱你的人会因为你的病危而留下100%真心的眼泪？而你现在是否悲剧地生活在一个巨大的骗局里而不自知？            
(4星)	 两个善良、开朗、温暖如天使般的人来人间走了一遭，带给身边的人美好然后微笑离开。            
(4星)	 这不耍人玩嘛！！！找个真心爱你滴人还真不易            
(4星)	 爱人的心太难以捉摸            
(4星)	 我肿么觉得还蛮好看的            
(2星)	 韩剧一贯的拖沓。里面几个女的长得根本就一样好么！！男猪是照着安在旭整的么？            
(4星)	 太心酸了             
(4星)	 不喜欢郑日宇挤眉弄眼张嘴来的~其他都还好~            
(4星)	 前面都挺好 最后一集 太特么的扯了！！！！！！！！！            
(5星)	 韩剧可不可以不要再这么煽情了啊啊啊啊啊啊啊！            
(4星)	 同樣作為超現實題材，這一部比秘密花園靠譜很多。三條主線都沒有惡俗，結局並沒有牽強地大完滿，卻讓人覺得合理的安心。趙顯宰和鄭日宇兩個男主都讓人喜歡。主題是隱忍的愛和人的真心。            
(3星)	 狗血的编剧啊。            
(3星)	 我觉得还好 有突破 但还是很废话~            
(3星)	 我老是手贱要点看韩剧然后看到内伤~~10分钟一集速度~南圭丽整容整成这样，这肿得跟什么一样，真是完全看不下去啊！！！想当年刚出道的时候多水嫩啊！多希望这个角色是朴寒星来演啊~女主身材很好长得很舒服就是苦瓜脸了点~~~江这样的男人哪里找去啊~~            
(5星)	 2011第一次为韩剧感动= =            
(3星)	 看开头和结尾就差不多了            
(5星)	 隐藏自己的心比不懂自己的心更痛苦            
(3星)	 申智贤这货的角色性格定义得太傻逼了，演员也找了个脑残。李瑶媛不错啊，美好的！！结局太破了！            
(5星)	 也许是对号入座，也许是情景如此，隐约的难过。            
(4星)	 肉身和灵魂，他的爱从来没有丝毫偏差。我在想韩江是怎样度过思念你的十年，最先给你眼泪的是他，最先看出是你的也是他，这样的男人你怎么舍得离去，转身舍不得的拥抱韩江让人崩溃，晚上听着OST的时候，想到这个画面，不觉痛哭半个多小时，流着泪睡着。            
(3星)	 唉 这结局让我很纠结            
(4星)	 最后只好躺下来            
(5星)	 结局哭的很惨             
(5星)	 再一次看剧看哭 真的不错            
(3星)	 如何证明身体记忆与心的记忆呢？            
(4星)	 结局还是比较现实的。49天，残酷呐。男猪脚们没亮点啦，感觉李瑶媛不错。            
(4星)	 有没有人会为你流下真心的泪水。            
(5星)	 要把每一天当成最后一天去活。。去珍惜。。------49日            
(3星)	 狗血            
(4星)	 李瑶媛演完这个不会精神分裂吗。。            
(5星)	 好喜欢韩江啊！！！            
(3星)	 EP03弃，哪里好看了？后来看简介，除了最后一集大逆转没想到，其他还有什么悬念？一集过去就全猜到了= =            
(5星)	 很喜欢，一直追着看！这个结局还真的不狗血！            
(4星)	 今天就像最后一天活着~            
(4星)	 不童话的结局，不童话的世界。            
(4星)	None
(NA)	 伸出手多想碰触那一道美丽的风景，然，连一束阳光都留不住。             
(4星)	 对李瑶媛的喜欢越发不可收拾了。            
(5星)	 不是大众预期的结局，但这样的结局也未尝不完美，彼此都有心爱的人，走到一起谈何容易            
(5星)	 2011 心寒令人深省            
(NA)	 反转剧咩？            
(4星)	 你你你你你中、有几个你是真心的、她她她她她中、我换了样貌的、你还能不能认出我、我我我我我我中、有几个我能遭受打击还坚强的活下去、            
(4星)	 爱情原来不是命定不命定的表象,而是发自内心的付出和按捺不住的心动。(PS:为什么韩江不能和智贤在一起T_T!!)            
