http://movie.douban.com/subject/5940660/	美国偶像  第十季 American Idol Season 10
(3星)	 Scotty的歪嘴看的我眼睛好痛            
(3星)	 高开低走的一季，这届选手质量挺高，每个人风格突出，但也因此导致比赛后阶段不够精彩，选手每周表现都差不多，节目组甚至刻意制造Drama，评委始终如一的评价更是雪上加霜，将比赛彻底交给了观众的主观好感。最爱的选手6进5被淘汰。从此只看结果秀。/PS：决赛选手真是无趣到令人发指的地步！            
(4星)	 Scotty的低音！麦叔的风骚！Cassey的才华！            
(3星)	 这么强大选手的一届竟然是这么个结尾。凯西走了就没再看了，不会再看美偶了，好失望，&gt;_&lt;            
(2星)	 没有了毒舌Simon的AI真是一敗塗地！那些個有個性有實力人格魅力也出眾的選手走的一個比一個匪夷所思！這麼無聊的結果秀誰還會去看？我說實話賊眉鼠眼的低音炮男從海選開始我就很不爽他，根本不想看到他！胖妹紙好姑娘你拿下這個冠軍吧，不過抱歉將來你和黑粒都出專輯了我不会聽你那張.            
(3星)	 我喜欢的都被淘汰了，谁拿冠军我都无所谓。            
(4星)	 还不错　比上季好一点            
(5星)	 换了评委 一样挺有趣的呀...而且simon有的时候也确实挺讨厌            
(4星)	 结果尚算满意吧，虽然不是最爱。在这么强的一季中，选出这个冠军实在有点不如人意，虽然我也挺喜欢他。Casey and Haley, I love you both.            
(5星)	 触底反弹，强劲的选手很多。尤其Jacob Lusk。            
(3星)	 终于追完了，不喜欢冠军……            
(5星)	 开看            
(NA)	 最讨厌的冠军。。。。            
(2星)	 越来越难看，Cassssey...... TAT            
(1星)	 恭喜法克斯，恭喜霉国人民，你们共同打造了屎上最渣的真人兽鳏菌。            
(3星)	 农民们的决赛不看也罢！！三颗星都是给Hayley和Casey的            
(4星)	 第一次看美国的选秀节目，比超女好玩多了            
(4星)	 没有SIMON评委都稳坐老好人了。黑胖，保罗，乡村胖妞，凯西是目前OK的。对咆哮詹姆斯和歪嘴斜肩似膏体无感。            
(4星)	 好多天才！！            
(3星)	 哎            
(NA)	 进入观众选择阶段，就开始变成一个抹杀个性的过程，最后的赢家绝对是最爱提上帝，最中庸，最保守的乖宝宝            
(4星)	 39集哦            
(4星)	 福特今年怎么那么大方多送了两辆车！选手比去年好看多了，前七强都很喜欢。什么时候能把randy换掉就好了            
(4星)	 最喜欢的metal小伙儿淘汰了，JLo哭了。top3很垃圾，可以不看了。            
(3星)	 没意思下季不看了，最喜欢麦当劳叔叔跟亚裔姑娘。            
(1星)	 我以为s9冠军就够烂的了没想到s10又突破了！！！！s11快来！！！！等看究竟还能有多烂！！！！            
(4星)	 和上一季的SYTYCD差不多，top13都非常棒，各有千秋，但是到了最后却留下了特色最不明显，最单一的两位。Scotty冠军是毋庸置疑的，但是这个PK过程形同虚设，有意思吗！！！            
(3星)	 没有simon了啊！            
(3星)	 熬夜时的消遣，没有Simon的AI好无聊，选手更无聊            
(4星)	 海选就是看得我捶桌啊！但是没有Simon不好看啊！！！            
(NA)	 11，弃。开头都是海选什么的，第一次看美国偶像，还没看到精彩地儿呢，就看不下去了。            
(NA)	 12/31 后赛萌时代～木有喜欢的选手。            
(4星)	 这届选手比上届好太多了，即使没有三叔也很有看点。最大的遗憾是casey叔止步六强，那么那么有才的人，唉，美国村民无药可救了。            
(4星)	 我真的不喜欢Scotty！！！！！！！！！！！            
(3星)	 说实话，本季虽然没有SIMON，但选手的实力真的各有特色，也十分值得一看，但看到5强后，最喜欢的几个都被淘汰了，剩下些乖乖牌，所以兴趣就弱下来了，综合了下，看来还是第八季最有娱乐性啊，这季到了最后完全阳痿，前戏过于兴奋了。            
(3星)	 至少FINALE很好看            
(3星)	 这季很弱诶 casey和scotty勉强可以..女的没个有特色的 水晶姐这种真的是人才啊..不知道要再过多久再有个水晶姐            
(5星)	 Scotty你最棒了！！！乡村音乐最治愈了！！！！第一次作为冠军粉，我表示我好欢乐！！！！！！！！            
(2星)	 我我我再也不看美偶了。            
(3星)	 总体比较平庸，James实在是太像鲁尼了。。            
(4星)	 season finale很强大嘛            
(3星)	 这一季的海选也蛮多极品蛮搞笑的，但越往后我都不想看了直接看决赛。            
(NA)	 又一次跟不下去了,Simon我想你!            
(2星)	 没了SIMON，都看不到极品的激烈反应了……            
(4星)	 这季TOP13很强大，但最后几集的选歌就一般了。整体还是很赞的！            
(2星)	 终于补看完final show, show很精彩，就是冠亚军都路人了...            
(5星)	 超喜欢scotty的声音```人又年轻`````            
(4星)	 J-LO亮点评委！没了Simon难受啊~如果哪天Ryan不主持这个show了那么美偶也没有什么可看性了吧。这季海选和好莱坞周很惊艳但最后还是没避开高开低走的命运。喜欢Paul McDonald。            
(1星)	 top2简直恶心            
(3星)	 本来想着没有simon不看的 但真的出来了 哎~而且有大嘴的 哼！             
(1星)	 差死了我讨厌冠亚军！            
