http://movie.douban.com/subject/5958623/	谁家灶头无烟火 誰家灶頭無煙火
(5星)	集集都有爱啊。。。一扫依家有喜的无聊
(5星)	160集啊 噼里啪啦看完了！ 每一集都很有爱~
(5星)	又一部唔舍得既情景剧，岩开始既过程唔一定中意，但每次到后来，甚至最后既时候，你就会发现，你离唔开距。或者呢D就系生活
(4星)	就是不喜欢钟思雅。真的好讨厌他。
(4星)	岳华好傲娇啊~~~
(3星)	我唯一看完的TVB长剧。作为TVB的忠实粉丝，每剧必看。但第一次看完一部完整的长剧，很好看的生活剧，小事情小细节很生活，喜欢田妞
(5星)	这部剧真的很好看，既有趣又温馨，还能学到很多生活处世的道理，真好~\(≧▽≦)/~
(5星)	短短的剧情，没有太多的大道理，看的时候比较舒心，休闲，但看完后会忽而有一种小感悟。不必太认真，但也不单止只是消遣娱乐，我喜欢这样的。
(3星)	看到75。。看不下去了
(4星)	很久没看这么可爱舒服的电视剧了。
(5星)	超级好看！！！快更新吧
(5星)	编剧一流，基本都是努力、积极又美好的人~每集的小标题起得超棒的~~只是这样就结局了。。
(5星)	依旧是徐遇安。大爱
(3星)	大块田非常可爱
(4星)	很好看，越来越觉得现在TVB的情景短剧反而比大戏要精彩得多，大爱并不美貌却因个性而闪亮发光的白玫瑰。
(4星)	作为一部茶余饭后温馨的家庭剧来看很不错，每一个角色都很讨喜，小故事也很有感悟。不过确实在感情的叙述上拖沓了一点。
(4星)	为了岳华看的啊！！！在TVB剧青黄不接的年代，难得有一部不是大牌明星压阵，却很轻松的小品剧来调节一下~~
(4星)	结局有点俗气
(4星)	纯支持陈智璨
(3星)	偶有生活火花闪现，笑料不断，属于可轻松解乏的室内情景轻喜剧。
(NA)	受不了内个唐晶晶了啊，我要吐了，能不能不要大妈相还假扮纯情上进小女生啊，看来每部电视剧里面都一定会有令人受不了的角色啊~
(5星)	太需要这样的小清新港剧了
(5星)	我。。。我今天下午居然看了六集。。。
(4星)	霸气追完160集~多么温馨的单元剧。
(4星)	真心拖沓，我只先看岑贝儿钟国栋终成眷属嘛。
(4星)	八點到八點半劇，依家有喜跟天天天晴都不太吸引，好在誰家灶頭無煙火為這段時間爭回一點分數。片頭曲真的很難聽影響開局。龔嘉欣明顯整容過火。岳華終於不用死在TVB劇裡了，可惜要犧牲歐錦棠一雙眼。
(5星)	好看好看好好看~
(5星)	生活的点滴无时无刻的快乐
(3星)	开篇不错。后面就没意思了。一个个小故事都感觉有头无尾。
(4星)	看到最后，才发现二叔才是真正的主角
(3星)	里面的爱情戏比较好看，亲情戏就一般了。
(3星)	无聊。。。
(5星)	陈智燊35岁了~！！
(4星)	不疼不痒的。。。
(3星)	凑合吧
(NA)	又臭又长
(4星)	不错
(4星)	很适合做手工时看得片，不会分心也很轻松。
(4星)	很佩服自己，158集啊！还挺喜欢的！恰好吻合如今的煮饭生涯，看完居然还对甜品有了改观。
(3星)	158集啊！！就是看个热闹。
(5星)	田蕊妮真的演得太棒了，几天下来一口气看完了一百集，我的泪水多次湿润过我的眼睛。佩服编剧对生活的把握，心里一阵安慰，TVB还是我爱的TVB嘛！
(5星)	这是我看过武林外传后最值得在吃饭时候看的片子。很舒服。很温馨。所有的人都很积极。过日子的片子。挺好的。
(NA)	纯粹为左睇钟思翰
(2星)	这么渣的剧我是有多大的私心才能忍住不打一星啊望天……虽然TVBsell三观也不是一天两天了但是能不这么硬么……拍好短剧不容易啊，徐遇安自从两部皆大欢喜之后，就尽出烂片，果然好片什么的还是靠编剧吧……
(3星)	断网时晚上吃饭边看的。。
(5星)	大团结结局。nice。。。。
(5星)	160集总算看完了。。
(5星)	160集啊！！！！！！！！我全部看完了！！！！看！！！！完！！！了！！！
(NA)	看了半个月终于看完了，最近大爱生活剧啊~~真心羡慕思翰他们的大家庭~
(4星)	作為一部婆婆媽媽處境劇,每晚吃飯后都睇~不用花太多心機,重點喺,全部演員,無一討厭    Good
(NA)	学粤语喇。。
(5星)	
(4星)	TVB的这种小品剧打发时间看看还不错
(5星)	太温馨了！！！
(4星)	最爱TVB这种情景短剧
(4星)	蛮好笑的
(5星)	总算大结局了！
(4星)	最喜欢的情景剧
(4星)	有很多同事三分亲的演员，场景设置的却是毕打自己人的杂志社，熟悉的感觉。
(5星)	不喜欢钟思雅
(3星)	看TVB学粤语，哈哈，当然也看岳华先生，他真的有一股文人味道，不是太平绅士那种，是有正气的温文尔雅。一直想到师太当年在明报写岳华的文章。剧没什么瘾，但跟美剧似的，20分钟一个小故事，看得蛮省心舒畅的。
(3星)	情景短剧
(NA)	...只看了一点点
(5星)	钟国柱这个老爸演得太可爱了 最稀饭看他跟高仁大老板唱对台戏 萌啊~哈哈
(4星)	围绕一家人发生，都ok的~~
(4星)	今天看了30几集终于全部看完了！大结局那个舞蹈真是把我雷死了！！！
(3星)	无趣之极。为岳华才看的
(3星)	大结局和之前的情境剧差不多，仓促收官。不过大半年的时间，跟着二叔和贝儿的感情起起落落，终于完结了。。。
(4星)	温馨剧咯，职场家庭爱情亲情友情都囊括了，整个和谐气氛。可惜TVB现在演员还是青黄不接，很多演员都在各大最新港剧里打过酱油。
(4星)	当我阵亡了追不下去了情景家庭剧集数太多好散温情剧目
(4星)	每集不到半个小时，一百来集，差点没hold住
(4星)	还搞笑的
(NA)	挺好看的，可惜结束了
(5星)	超正，一句到尾：最愛的生活劇，沒有之一!!!!
(3星)	好像不会再看了，没时间追了。
(3星)	很早就追不下去了
(5星)	很善良
