http://movie.douban.com/subject/5965670/	潜行狙击
(5星)	 徐子珊怎么能这么丑啊，tvb求你们出点钱给她整整容好么~            
(4星)	 徐子珊能算得上和黄宗泽相配的美女吗 个人表示不满            
(3星)	 前面剧情讲过什么，我一点也不care。 我只知道最后，苏星柏对laughing说：“我老婆因你而死，你女朋友因我而死，我们就当扯平了。”“连上天都要我们一起。” “你做就是我做。”“我做小。” laughing 凝视着苏星柏的眼睛说：“你要戒指是吧，好，我给你。” Happy Ending ，狙基成功 ╮(╯▽╰)╭            
(5星)	 近几年来看过的最好看的TVB剧集之一，从第一集开始就很好看，谢天华保养的身材真是好呀，配陈法拉一点都不显老，陈法拉很有女王范，黄宗泽反而走颓废风，徐子珊还是一点进步都没有，真是一颗老鼠屎打坏一锅汤            
(4星)	 结局太仓促了。麻痹！！老子就知道姚可可不会死！！老子就知道她心脏肯定长在右边！！老子就知道！！！            
(3星)	 打三星就是因为一群混蛋的编剧！！！！！！！！！！！！！！！！！！最后的结局是坨屎好么！！！！！！！！！！！！！！！！！！            
(5星)	 百度搜下 网罗126  ，第一个里面就有了，出全集了。             
(4星)	 港味纯正，剪辑精细，演员到位，质量很高的卧底剧！            
(5星)	 事實證明，陳法拉以任何身份接近Laughing都會死……            
(5星)	 徐子珊你干嘛来蹂躏阿Bo啊啊啊啊啊！！！！！Laughing哥，终于又见你了，别又像电影里耍帅了啊！！！            
(5星)	 第一集不错，几钟意laughing sir            
(3星)	 为法拉和laughing哥而来，但是结局太坑爹了……            
(4星)	 laughing哥....你真的是演好人吗？            
(NA)	 百度搜下 网罗126 ，第一个里面就有了，出清晰版了。             
(5星)	 主题曲有点点熟，像是陈奕迅的《烂》，剧情开头就很不错，足够惊艳，laughing哥依然骚包，刘松仁的折纸好有爱            
(5星)	 节奏紧凑，剧本出色，Laughing很到位！            
(5星)	 最爱谢天华            
(5星)	 算是今年大制作了！黄宗泽，陈法拉，刘松仁，都是喜欢的演员、            
(4星)	 正在看,laughing哥太有型了~~黄宗泽~~            
(5星)	 很棒！第一集就已经很精彩！一定要追下去！！！            
(4星)	 什么叫炸弹放进微波炉叮一下就不会爆炸！！！！！什么叫老婆你的心脏易于常人长在右边！！！！！你妹啊！！！！！坑爹啊这是！！！！！！！            
(5星)	 陈法拉死了是败笔啊。应该要徐子珊去死啊~            
(4星)	 看港剧呢，最要紧就是开心。结局这么悲，大家都不想的。呐，过不过瘾，我拍续集给你看啊。            
(5星)	 精彩超过预期！！看了一集就已经迫不及待打五星。希望不要烂尾。            
(5星)	 让你死你就死，不死不行；让你活你就活，死也能活。            
(5星)	 谢天华  刘松仁 戏骨同台斗戏            
(4星)	 這部劇讓謝天華Laughing的痞子警察形象深入人心，讓黃宗澤有一個不一樣的面貌。編劇什麽的都不錯，但是結尾實在不敢苟同，該大團圓的時候不團圓，該翹辮子的不翹辮子，實在窘迫。另外，真心不喜歡徐子珊哇，好醜。/(ㄒoㄒ)/~~             
(4星)	 近年来看过的最好的TVB警匪片之一，故事情节，节奏及演员都是上上之选。不过结局烂到让人无力吐槽，Paris没死居然是心脏长右边，这点还勉强可以理解为跛co为了保护心爱的人。不过Laughing坐牢，Madam JO和跛co 挂掉，真是渣的一逼。摆明编剧导演想留下悬念，拍电影A钱。            
