http://movie.douban.com/subject/6008471/	醉后决定爱上你 醉後決定愛上你
(4星)	四颗星星都是给张孝全的。如果演到后来张孝全露点了，立马改成五颗星！！！！
(3星)	张孝全和杨丞琳在拼演技，都演得很棒，剧情轻松搞笑又有感动。张孝全虽不是第一眼帅哥，但很有自己的特质，很会演戏，而且还是个摩羯男。
(NA)	對於張孝全+楊丞琳這樣的怪組合，本來不抱任何希望.....結果無聊看了第一集.....竟然!!!!這麼好看*v*  好驚喜！！！好久沒有看台灣偶像劇了~~重拾那種追劇心動的感覺^^
(5星)	张孝全你好有型啊～！
(5星)	张孝全！！张孝全！！
(5星)	一个满让我充满新鲜感的组合，张孝全是很帅，杨丞琳也变了第一集不错我是乐着看完的各大绿叶也是精英集合笑果十足
(5星)	一星给杨丞琳的好演技，三星给张孝全，最后一颗给我永远的笑点：钟欣凌！！！！！！！啊啊啊啊啊小胖妞每次看到你我就好欢乐！！！！
(1星)	张孝全还是别演偶像剧了= =
(5星)	完全为了张孝全！！！！！！！
(5星)	张孝全，真的很帅~
(3星)	虽然觉得情节好狗血，有些地方很傻，但我还是看得蛮开心怎么办。
(4星)	轻松愉悦，养眼又欢乐。。。除此之外，还要怎样呢
(3星)	短发很好哈哈。杨丞琳也算转型成功。
(2星)	虎头蛇尾 一开始还蛮好看的 后面完全不行
(3星)	丞琳演技满分
(4星)	真的可以看 心情看了会不错
(5星)	看完第一集 有感觉 久违了我的偶像剧
(2星)	我是去看张孝全的，完全忽略那个奇怪的以为变短发就可以不讨人厌的女生的，结果看了第一集便忍无可忍弃之，有些人根本还是那种装可爱啊，剧情依旧狗血台湾老偶像剧。
(2星)	无聊
(4星)	为了张孝全看的。。。好喜欢狄志杰哎哟&gt;&lt;
(3星)	后半段是个什么东西
(NA)	其实没用彭于晏说不定是好事
(NA)	为了看张孝全。。。还有那两个搞笑的肥婆~
(3星)	演得很用力，在近期湾剧里水准尚可。
(4星)	张孝全你是有多帅!
(5星)	张孝全啊啊啊啊啊！！！！！！！！！！！！！
(2星)	张孝全我爱，杨丞琳我恶心。
(3星)	就这么不了了之的遗忘吧 杨丞琳每次故意搞笑的时候 我就觉得 背景乐应该是一抹冷笑。= =+ 每次准备弃剧 的时候 张孝全就脱衣服 ❤
(3星)	是有多俗恶！！ 张孝全你还是去演文艺片好吗你的平头何时回来虽然也许回不来了我还是爱你好吗 看的时候真是想抽YCL！！ 许玮宁还蛮好看的~
(2星)	两颗星都是给孝全的。
(3星)	這出戲再一次認證了那句話，忘掉一個人的方法有兩個，時間和新歡。如果你還忘不掉，那是因為時間不夠長，新歡不夠好。 
(4星)	杨丞琳还是适合演OL。阳光天使那种太装纯了
(4星)	我只想說，張孝全真的帥翻了！！！！！！！！
(4星)	缘分不是遇到相爱的人，而是最终你会停在谁处。
(5星)	实在太好看。。无法言喻。。
(NA)	看两眼张孝全 剧情真是毫无新意的狗血 假结婚的戏一部又一部 台剧真的要没救了
(2星)	啊好狗血…… 后面越来越没意思了……
(3星)	王传一！！！王传一！！！！
(3星)	星星全部给张孝全！！！第6集就暧昧到16集才终成眷属，后面越来越拖沓。每集都没什么内容，再多的酱油也不能改变注水太多的现实。
(3星)	张孝全很有味道！白梓轩也灵啊 男色时代男色时代.. 不过剧情已经无趣到可以弃的程度了，有些镜头和手法和命中一模一样，陈铭章啊你也太偷懒了吧
(4星)	昨天看了第一集，感觉还不错。但是不喜女猪啊。。换个人就好了
(4星)	挺偶像剧的。追之。
(3星)	完全为了许玮宁啊。。。。那个跟她CP的男人不错。。
(4星)	张孝全好妙（¯﹃¯）
(3星)	一边抄课文一边看。果然是沿着《命中注定我爱你》的阳关大道一往无前，整体轻松，小虐怡情。这回的女主不再是自我蜕变而是走出童年阴影，女二号这里不再是草草炮灰，而是给了一个比较完整的感情线。张孝全和陈柏霖一样，虽然很多人觉得大材小用，不过确实是今年台剧让人惊喜的存在。大半后弃剧。
(5星)	“倔强的以为我真的能改变你”
(5星)	一路看下来，第5集时，一遍一遍看，跟着林晓如哭到不能停，好像那个在水池边，放声大哭，说，我心都碎了，我心都碎了的人，就是自己。看 TA 们一路的喜怒哀乐，感觉宋杰修的性格，和我好像好像。这部剧，它真的会给你一对隐形的翅膀，让你重新去相信一些东西，重新找回自己。
(3星)	前半部还成，后半部各种吐槽点。
(4星)	哈哈哈对不起我评分有点反智，可是真的觉得哭哭笑笑之余有收获。
(NA)	超爱张孝全!!!
(3星)	开头不错 后面不好看诶 
(4星)	张孝全是得有多少床戏！！！！！！！！！！！！！！！！！！！
(5星)	我眼里只有张孝全
(3星)	张孝全好帅~
(3星)	拖
(3星)	过了第五集就没意思了。。。╮(╯-╰)╭
(3星)	我又低俗了 = = 
(NA)	完全是冲着张孝全的身材去的....一边擦鼻血一边看- -
(2星)	很久没有追剧了，原本完全是为了张孝全才看这部剧的，没想到居然激发了我久违的追剧热情…But…拖沓脑残的剧情的杀伤力还是大过帅哥的吸引力，勉强支撑到十集左右就彻底弃了~
(4星)	意料外的好看
(3星)	开始无聊了啊
(4星)	三星半
(4星)	第五集，杨丞琳的演技真心不错
(4星)	一开始完全把它当成俗烂偶像剧来看，但是第五集的时候，我突然觉得那段醉酒后的对戏很不错。宋杰修说：你就继续把这些照片留着吧，让它们把你折磨到死，因为你根本就不想重新活过来，你想要耍自虐随便你，但是我要说，他没有权利拿你未来的人生，当爱情的陪葬品。
(4星)	我喜欢偶像剧，是因为它总是会让我们看到美好的结局。你可以说我痴人说梦，可是，谁又不希望自己永远都是幸福快乐的啊！
(4星)	总的来说还行，就是后半段部分有点瞎。
(3星)	许玮宁演技好差！
(NA)	毫无疑问啊是为了看张孝全张孝全张孝全啊！！！身为一个姑娘真是不容易啊为了看帅哥还要忍受情节的荼毒啊！！！男的多好啊A片都没情节！！！张孝全张孝全实在是太帅了耶~(@^_^@)~王传一长的跟我高中班长似的==|||…看完之后最大的感触是现在的偶像剧上升空间很大嘛~
(NA)	“宿醉”的剧情.
(NA)	17
(4星)	张孝全哇~！
(NA)	这个人设就是在抄袭泰影《下一站，说爱你》啊！！！
(3星)	张孝全呢~  嘻嘻
(4星)	孝全好帅
(3星)	年纪大了..突然就受不了台剧和韩剧的狗血剧情了
(2星)	= =冲着张孝全来的，正好也觉得杨丞琳这个新造型也不错~坑爹啊！我总是这么手贱！再也不要手贱了！
(4星)	没有选择下的选择，然后发现：哇，好看好看好看
(4星)	我真的从来没有讨厌过杨丞琳，虽然她的演技比较浮夸。。
(4星)	杨丞琳有变会演的感觉，新造型也漂亮，八错~
(NA)	【2011-04-17】
(4星)	结局不好看，内容背景太不现实~ 但是，杨丞琳在里面好漂亮，张孝全帅爆了~
(NA)	1个多小时就看完了!就看张孝全跟黄小鬼嘛~不过偶像剧的剧情真是越来越烂了开头就知道结局了能不能有点新意阿 =..=
(3星)	除了张孝全的萌，没啥亮点可言...
(NA)	我居然又看起台剧来了
(4星)	张孝全，你不错哟！！哈哈哈，原来你也可以有点好笑的！~~
(3星)	为了张孝泉我就忍了杨丞琳了...
(4星)	张孝全宽阔的肩膀啊啊啊身材太MAN了！！！杨丞琳还是一如既往的可爱~~~~我居然一个晚上把这个脑残电视剧看完了！！OH NO~~~不过真的比普遍台湾脑残偶像剧要拍的好耶~~~~
(3星)	周末杀时间
(3星)	其实片子还好，只是不喜欢杨丞林
(4星)	看的时候正处于感情低潮期 一开始王传一的戏码太对味了！
(4星)	张孝全好man露肉好性感……这剧其实还蛮好笑的，杨丞琳哭戏演得不错，没有搞笑的时候那么脑残了
(4星)	张孝全！！
(3星)	杨丞琳的衣服都不好看哎
(4星)	张孝全居然没露点 太离谱了
(4星)	张孝全 我的菜
(4星)	11集就该完了，后面太狗血
(4星)	张孝全果断我的菜！
(4星)	有哭啊~没看完~第一集 挺吸引人 看下去的 看几集看不下去了 
(NA)	矮油，矮油，爱死了！！！！！！！！！！！！！！
(4星)	老套啊哈哈哈哈。-。-╮(￣▽￣&#34;)╭ 背景音乐、不过真的有种浓浓的台湾偶像剧的赶脚！！！！！！！！！
(NA)	还不错　主要是有张孝全　不过真心觉得杨丞琳演得好做作
(3星)	林晓如简直就是小三界的楷模
(3星)	剧情狗血，杨丞琳是在努力装演技派把？
(3星)	和命中一个路子嘛，人不同而已，但还是不错看
(2星)	虽然这两个演员我都不讨厌，甚至还觉得张孝全挺帅的，但我对剧情接受不能啊！台湾偶像剧能不能有些突破啊
(3星)	2011
(3星)	为了张孝全 快进看完 真是够拖沓的
(3星)	唉。张孝全。
(5星)	偶像剧也不过如此了 给人希望 轻松和娱乐
(3星)	前面挺欢乐的。张孝全长得好像郑嘉颖。
(4星)	稍微有点拖沓，但总的来说是部好台剧。张孝全实在太迷人了！演完文艺片记得多演点像这样的偶像剧哦！有些台湾男演员实在太烂了，还老演偶像剧，真受不了。杨丞琳走得还是老路子，但是百看不厌，角色的设定也更加成熟。配角也都好可爱，我爱女导演，把演员呼来喝去，哈哈！
(4星)	一首《我们都傻》无意翻到了这部戏，我是没跳过任何一个镜头看完的。虽然都是差不多的俗套情节，8过这个男主是那么多片里塑造得最好最让人折服的，灰常完美性格也正是偶灰常欣赏的类型哇。。有几句好深刻的台词：爱情是一种遇见，不能等待也没有准备。。只要心里还存着不甘心，就还不到放弃的时候。
(4星)	张孝全真的是男女通吃 性感无敌
(4星)	开始几集还不错 后面就无聊了 那个孕妇很可爱啊！！！！
(2星)	要不是张孝全我早就弃了。即使这样也不能挑战我的极限。
(NA)	醉后决定爱上你：爱情是一种遇见，不能等待也没有准备。
(4星)	第四颗星给张孝全
(4星)	我觉得还不错呀。
(4星)	冲着张孝全去的...其实杨丞琳的演技还蛮好的...比永远斜刘海绑马尾或团子嘴还有点歪的王小姐要好很多
(3星)	家暴全喜感无边~
(5星)	就是这种勇气,以后不管发生什么事情,不管是谁先放开谁的手,或是谁留在留在原地.我们都要像现在一样,不要脸的拉住对方的手.
(4星)	比较喜欢看前面的。。。很搞笑
(4星)	解闷片。于是白马王子的梦里又加入了新的元素。张孝全好帅
(3星)	男女主角的智商和情商都让我无语……
(4星)	张孝全很不错呦~~哈哈~~
(4星)	张孝全我爱你哟~~啊哈哈哈哈哈，你还是摩羯座呢原来！看完花絮更爱你哟~~~
(4星)	算精致的台剧
(2星)	典型的虎头蛇尾。最后几集简直是在侮辱人的智商。可是我还是无聊到看完了。。MB - -
(4星)	抛去剧情，张孝全你很行  哈哈
(3星)	张孝全实在是帅啊= =
(5星)	一开始只是抱着随便看看的态度，可是后来真的被打动了，对于杨丞琳的看法也彻底改观，还有，很欣赏里边宋杰修的感情态度。
(5星)	寻找我生命中那个属于我的宋杰修
(3星)	推荐1-8集，8集以后开始台式话痨与胡扯。。。 
(3星)	沈孟生最後一集的客串突然穿越去孽子了……平时害羞荧幕前正经的张孝全演起这种神经病角色还是蛮可爱的！
(4星)	我真的很佩服我自己，什么样的台剧都能耐心地看完，还笑得挺开心的样子……
(1星)	杨丞琳真是越看越恶心啊……连带着对张孝全也好感全无了！
(4星)	OH终于追完了。看到最后反而不知道要说什么了。满好看的一部剧，主角配角都太有爱啊!! 演员绝对增色的啊！我觉得我要变身美秀姐的粉了&gt;&lt; 
(4星)	对台偶的热衷和牵挂已经不似从前了 很久没有认真追过剧。没想过这一对会搭的，杨丞琳转型轻熟女跳得很好，张孝全还是一如既往地浑身上下带着X X出现，从大屏幕到偶像剧，谐得那么贱贱的！就是最后张先生出现的时候心中形象有点破功= =结尾几集有在拖。
(3星)	不喜欢杨丞琳，但是这里面她的表现还是不错的。
(4星)	大结局Cheers55&#39;43&#39;&#39;那里开始那一段好像MV...各种甜蜜的傻事....这片子看了让人好想谈恋爱啊....O.O
(5星)	终于大结局了，好喜欢这种套路的电视剧哦！！！
(NA)	好吧，我是看张孝全。
(4星)	偶像剧就是虐心虐人到底啊  第一次看完杨丞琳演的一部戏 其实她演技比王心凌好多了 恩 其他 很欢乐 【喝醉酒随便结婚也能碰上那么好的人 果然偶像剧就是偶像剧 不切实际】
(4星)	爱情是一种遇见~
(3星)	一星给张孝全的好身材，一星给杨丞琳逐渐成熟和自成一派的搞笑演技。还有一星，给里面看上去不错的料理。剧情看不下去了。
(3星)	有点装
(2星)	其实是看了看张孝全
(3星)	总想默默地快进
(NA)	=3= 张孝全！
(5星)	我是来看张孝全的！！！孝全17集哭的时候心有碎掉！！
(3星)	弃
(3星)	只看了最后一集
(3星)	哈哈。。还挺好看的哦。。看了一天了。在这里看来，爱情就是那么简单,可是,最后不怎样
(2星)	脑残
(3星)	张孝全好阔爱！！！！！！！！
(NA)	呵呵，有点搞笑，没事看看作消遣不错！
(3星)	傻猪看傻剧
(3星)	太虐心了 总是想到不该想的
(3星)	一共有多少集哦？这里说15。土豆说30
(3星)	偶像剧真的是长假必备治愈系的存在啊.猜到结局最后两集我可以不看了(这么说整部都不用看了- -)张孝全好像LH啊好耐看啊!男主角一定要开始很凶越来越善良温柔贴心大度爱女主角.杨丞琳比以前好多了虽然偶尔还是做作一下但还可以看下去.因为剧情不够靠谱就只有三星吧虽然编剧是陈欣怡啊囧- -
(4星)	多少个熟悉的演员唤起了看偶像剧的寒暑假的记忆，可惜我已经过了看偶像剧的年纪了太久没看了看的太多了，成了鸡肋。杨丞琳和王传一的搭档我就想起了《换换爱》，只是这次全然是冲着张孝全去看的。
(3星)	又是假结婚= = 所以偶像剧还能有新梗不？所以一切都是为了张孝全！为了张孝全张孝全！！张！孝！全！
(4星)	全给张！孝！ 全！
(3星)	挺搞笑的。
(NA)	这个更像是搞笑片那，好好笑~好看好看~喜欢陈铭章导演的新戏，力捧陈铭章导演~~
(4星)	我真的好无聊啊..但是这个剧真的好好看...张孝泉还是在盛夏光年的那种..功气十足阿..
(5星)	每次看都心情鸡冻啊。。。 非常好看~
(4星)	十三集后有点点食之无味弃之可惜。。。好的事情，也许能够重复；还是谢谢你，陪我走过的路。。。
(3星)	张孝全真是太帅了
(4星)	男主角一定要看很久才觉得帅。。。
(2星)	多出来的一星是给张孝全的，剪掉的一星是给杨丞琳的，所以还是2星
(NA)	因为张孝全这个和我同月同日生的男纸~
(3星)	考试的时候我居然一直在看，晕死，一直在快进，张孝全你怎么老有床戏，不管男的还是女的。
(4星)	张孝全好帅啊！！！啊
(5星)	我只想看张孝全  好帅
(1星)	我发现，时不时地就要看一看这样的偶像剧....咕~~(╯﹏╰)b烂习惯
(3星)	给张孝全
(4星)	其实我想说···杨丞琳演技真不错。
(4星)	张孝全好MAN相（¯﹃¯）杨丞琳的新发型好适合她哟~~她演技也进步好多~~
(3星)	现在才反应过来，张孝全演了好多的MV，比如恋人未满，有没有那么一首歌让你想起我。
(3星)	纯粹为看张笑全
(NA)	&#34;我要我们的爱情没有尊严,只有相守到老的执着.&#34;张孝全,给力!
(3星)	她们在看 偶尔飘一眼，狗血偶像剧 一直逃不出的套路
(4星)	挺喜欢
(5星)	丞琳，改型很成功，加油！
(3星)	发型很重要。
(3星)	追剧无能
(3星)	还不错
(3星)	矮油，我也看台湾偶像剧了诶~
(NA)	其实我是为了看白梓轩
(NA)	宿醉+命中注定我爱你+浪漫满屋?
(5星)	剧情好简单！！适合需要放松的时候看！！洗衣服的时候看也可以！！
(3星)	男主要不要每天都穿紧身衣秀身材……
(3星)	台剧现在要不要这么多床戏。。。。
(NA)	台剧不能追……
(3星)	张孝全。。。转型。。。伤不起啊。。。韩剧的间隔时
(4星)	是部精品的偶像剧，杨丞琳的演技经过十年磨练，真的有越发的成熟
(2星)	我只想说 果然 张孝全是检验直男弯男的首选标准。。。
(3星)	有点毁张孝全的感觉。。。
(3星)	前面的部份還是追著看的，後面乾脆就沒什麼熱情看了。張孝全好不適合演偶像劇嗷嗷嗷。小鬼跟楊丞琳好塞雷啊，ex男女朋友好放得開啊喂
(4星)	以前不太喜欢杨丞琳。蛮轻松的。命中是阮经天。醉后是他女朋友。
(3星)	我已經厭倦獨自旅行，還好現在有你陪伴
(1星)	如果是沖著張孝全看也就算了。可惜啊他都長歪了。至於劇情。俗到。。。楊丞琳少了一絲腦殘，多了一絲令人乳酸的裝成熟
(4星)	15集弃。两个人确定心意后，发生什么都只是狗血。
(3星)	张孝全只属于青春文艺片儿啊！！！！！
(3星)	前半段好看些
(3星)	后半部乱糟糟，其实可以删除。
(3星)	虎頭蛇尾的感覺
(5星)	我很爱杨丞琳那 
(3星)	第七集弃~~~冲孝全看的
(5星)	太泡沫的片儿，整到后来直接没耐心看结局了。
(3星)	看国光帮帮忙杨丞琳那一期觉得张孝全和杨丞琳肯定有什么，哇嘎嘎，这是我看这部剧的初衷啊！
(NA)	狗血。。不过还是一路堕落地看下去了肿么办。。。
(3星)	真的为了张孝全``````T.T
(4星)	宋丁丁和山猪妹的故事。
(3星)	过了看偶像剧的时期，来看杨丞琳
(4星)	2011-8-20
(3星)	王专一永远当杨丞琳的炮灰，许玮宁一直女配角。虽然故事老套，但是大概好久没看偶像剧了。。。居然看得那么高兴-。。-但是最后还是受不了这么狗血的剧情。。于是弃了
(NA)	追剧就是会觉得意犹未尽，台剧越来越摆谱了，一周一集好讨厌。
(NA)	张孝全真心是我的丝带奥，可是就他来演偶像剧好不习惯哦！更加不习惯的是他跟一个女人OOXX，而不是跟一个男人！ORZ。。。。。。。。。。。事到如今我每集只追下集预告了。。。。。。。。。。。。也太狗血无趣了吧。。。
(5星)	@sssilvia 我和珑哥都看完啦~结局虽然很早就能猜到，但是还是因为很欢乐看的很开心。
(NA)	男豬腳我愛你
(3星)	奔着张孝全去的~不过还是没有看完~
(4星)	张孝全！！ 
(4星)	许玮宁和王传一万年女二男二还真是命苦，张孝全还是演电影比较好
(4星)	第一次觉得杨丞琳演技好。。一点也不假不做作。。发型真的很适合她
(1星)	狗血中的低档货
(3星)	杨丞琳杨丞琳../
(4星)	你妹張孝全看得人流口水。我覺得楊丞琳在這部好過海派甜心囉。我覺得王傳一的眼睛一深情就很兇。小鬼真的是萬年可憐人。
(3星)	我完全是因为张孝全才看的阿 我完全都过了追偶像剧的年龄了嘛 这剧情真是越看越狗血越看越无聊越看越傻逼 追不下去了 
(5星)	好久不看偶像剧了，但是一次偶然机会，看到相关介绍，立马就看了第一集，然后，你懂的。。。就是每周一集，熬啊熬，呵呵，强烈推荐哦。。
(NA)	后来越来越拖沓。。。。。
(4星)	啊.....张孝全~~~
(4星)	片尾的video很赞。
(2星)	两星给张孝全，杨丞琳真是被看腻了！剧情拖沓，台湾偶像剧只能看下集预告了。
(3星)	剧情演到后面，就觉得太狗血啦！请编剧见好就收！
(3星)	这简直就是为广大色女提供福利的。。。。
(4星)	张孝全
(NA)	别人都说这部剧现实 难道是指无论什么时候男人选择婚姻都总是以“小孩”为标准吗
(3星)	完全为了张孝全看的 可是看到一半还是弃了
(2星)	拍的人是疯子，看的人是傻子，我对自己居然能坚持下来也已经没有想法了
(1星)	五集棄。粗製濫造，連台劇的平均水平都比不上。不要浪費時間了。
(4星)	还不错看啊
(4星)	張孝全好帥
(3星)	因为张孝全才看的~绝对的支持啊~不是很喜欢杨丞琳（看多了有点腻了）~
(3星)	第三集   五月天 我又初戀了。。。。
(4星)	喜欢杨丞琳
(5星)	我又初戀了 
(4星)	张孝全
(4星)	欢乐啊欢乐。。张孝全帅的啊。。
(3星)	就算有张孝全我也看不下去了........................
(4星)	有笑点。
(3星)	第四集弃
(NA)	不高興追了。。。= =|||
(3星)	第三集有《我又初恋了》的插曲
(3星)	哎。。烂尾无力。。。
(3星)	结束完教师编制的考试就开始看，只是等得好辛苦。断断续续地坚持下来，总算了盼到了结局，happy ending。 没有太多想说的，偶像剧只能是偶像剧，说明不了什么。2011.8.23在老猫家吃了一个包子两碗饭快被撑死的夜晚。
(NA)	开头不错，烂尾了。
(3星)	刚开始剧情虽白痴但节奏还行杨丞琳演技也不错可是现在编剧愈发不用心了哈虎头蛇尾的一部戏
(NA)	张孝全啊！！！
(NA)	张孝全啊~
(5星)	必须好看!!!!
(NA)	mb阿一集这么长啊搞哪样阿
(2星)	无聊，弃
(3星)	有张孝全和王传一&gt;v&lt;
(NA)	越来越无聊阿，弃剧
(NA)	为了你也看不下去- -太挑战下限了尼玛
(2星)	前两集看得还劲儿劲儿的，到后面越来越没有看下去的欲望，还是觉得编剧太弱智。杨丞琳的那场哭戏演得挺真实的。张孝全啊，你不适合演偶像剧的！
(4星)	第一次因為配樂想給偶像劇消音。“小王子”的唱腔實在受不了。
(2星)	只是喜欢张孝全的颜，剧情整个好弱，王传一这个打酱油角色究竟是为了啥？后面来的小时候玩伴又是怎么回事，看到一半，直接拉着看完最后一集。
(4星)	张孝全演喜剧真心抵抗无力啊亲!艳到爆浆啊亲!看到张孝全三个字我就jizzed in my pants啊亲!
(5星)	这周没的看了好不习惯！
(3星)	台湾偶像剧怎么走东南亚风……包子一样的女主……
(3星)	3.5 中庸的劇本卻有一班好演員，恭喜恭喜。。。若不是他們，實在沒耐性看下去的。全哥你那麼誘人卻被各種搶戯，加油啊，楊的演技確實太強勢。
(5星)	杨MM短发很好看，也成功转型了
(3星)	杨丞琳很不搭张孝全
(2星)	杨丞琳，老是这种角色，我看腻了。。。张孝全无感，弃。
(NA)	sui～
(4星)	张孝全一哭我也跟着哭。。。。
(3星)	冲着张孝全撑到全剧终，让他搞笑真的好不容易，明明是个很严肃的人吧。有的情节真的是烂俗，直接跳过了，但是不乏笑点。另外小鬼好让人讨厌啊...这剧里居然有白梓轩，最大的Shock了，操着他那口港普，违和……
