http://movie.douban.com/subject/6013893/	城市猎人 시티헌터
(3星)	 其实真彪爱的是武烈，这样一切都合情合理了。            
(5星)	 狗血的结局。。。            
(2星)	 抄了一个如此拉风的名字 却依旧是老套韩式的恶心剧情 去你md            
(1星)	 太tmd做作了！韩国一拍这种题材的剧集就比郭四娘还能做作！可惜了李敏镐这个大帅哥。            
(2星)	 猎人你妹呀，跟漫画有毛线关系！            
(2星)	 啥也不说了，还我男二号！！!            
(3星)	 除了名字 这片儿与原作有半毛钱关系么？            
(3星)	 披着《城市猎人》这张皮依然在演韩国狗血偶像剧，好在男主角是李敏镐，还有看下去的可能。            
(2星)	 和漫画有关系吗！有关系吗！有关系吗？？？没关系取这个名字作甚！            
(4星)	 李民浩，阳光帅气的大男孩，笑容温暖人心。这部戏里的造型帅翻了。            
(4星)	 最近美剧荒，还好韩剧给力！！！            
(1星)	 一集果断弃之 小国寡民就这心态 没意思啊            
(4星)	 这世界需要一个无名英雄。李敏镐，一颦一笑，世界都倾倒了。            
(3星)	 冲着漫画名气看的，看第一集就发现已被改的体无完肤，不过不算难看。唯独男猪脚，帅是帅了，可一看就是个大娘炮，完全没了原著里寒羽良那副色狼+纯爷们儿的男子气概（北条司看了估计也要哭了吧...补一句：心目中寒羽良最佳人选是年轻个5,6岁的反町隆史，把GTO的那股劲儿拿出来就是寒羽良            
(1星)	 可以把那部经典的漫画拍成棒子国的主旋律片 真是服了编剧了 果断两集弃 那么经典的人物也移植得这么差劲 今年的傻剧 没有之一            
(5星)	 李明浩无敌版            
(4星)	 国家安全局题材的真心伤不起啊！！！李民浩真心太帅了啊，剧情有点儿假，不过看在李民浩太帅的份儿上给4星，我想大部分人都是因为李民浩太帅了才给这么高的分吧？相对于剧情来说，分数有点儿虚高了。            
(3星)	 千不该万不该扯上北条司的名字。改编成这样了，还好意思叫城市猎人？            
(2星)	 什么烂剧情啊，真是浪费演员啊！            
(NA)	 自从狗和狼的时间之后，我就被国家安全局题材伤了，之后又在Iris和雅典娜处再受重创，NND现在又看到这个……果然此《城市猎人》跟彼《城市猎人》不能划等号啊。            
(5星)	 《城市猎人》是唯一看过的：1.男二不爱女一；2.女一没有在男一男二间动摇；3.女二没有出来抢戏，没有在男女主之间使坏；4.男一没有先爱女二再爱女一；5.男二对男一的执着更甚于对女一的。。史上唯一一部男二不追女一反而狂盯着男一不放的韩剧！！..            
(4星)	 一部男二不追女主却天天追着男主不放的韩剧……             
(3星)	 果然是他妈的悲剧啊。女主挂掉了，死在男主怀里。尼玛人家跨越杀父之仇的深爱啊，撑到临死才表白啊，法律、亲情、生死，跟爱人相比都不值一提啊。遗愿不是遗憾还没合体，而是你杀了我老爸，我不介意，但请你一定要宽恕他！来生我们才能在一起！太感人了。咦，有人说金检不是女主，很明显，你娃没看懂。            
(3星)	 除了李民浩，后面的剧情都没法看了好吗            
(2星)	 好闷啊好闷！为毛评分这么高！            
(NA)	 没看完。。。            
(3星)	 剧情比较无趣 也就看看演员~            
(5星)	 ●￣ε￣●               
(4星)	 第一集给父亲篇的内容打满分，眼泪都掉下来了。李敏镐真是帅呆了有木有，朴敏英我超级喜欢撒~我要做金娜娜，保护我的李润成！！！哈哈哈，真的很甜蜜，检察官和爸爸死得很悲催，╮(￣▽￣&#34;)╭            
(3星)	 ....我真的一直都很讨厌朴敏英....感情戏能少点么..没完没了烦不烦            
(2星)	 一、千不该万不该扯上北条司；二、剧情还能更烂么；三、爱情毫不动人，韩剧的优良传统都丢了；四、男二炮灰到底了；五、苹果赞助的吗，植入太过了，人手一部爱疯啊；六、敢不敢不得白血病；七、一星给李民浩，一星给热爱电视购物的大叔。OVER！            
(NA)	 被我娘闭着一起看，第一集就笑死我了...临死之前对着基友说我爱你什么的，泡菜绝逼吃多了！！！(/≧▽≦)/~┴┴             
(4星)	 所谓虎头蛇尾就是这个意思            
(5星)	 我爱李民浩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 后面好拖沓 话说他俩还真好上了= = 朴mm还似跟有天童鞋比较配耶            
(5星)	 年度最好看的剧集            
(5星)	 看了豆瓣对此剧的评分与评价坚定了我不能根据评分来判断一部剧的好坏的想法，很多人刚看了一两集就妄下评论，太不负责任了。不得不说这是一部非常不错的韩剧，先不说其它的，首先至少它让我中毒了            
(5星)	 演着演着就被中国观众看成了搞基。恩 我明白 真彪爱武烈。肿统爱儿纸。            
(4星)	 不说台面上的话了，给四星可不是因为什么剧情，就想说一句，棒子再不好再特么做作，天朝也不敢拿这些人说事，审片绝对不会过╮(╯▽╰)╭            
(2星)	 在寒羽良面前，李民浩不过是个娘炮。结尾三集，全是快进看完的，话说那个狗尾巴能再粗糙一点么？打斗都是绣花拳，是给姑娘们看的！            
(4星)	 还蛮不错的   推荐            
(5星)	 五颗星全是给男主那张脸的！！！            
(3星)	 後面實在太長太狗血印證了 長的帥不能當飯吃……一心一意等著金娜娜死掉啊 結果金英株死了啊……要不是那麼長 大概能多給一顆星吧            
(3星)	 到后面就看不下去了            
(NA)	 弃            
(1星)	 你那是便秘还是生产呀？            
(5星)	 李民浩好好帅，片尾曲也好好听            
(3星)	 结局太仓促！！            
(5星)	 老实说虽然剧情相当狗血，但最后我还是看哭了，而且对民浩迷得有点晕。            
(4星)	 我是来看帅哥的（擦口水~）            
(3星)	 耍帅没商量！            
(4星)	 韩剧什么的当然是要一口气看完的            
(4星)	 第十二集往后明显拖沓了，检察官葬礼时候的哭点超多的，但真正的结局又完全俗气掉了。            
(2星)	 实在搞不懂为什么韩剧情节就那几板斧来回用，为什么还有那么多女的喜欢看。看我女人经常看韩剧，好怕她智商被这些傻逼片拉低。。。            
(4星)	 4星全给男猪脚！！            
(3星)	 说真的，我没觉得李民浩帅。。。。            
(4星)	 复仇就要狠，结局还木有看到- -            
(5星)	 真的好看...            
(3星)	 思密达还是很帅的思密达！            
(3星)	 男二爱男猪 2爸爱1爸 女演员全是炮灰            
(5星)	 这是一部国与民 父与子的血泪史            
(4星)	 打斗音乐我很爱啊sad run。。。（其实剧本不是一般的荒唐乱啊。。但是还是会怀着少女一般等着被虐的心来看啊……OTL）            
(5星)	 很好好好好看呐 尤其动作部分 至少证明帅哥不是花瓶！            
(4星)	 老套韩式的剧情            
(1星)	 11弃。这种狗血留着喷韩国nc吧。            
(3星)	 闪瞎眼的iPhone和ipad            
(3星)	 完全是为了看男人 剧情死逼傻……            
(4星)	 啥都不说了还我男二号！！！o(&gt;﹏&lt;)o            
(4星)	 韩国人终于用上苹果了            
(4星)	 除了基本的韩剧三宝，还加了一些复仇和暗杀元素。。            
(2星)	 韩剧真是脱不开狗血的套路，看了三集受不了弃了            
(NA)	 = =男猪脚，长得好像，前阵子追我的那个男的。。。不过，我，英勇的拒绝了。。。木有共同话题的男楞，相处起来很难受啊            
(5星)	 很好看，如果再细致一点就好了。            
(3星)	 大韩民国编剧走向世界的野心之作……前期成稿时是不是为了北条司那拉风的剧名和剧情如何和老套韩式小清新混搭而抓破过头啊？但是我们居然难得看到了无数大特写也无法抹杀的有演技的帅哥，李民浩思密达，你翻身有理爆红有理韩剧小天王当的有理！            
(3星)	 這是一出純粹為男主角個人崇拜而設的電視劇，還有，還我金檢察官！！！            
(3星)	 跳着看的，越往后越离谱。。。。            
(5星)	 难得看下韩剧，竟然还蛮好看的！！= =            
(NA)	 剧情不评论，单凭两个主角我津津有味的用3天的时间看完了整部剧。可惜结局太草率= =没看够啊。。            
(NA)	 美剧荒的时期，真是无聊到一定程度了……            
(3星)	 长腿啊~侧脸啊~啊~ 偶尔总要看那么一部韩剧，不动脑筋，释放花痴少女心❤。本着不断快进的原则速速搞定，尤其后半段，基情有余帅气不足，想来还是第一集出场桥段最好看了。            
(4星)	 韩剧的配乐还是这么不用心啊，总是用以前的。            
(5星)	 赏心悦目的颜、演技、剧情            
(4星)	 制作水准上来了，虽然还有硬伤，但不妨碍整体的气质！            
(NA)	 完全被男2秒殺！多久沒看棒子劇了... 就喜歡倆男人的對手戲，我這是腫麼了... 捂臉啊 啊 啊             
(3星)	 男主身材是好得很，情节确实禁不起推敲，过过眼瘾就得。            
(3星)	 看見一個大帥哥對著辣白菜說我最吃辣白菜就十分想棄劇，只可惜想到李民浩的臉我又想看下去了——能把沒有李民浩出現的畫面刪掉出個剪輯版嗎?            
(4星)	 原來不是城市獵人&amp;男檢察官的基情，是父子虐戀啊！！！            
(4星)	 俺一直很鄙视整容国的催泪花痴剧思密达。不过这一部真的有点停不下来地看完了。跟恋爱有关的桥段都挺欢乐的，可惜就是爱情的比重实在少得可怜，起码应该滚滚床单来个摁墙上舌吻什么的……            
(3星)	 女主角还是挺漂亮的。。。。不过看见李民浩我就很想秘密花园里的玄彬&gt;&lt;            
(4星)	 其实我觉得结局挺感动的。            
