http://movie.douban.com/subject/6110548/	对我说谎试试 내게 거짓말을 해봐
(3星)	 棒子国最不缺的就是富二代和疯子女            
(5星)	 姜志焕大叔哈帅~！矮油矮油。            
(1星)	 再好的演员也抵不过脑残的编剧            
(5星)	 故事虽然简单，但简单得很认真。            
(1星)	 坚持看了半小时毅然决然的弃！没什么可说的，烂片一个！尹恩惠自从《咖啡王子一号店》之后就没好作品了，现在的韩剧太浮夸！            
(3星)	 三角恋没完没了，尹恩惠自从咖啡之后演技大降            
(2星)	 tnnd，恩惠为什么总接这种垃圾本子男主那脸也叫帅？？最受不了男主那声音，尖利的我怀疑他没经过变声期。。连拜托小姐都忍完了的我，这次就冲着对恩惠的爱也实在看不下去了            
(4星)	 花痴了..姜志焕你好帅（¯﹃¯）            
(NA)	 只有我觉得尹恩惠越来越不好看了么= =，还是只是拍的关系，那眼袋仿佛要耷拉下来了            
(3星)	 嫩们都错了，其实小兰才是真正的女猪脚！！！             
(5星)	 通过这部片子，让我喜欢上了姜志焕！那神情的眼神，把个腹黑男主演绎的淋漓尽致！演技啊演技！            
(4星)	 我喜欢姜叔笑得灿烂的样子~好可爱❤ 14集的大街表白看得很欢乐~这才对嘛！ 男人，你要对能为自己愿意为自己付出一切的女人勇敢些！别让我们觉得自己比真男人还真男人嘛~            
(5星)	 笑死了 太搞了 男主角生气的样子最有魅力            
(2星)	 原来是冲着恩惠，但实在太牵强太脑残看不下去鸟......            
(4星)	 真的是冲着恩惠来的。姜志焕的脸真的不能看了。哎。。男一男二都让外貌协会失望了。。。。。剧情老套，但是恩惠出彩、。            
(3星)	 剧情空洞，是为了尹恩惠看的，却发现男主可更爱。            
(2星)	 够俗够老套够灰姑娘，剧情几乎集合了所有韩剧玩烂的狗血无理桥段。这剧已经不仅仅是看到开头就想到结局，而是听到上一句话你就能想到下一个动作，萌点不多，新鲜之处更少。男女主演技还行，相比之下男二从颜到演技到那邪魅的一笑都杯具了点。            
(4星)	 姜哦巴 我中毒老            
(3星)	 有时在谎言里，往往隐藏着比事实还要炽热的真相            
(4星)	 姜帅哥帅到我要喷鼻血了~            
(4星)	 男主角帅的哟~            
(1星)	 还是豆瓣的评价比较靠谱，我坚持看了3/4集，实在接受无能。我一次又一次地试图看尹恩惠的剧，结果一部都不想看完，剧本不给力。《宫》，记住了金桢勋。编剧真是灵魂！就算孔孝真那样的长相，我也看得津津有味，因为有洪氏姐妹做班底的《最佳爱情》，只看了头两集就被吸引住了。这个编剧看来不咋地。            
(2星)	 为什么我觉得尹恩惠脸好油，看起来很脏，而且演得太过太用力...如果换成李多海会不会好一点            
(NA)	 原来尹恩惠这么胖……            
(4星)	 主要是为了看恩惠啊，喜欢她的小兔牙。            
(5星)	 姜志焕真是太帅了，很有成熟男人的味道和魅力，这个片很好看，喜欢这种感觉。            
(3星)	 恩惠在走下坡路了。无聊看狗血的韩剧更是一场虚无。            
(4星)	 主要是大叔很养眼~~~            
(1星)	 是谁说好看的！！            
(5星)	 超级好看的。回味了好多次。男主角好帅，哈哈哈            
(5星)	 很好看~~玄基俊很帅~雅晶也很可爱！！            
(4星)	 男主还是很帅的啊，超爱~~~~~~~~            
(5星)	 看了会跟主演们一起恋爱！很不错的剧！            
(3星)	 男主太丑了！男二太丑了！            
(NA)	 姜志焕很可爱，也很帅气，爱死他了，哈哈，这部电视剧看后让人心情大好，虽然有一些穿帮镜头，但是喜剧搞笑掩盖了一切缺点！            
(3星)	 完全是迷恋男主角，剧情都看不下去了。            
(3星)	 看到第九集不想看了。尹恩惠怎么老了那么多了。            
(5星)	 姜GG好帅~            
(4星)	 对于两位主演的好感驱使我追了下去,相比于剧情,两位的个人魅力才是大部分人喜欢的原因~~可乐之吻太浪漫了~~            
(3星)	 好烂的剧本            
(5星)	 第一部剧，其他的人都是真正的配角。眼睛只需要看着他们两个恋爱就够了。            
(2星)	 为了恩惠看的。。结果看了两三集完全受不了那大叔 而且这部剧里没一个顺眼的男人有木有！最后决定弃剧了。对不起恩惠哇！            
(4星)	 男主角哈帅            
(5星)	 完全沦陷啊！！！姜志焕、尹恩惠~我沦陷了！！！            
(5星)	 男女  又帅又可爱               
(5星)	 超有感觉的组合，超轻松的剧情！希望他们假戏成真！            
(1星)	 看开头就受不了了，俗的不能再俗，果然实力派是我的菜            
(5星)	 浪漫爱情，男主女主十分给力，非常搭。前半段笑果很好，后半段粉红无边。要看浪漫喜剧，就是这部啦。            
(4星)	 我就吃这一套老掉牙的剧情. 我太喜欢姜叔的表情了,那个忍俊不禁啊            
(NA)	 个人情结，喜欢这样的爱情剧~尤其是恩惠的~~吼吼~~~~~恩惠和姜oba很配啊~你们在现实也好上吧~~            
(3星)	 尹恩惠 哎 长残了。。            
(5星)	 大俗的韩剧却是生活的亮点，心思细腻，情节浪漫，牵动人心            
(5星)	 海报不得我心，真人却帅得要命，我喜欢这爱情。            
(3星)	 真心觉得这是枚好社长啊~            
(NA)	 浪漫，喜欢，这只是一个梦。玄基俊这样的男子能碰上真是一辈子最幸运的事了。            
(4星)	 刚刚看完，喜欢姜志焕小孩子的表情，做事有男人的魄力。            
(5星)	 尹恩惠好可爱啊 姜志焕好帅啊啊啊啊！            
(3星)	 尹恩惠是越来越老了..             
(4星)	None
(5星)	 啊啊啊。。帅气的姜志焕啊啊            
(3星)	 尹恩惠脸一直肿着啊………喜欢气质经理。像苦逼的鹤见。            
(4星)	 男女主角都是我的大爱啊 再狗血我也看得下去！            
(3星)	 本来都想打两星了。。但是还是太喜欢男主了。。。再加上前面男主和女主没在一起的时候，真的很好看啊。。。 实际上，对于我来说，所有剧都是这样的。。只是这个烂尾的太凶了点。。。。            
(4星)	 还行吧 对尹恩惠不来电 姜志焕是《加油金顺》的时候就觉得他很帅气了。。所以才看看的。。反正也不长。。。            
(4星)	 当众表白那些段落，好激动人心哇            
(5星)	 真心好看啊！！！！！！！！！！！！！！！！！！！            
(3星)	 尹小姐 岁月不饶人呀            
(5星)	 太搞笑了，喜欢姜志焕的笑            
(NA)	 稀饭姜志焕和尹恩惠            
(NA)	 姜志焕的出场帅啊。。不过，尹的表演有点过。。            
(NA)	 题材不算新颖，但实力演员演绎很精彩~            
(4星)	 蛮搞笑的  男女主角都挺好的            
(3星)	 姜志焕后来变得太可爱啊，前后反差那是一个大啊!!!l哎，看多韩剧嫁不出去哒~~            
(5星)	None
(3星)	 一点不别扭的一对            
(5星)	 好！！            
(NA)	 我是为了看姜志焕来的，就这！！！！剧本有点残，但好在是我爱的happy ending，也OK了！            
(2星)	 果然年纪大了不再适合看狗血剧了，尹恩惠嘴巴一撇眉头一歪摆出囧状准备哭姐就头大啊头大，尤其是最后几集没事就哭，至于么。            
(5星)	 第一次跟著優酷追韓劇啊...第一次一天從晚上十點開始連追五集啊....表和我說神馬韓劇啊不現實啊....絕對滿足你對白馬王子所有想像啊.......嗚嗚嗚...看完了.還不太捨得.當當當~要回到現實仲啦!!!!            
(4星)	 找乐呵~~终于男1没有在女1和女2间徘徊~~解闷兼养眼            
(5星)	 超级喜欢阿!!!!!            
(4星)	 虽然是老套的婚姻契约戏码，看的时候还是有小蝴蝶在心里兹兹兹~~好甜蜜啊odokei[星星眼] 姜志焕好帅啊是我的菜XD            
(4星)	 冲着尹恩惠去看的^^ 看完之后发现很喜欢男猪啊 啧啧啧 但是不知道是不是因为中间换了导演，总觉得后面没有前面好看了            
(4星)	 媽咪最近大愛的，吸引我的是男女主角都算是韓國長相不俗的實力派演員。。喜歡喜歡~~            
(NA)	 尹恩惠尹恩惠 吼~剧情好玩！!！            
(2星)	 真心接受无力... 果断弃剧. 尹恩惠傻里傻气的表演真是让我一阵恶寒            
(5星)	 蛮好看的啊``            
(4星)	 主要是冲着姜志焕来的  我一直都觉得韩剧的女主大部份都是少根筋的            
(2星)	 姜叔老了阿还是！！            
(5星)	 恩惠的着装和状态前半部分比后半部分好，姜志焕相反，越后来越有感觉。            
(2星)	 我要不是强迫症，根本就看不完吧吧吧吧！编剧就不说了，肯定是杯具，但是，男二更杯具吧。。。恩惠小姐能不能接个好本子啊！！！咖啡店积累起来的人气快消耗光了吧。            
(4星)	 剧情一般。男女主角不错。            
(4星)	 姜大叔太有感觉了            
(4星)	 男主角越来越帅了&gt;&lt;            
(3星)	 偶喜欢尹恩惠；姜志焕很帅；允珠很丑；编剧很脑残            
(4星)	 给男主角。            
(5星)	 前面没意思，但越看越有意思            
(3星)	 最后一集不那么拖就好了, 奇骏灰常不错~~            
(5星)	 超级喜欢姜志焕，从洪吉童开始！            
(5星)	 虽然剧情很普通，但是这种可爱甜蜜的爱情剧是在太吸引我了。我爱玄社长。。。。            
(5星)	 超好看^_^)Y            
(4星)	 情节有些老套，喜欢男女搭挡，姜哥的演技真的很好哦            
(5星)	 本剧不错哦。。值得收看            
(5星)	 色长是越往后越让人着迷啊！！！那些只看了一点就弃剧的人，你们绝对有损失！哼。BTW，恩惠演技越来越厉害了。            
(5星)	 完全被玄基俊秒到了，怎么可以那么温柔~            
(3星)	 喜欢男女主角            
(3星)	 男猪蛮对我胃口的            
(5星)	 我太喜欢这个了~！            
(3星)	 编剧的功力实在欠水准，想要表达的内容太多，无奈能力有限。撒的网太大，最后收不回来，于是很多人就成了酱油。为了纠结而纠结的剧情最不招人待见，不是只有哭戏才能突出一个人的演技。剪辑方面也比不上同期的《城市猎人》。如果不是尹恩惠和姜志焕撑场，这戏也就值一星半。而且，这部戏，姜比尹出彩。            
(NA)	 有点假。。不是还是挺喜欢男主角的。。            
(5星)	 好看！            
(NA)	 好在男主蛮主动的 就是应该起保护作用嘛            
(5星)	 个人很喜欢这部电视剧，是我第一个追看的电视剧            
(3星)	 姜志焕好可爱啊，但是为啥女主动不动就哭啊···反正韩剧就是死也哭，不死也哭，最后都是哭死的            
(5星)	 挺好看的呀，轻松又幽默            
(4星)	 我也想要这样的男人啊~            
(3星)	 怎么觉得尹恩惠磨磨唧唧的 演的特不自然 都老了啊 还是看看年轻的脸比较有朝气啊            
(4星)	 啊啊 想看姜志焕……            
(NA)	 这才几年，尹恩惠那张脸已经不能看了            
(NA)	    很喜欢那男猪的笑容。女猪可爱的样子。            
(4星)	 大叔的魅力还蛮大的！&gt;3&lt;            
(4星)	 剧情虽然老套，两位主演是大爱！            
(5星)	 最开始觉得很幼稚，或者说很假。可是越看到后来，越觉得浪漫、感动，虽然其中有很多纠结甚至气愤，可是还是会为男人的果断和智慧鼓掌，也为女人的善良和美好感动。            
(4星)	 演的挺不错，但是有小细节穿帮，是打发时间的不错选择~男主角越看越帅哦~            
(1星)	 尹恩惠的演技算是废了。。。            
(5星)	 我就爱哈哈哈哈哈            
(4星)	 真心觉得姜志焕吻技不是一般的好！剧情挺好的~            
(3星)	 情节就像翻版金三顺，尹恩惠，我真的觉得你长得不怎么样            
(3星)	 有我爱的姜大叔~~确实不怎样，但还是有滋有味地看完了            
(3星)	 结局不够精彩。男一号是越看越可爱，越看越帅，男儿则相反。            
(4星)	 因为喜欢尹恩惠和姜志焕才坚持看下来的。。。。            
(4星)	 完全是因为cp太有爱了            
(4星)	 还算挺有趣的一部片子，剧情确实简单，连我预期中可能出现的搅和王子和公主幸福的巫婆姑姑都没有出现，但是，你又怎么和一部爱情喜剧要深度呢？生活已经好复杂了，干吗要让自己在看个电视剧轻松一下的时候还爱恨情仇的纠结哩。男主角本来不是很喜欢，看完之后大爱。韩国的编剧还真是各种强大啊~            
(5星)	 稀饭稀饭 我又花痴了。。。            
(5星)	 很喜欢很喜欢~!            
(4星)	 剧情撇开不谈 演员很喜欢            
(3星)	 尹恩惠在里面总是满脸油光 总是哭 总是故作坚强 不喜欢            
(2星)	 10集前真白，尹恩惠在演技上已经没有什么看头了            
(3星)	 难得男主还比较正常            
(2星)	 只看姜尹，忽视剧情            
(5星)	 这次真的是爱。            
(4星)	 色长很可爱            
(5星)	 强烈推荐            
(5星)	 超级搞笑····            
(4星)	 男一号真是越看越顺眼啊，笑起来的时候很好看，还有带黑框的时候            
(5星)	 好好笑 好好看！！！            
(5星)	 其实还不错啦            
(4星)	 假装结婚什么的最有爱了~剧情虽然大俗，还是喜欢看~女主衣服好看~男主笑容一流~            
(5星)	 喜欢            
(5星)	 看起来还是满养眼的,符合一贯韩剧的作风.  无聊的时候的消遣品. 韩剧就是这样.~ ╮(╯▽╰)╭            
(4星)	 尹恩惠的牙齿可以换一套了...            
(1星)	 就是喜欢姜志焕啊  但是剧情真不喜欢            
(3星)	 女猪脚肿马胖了好多…牙痛一周，打发时间…            
(5星)	 我觉得片子拍得很好、虽然有一些情节有点扯、但是还是不错的、片子很甜蜜也很温馨、同时也有曲折、很喜欢            
(NA)	 姜志焕气场依旧~尹恩惠可爱依旧~~但是这剧情为何让人看不下去呐。。等有天实在无聊的时候再补完吧。。。            
(3星)	 大叔很可爱的            
(3星)	 不错不错~出了男二很不帅以外            
(5星)	 我倒觉得不错～            
(5星)	 有时，在谎言中，往往隐藏着比事实还要炙热的真相。            
(3星)	 尹恩惠 表演没有任何的突破            
(5星)	 老姜以前就觉得不错，小丫头以前没看过，发现很可爱，LTM是我第一次追的韩剧，虽然除了主角很搭，剧情其实比较狗血，漏洞也不少。但是冲着两位主角，我注册一个豆瓣帐号，挺一下，顺便说一下，老夫年近40高龄            
(4星)	 尹恩惠的衣服我都想买            
(4星)	 姜志焕酱还是很可爱的            
(5星)	 好搞笑哦 (*^__^*) 嘻嘻好喜欢            
(3星)	 前半部分尹恩惠邋遢的形象真是让人无法形容，貌似中途换了编剧让后半部分剧集风格和人物形象截然不同，否则这部剧算是彻底毁了。ps，男二号和女二号也太杯具了，这戏份安排的连打酱油都算不上吧。            
(5星)	 看到第六集以后，我觉得挺好看的。            
(4星)	 喜欢男女主角~偶尔看下肥皂剧也可以~            
(2星)	 这么烂的剧本。。。可以的            
(4星)	 主要我一直喜欢这男人..就看了            
(5星)	 美好的结局 浪漫的故事            
(3星)	 我们大叔呀！！！！！！！我家大叔真心又好看了一次，男人呀男人，太爱这种男人了有木有╭(╯3╰)╮男二又是一苦逼，女二很舒服，干干净净的。            
(NA)	 男主角也太可爱了！！两个人看着就好幸福！！            
(NA)	 非常欣赏的一部韩剧！            
(3星)	 本来是为了尹恩惠才看的…可是看到男二穿着皮鞋打篮球…尼玛太坑爹了看不下去了            
(NA)	 男主猪角都是我喜欢的.不过剧情嘛有点....            
(5星)	 至少比城市猎人好看，起码有剧情有演技！不该这么低分！            
(5星)	 喜欢。。。。。            
