http://movie.douban.com/subject/6129693/	我可能不会爱你 我可能不會愛你
(5星)	张士豪和袁湘琴都30岁了,  但是17岁好像真的还是昨天.
(4星)	现实生活中的李大仁一般都是个gay
(5星)	这货不是偶像剧，这货是文艺小清新……
(5星)	天哪瞿友宁简直叼爆了！居然可以把偶像剧拍得像台湾的文艺电影！屌！爆！了！
(5星)	林依晨和陈柏霖演的非常自然，画面像电影一样。陈又青和李大仁才是我们身边真实存在的你我他，而不像一般偶像剧那样浮夸！
(5星)	在看到李大仁一直在餐厅等程又青的时候，我的思想就又朝着恶俗偶像剧方向发展了，男主等不到女主，黯然离开，然而，我忘了他们是认识了十五年的朋友，拥有那种不用多说一个眼神就懂的默契。看到他们相视一笑时，就觉得温暖。这是部绝对不能错过的剧。陈柏霖和林依晨眼神里都是戏，真的太赞了。
(4星)	而现实就是，无论女生看完电视剧后，是怎样在围脖QQ豆瓣等任何可以被人看见的地方都叫嚣着“嫁人当嫁「李大仁」”。到最后，在实际生活中碰见「丁立威」，也还是会义无反顾地扑上去
(5星)	主演都是演技派偶像的说....看了两集觉得这剧情绝对不是拍给脑残看的...会带给人感触的好剧
(5星)	好久没有感受到的清新之风，瞿导的镜头一如既往的干净明亮直指人心，程又青这样的女孩，不是偶像剧里的公主，她就是你，是我，是茫茫人海里渴望幸福却又没得到幸福的人。这部剧唯美的像电影，不做作不发嗲，林依晨和陈柏霖的搭档让人看着舒服，恍惚我总以为自己在看电影。
(5星)	给我一个李大仁啊混蛋！身高职业外形脾气样样都ok的全能型疗伤闺蜜啊！然后闺蜜成真爱啊！
(5星)	这部剧重新燃起了我对台剧的希望~
(5星)	今年唯一会追的国语偶像剧
(5星)	这是一部可以在今后不断翻出来细细品味、慢慢发酵的好戏，第一集就爱上了，每个独立有正义感的女孩子心里都有一个程又青，希望她们都能拥有她们值得拥有的李大仁。
(4星)	瞿维尼你一直是从未让我失望的偶像剧导演。第一集看到你化身计程车司机，偷偷放儿子的照片讲心里话的时候我的眼泪就掉了下来。那些signature/对白/引用/捕捉…全都是熟悉的小心机。张士豪和袁湘琴的17岁彷佛还在昨天。PS小剧场里把两个主角跟万芳/金士杰换位太危险了，剧场功力一下就被比下去了
(5星)	看第一集就觉得好看。
(5星)	以为是一部偶像剧，但其实不太算，很温馨，很感动，是一部很好看的都市剧。林依晨演熟女，也演得好好哦，程又青独立，正义，骄傲，很多男生都不懂她的好，还好身边有李大仁。下个礼拜天继续追着看。
(5星)	不可能不好看
