http://movie.douban.com/subject/6393340/	当婆婆遇上妈
(4星)	 一个窝囊的男人，一个千方百计拆散人夫妻的婆婆，一个嫁不出去的老处女小姑，一个不管事的公公，还有一堆狂轰烂炸的小三，外加一个帅气多金痴心追求的富二代，遇到这样的婚姻是倒了八辈子血霉！            
(2星)	 这给受过多大刺激的人才能编出这种脑残剧情阿！！！            
(4星)	 这你妈结什么婚啊？！！结婚有狗屁意思啊？摊上这样的婆婆还不如杀光他们全家然后去坐牢。事实证明，谁都比不上自己的亲妈对自己好！！！！！！！            
(NA)	 遇见mammy boy趁早躲远点            
(4星)	 看到最后几集的时候，忧伤弥漫。罗佳仿佛一夜长大。身怀六甲，面对丈夫的背叛，婆婆的凶狠，只有千里迢迢赶来的母亲在身边。很佩服罗佳母亲的英勇。陈大可一家的病态，让人气的牙痒痒，o(￣ヘ￣o* )[握拳!] 。所以说，婚姻里面，必须有个有担当能够明辨是非的丈夫，不然只有悲剧一场。            
(3星)	 为什么我比较喜欢苏晓扬。。。            
(4星)	 编剧编的好～～～赞！演员也不错，导演也不赖，看的纠结又吸引人，真是一家子王八蛋啊啊啊啊             
(5星)	 1.千万别单独一人嫁到外地去，叫天天不应叫地地不灵的2.未来婆婆哪怕一点点不喜欢你都别嫁，后边的事够乃烦的3.你的男人一定要站在你这边4.有担当有责任5.自己的妈妈永远不会害你            
(2星)	 除了戏剧就没有其他东西的狗血肥皂剧。妖怪婆婆，懦弱男人，天真妻子，人精岳母，傻缺姐姐。人物性格单一，看来看去一哭二闹三上吊。很多情节生硬，为煽情而煽情。居然还用色戒的OST！我真是闲得把这电视剧看完了！年轻未婚少女慎重选择。            
(2星)	 無事生非，喪！            
(4星)	 卧槽朱燕真讨厌 不过好喜欢罗佳她妈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 结婚以后还和公公婆婆住在一起的多半不幸福快乐，更何况是这样的极品婆婆外加怨气极深的小姑。            
(1星)	 把人物拍得太傻逼就没意思了            
(3星)	 潘虹是亮点，最精疯狂追大陆电视剧，其实很多不错的            
(4星)	 我擦！！不错！！最喜欢女人斗法了啊！这个婆婆也太势力！太狠了！妈，快上！搞死她！！你女儿特别的惨！她老公特别的没用！！            
(NA)	 以往一直認為愛自己的伴侣 也要愛他的家人 即使不住在同一屋檐下 希望能生活在同一地區 好方便照顧 我遇見過兩個mommy boy 一個談了六年 一個兩年 最傷的不是自己身心疲勞 而是母親為你這寶貝女兒操心和難過 很是抱歉。             
(4星)	 我操，这片子都能拍出来真的是太牛b了。不是说技术含量多么高，而是太真实了。生活中这样的闹剧太多了。艺术来源于生活但是绝不会高于生活的            
(4星)	 儿子遗传他爸！窝囊！！            
(1星)	 哎呀，又有婆媳剧看了。30            
(5星)	 我只是感觉 潘虹老了。真的老了。            
