http://movie.douban.com/subject/6536294/	守护BOSS 보스를 지켜라
(5星)	演员的演技不错，很喜剧啊，哈哈，期待后面的剧情。金在中的演技不错嘛，比其他那些爱豆好很多，台词功底不错！喜欢池城偶吧和他爸爸的场面，太欢乐了
(3星)	男一男二暧昧，女一女二百合，这是个神~奇~的韩剧
(5星)	实在太搞笑了,池城和崔江姬果然是实力派,我们在中也演得非常出色,金在中加油,守护BOSS大发.
(4星)	蛮搞笑的啊
(5星)	小池城你太可爱了~~~~~~~~~~姐当初没白喜欢你~~~~~这剧好看，哈哈哈·~
(2星)	這劇我是肯定不會追的,看前兩集我就吃不消了= =到時候看車部長的cut就好了...........
(3星)	百分之50的5星是哪里来的… 剧情一般 金在中表演痕迹也很重 
(4星)	接档城市猎人的剧果然是完全不同的风格…… 女一号脸上的褶子有点沧桑，男一号演技相当不赖……男二号就是个腹黑表情不需要说话的角色，我们在中sama的新人秀呐！加油！
(5星)	剧情非常搞笑啊，池城在里面很帅啊，和以前的形象有着非常大的反差，虽然是搞笑剧，但剧中或多或少地也反映了社会中存在的一些问题！
(5星)	在中正在展现他作为演员的潜质，用眼神演戏，请期待他的表演，他绝对不会让你失望~
(5星)	很搞笑。看的很欢乐。在欢笑之余还反映了一些社会问题。编剧要给力啊。继续加油。
(1星)	超级难看  金在中被毁掉了......................女主角也很老  而且还毁了男主角   
(3星)	ep04開始有點爛了........
(5星)	五颗星。
(1星)	好寡淡，谁说好看的(﹁&#34;﹁)女主角也不好看。。。在在让我失望了。。无聊死了
(NA)	宿舍同学说我像女二号，莫非是那个大胖？疑惑·
(5星)	虽然架构是传统韩剧，但人物塑造的很有个性，尤其是男女主角，搞笑情节有新意，目前两集节奏紧凑，故事徐徐展开，期待后续
(5星)	男一号太可爱了~~~期待更新啊！
(5星)	剧情很紧凑也很搞笑 演员表演得都很到位 不错的剧 力荐！
(5星)	很好看，都是有实力的演员！
(5星)	为我们在在的努力打上五星
(5星)	五星给池城
(4星)	池城演技一流么~~
(4星)	尼玛那女主怎么看都觉得像周瑾！
(3星)	池城,池城,池城,池城,池城,池城,池城,池城,池城池城,池城
(4星)	男猪好可爱。。。
(NA)	弃
(NA)	还没看完，暂时不想看了
(4星)	会长和大嫂的对手戏每次都很喜感，当然，会长一家都很萌。男主是萌货，女主是最强童颜，女二是天然呆，就男二没什么特点。
(NA)	男主个性太可爱了
(4星)	女二号太好玩了
(4星)	幸好是崔江姬和池城来主演，配角群也都有实力。剧本扣分只在硬被加了2集。
(4星)	崔江姬的衣服不要太好看……
(5星)	除了男一女一男二女二在卖萌，连男秘书们男一爸爸奶奶都集体卖萌来了。。
(5星)	各种欢乐！从男主到男主的粑粑都是表情帝啊，女二也是萌的。虽然女一的颜着实有些勉强，那一层老粉&gt;.&lt;很多人大概冲着金在中来的，但我还是喜番池城哟~
(3星)	姐也看韩剧的，哼！姐是年轻人！这部还ok啦，女主是个努力的小麻雀，两个男主性格和长相完全可以参考≪浪漫满屋≫，嗯，无聊时候看的沙发剧啦！
(3星)	前几集蛮好笑~~看到十三集突然看不下去了。。。囧
(5星)	这是个萌翻的剧啊，韩剧终于正常了，我真的差点被女人的香气给苦情死了
(5星)	超级有爱的一部喜剧，爆笑的毫无做作之嫌。
(4星)	尾大不掉，5星改4星。值得一提的是，角色设计不落俗套，女二太有喜感了！
(4星)	不为别的，只为了男主的简单直接童真可爱，如果我将来的那位和他一样就好了，这样的爱情会简单很多。爱就爱了，然后一爱到底，多么简单明快直接，真好……
(4星)	还蛮可爱的=w=
(5星)	池城太可愛了~\(≧▽≦)/~啦啦啦
(5星)	娇小的本部长很可爱，池演员真是一个萌物啊萌物。
(3星)	所以说这是个单纯的喜剧吗...我明白主演为什么要去running man做节目了...不过话说回来,池城现实中完全和角色人物相反啊,演技真是厉害了...
(5星)	原本以为会让我失望的，结果很给力啊，WULI在中果然很CUTE啊~~男主角池城也不错啊，就是女主角太老像了，眼角纹那么明显的说~~
(3星)	女主角能不能再丑点？看了10分钟就看不下去了。池城嘛，也不是我喜欢的类型。在中嘛，帅是肯定的，可惜姐姐是大叔控。
(4星)	男主的性格太Q了 别扭受啊别扭受~~在中长残了。。。还有 对男的穿正装完全无抵抗力啊~~~女主又老又丑。。。。
(3星)	这种老掉牙很没劲的电视剧，大多数人都已经免疫，但对了解池城的人绝对是一部不能错过的好剧，他突破了以往的成熟稳重的形象，变成一个无知无畏的搞怪派。happy ending~
(2星)	受不了女主，为了看池城才坚持下来！ps在中的脸怎么变了！
(5星)	剧情很有意思，节奏快，演员演技很不错，值得一看的浪漫喜剧
(4星)	现在还没端起影视这碗饭的只剩俊秀了呀……
(3星)	看了第一集果断弃。对女主实在无感。一大把年纪还卖萌&gt;&lt;曾经我觉得最美的在中啊，现在看起来也不怎么样了啊。
(5星)	看完兩集開始等第三集，這劇對我來說是黑馬啊～～因為男女主都是第一次看。男主真得很能演，77年的人能可愛到很自然不做作，牛！
(3星)	77年的女主接受无能，还好是配池成大哥不是配在中..
(NA)	笑死我了支持车车西屁啊
(3星)	在中偶吧，你的表情哪去了~
(3星)	池城好帅，女一好老
(4星)	很搞笑
(3星)	男一号一颗星，男一号他爹一颗星，编剧半颗星，主题曲半颗星，加起来的三颗星被这剧的化妆部门全部毙掉。。。那些手术刀后的花样容貌都被化为原型了。。让人接受不能啊。。
(5星)	池成绝对是最大的亮点 王纸一瞬间变成了很弱的高龄财阀三世 剧情还是有点慢 但演员都表现出色 女主虽然不好看穿的蛮好看的 我们在中跟以前比演技进步很多了 总的来说还是很有趣的一个剧 播出的时候收视率也不错 
(4星)	男主实在太可爱了！！
(3星)	剧情还是照旧的老梗，整剧我都在注意女主角是不是整容没整好。。。囧
(4星)	搞笑的剧情值三星；池城卖萌卖的深得我心一定要加一星。另外咆哮的车会长真喜感，和他儿子之间的互动太欢乐了。。
(4星)	池城无止境卖萌，金在中演技太过于缺乏。无脑无剧情无负担搞笑偶像剧。蛮对胃口的。
(4星)	池城一开始的扮相真难看，看多了就习惯了，然后找了他其他的片子来看，忽然发现这个男人笑起来真温暖。
(5星)	楠竹男配都好萌啊！！
(3星)	很喜欢池城在这部剧的表演，真的是表情帝啊~ 女二也很搞笑，可惜还是没能看完。。
(4星)	2012.01.05我果然稀饭幼稚鬼，哈哈哈
(4星)	男一大爱，女主性格讨喜但人太老。在中………………很畸形啊晕死
(3星)	前几集还真把我逗笑了，难得的韩剧。池城一改往日戏路演了个脱线角色，主演都好丑，连唯一支持我看脑残棒子剧的理由都剥夺了，八集弃
(4星)	难得不腻歪，全喜剧风的偶像剧。男一号的父亲塑造得很生动。主角有成长过程，而配角毫无疑问，各有特色，非常出彩。学习之。
(5星)	主要的人物都很可爱 很好笑~
(3星)	演员不喜欢
(5星)	喜欢可爱的幼稚鬼车智宪。女主角太丑太老，其他都好。很搞笑，配角都很可爱。
(4星)	消磨时间还蛮轻松。
(5星)	真不舍得让他结束……
(4星)	啊，背双肩包的男主这么有爱，不过真的是幼稚。要遇到好的人，才能双方都长进。男一号男二号的感情很微妙啊。我也想练功啊，这次我难得有点喜欢女二号，这个女二号还可以，不像别的偶像剧那么狗血。
(3星)	演员真心丑......丑丑丑      故事也不好看 前面一点还算不错.
(3星)	金在中越来越不好看了= =+
(NA)	弃  不过女一和女二关系好真是少见啊
(3星)	真心是我最后一部韩剧了！！
(NA)	金在中是整残了吧！！！真心难看死了！！！当然女主更难看！！！眼皮上的褶子真是让我大开眼见！！！！
(4星)	池城萌翻了
(4星)	男主角抢眼~
(4星)	加分给OST
(NA)	喜欢别人不太喜欢的女主角。不漂亮，却最真实。
(3星)	少见的感情不纠结，男二女二都很可爱的电视剧。
(4星)	人生第二部完整看完的韩剧。
(5星)	真的超级搞笑超级有爱啊，每个人都超级好玩，每个人都是越看越好看越看越可爱的，当然，除了某个更年期的老女人，你们懂的。PS：为毛金在中笑起来感觉怪怪的好僵硬，整过？
(3星)	么有帅哥美女，配角很搞笑，但是搞笑不等于有趣。。。
(3星)	偶像剧看的就是舒服。所有的偶像情节很美。啊哈哈，难得洗洗眼睛
(5星)	最近感觉最好看的韩剧。很轻松很搞笑，每个人的性格都很好玩。特别是上一辈们orz
(3星)	后面还是太平淡了
(3星)	每天吃饭时看看，韩剧果然是YY之王~~看了十几集，弃。。
(4星)	还不错啦，一如既往大团圆。这种片子适合我。
(3星)	职场穿衣指南。BB霜系韩国男女必备日用品！
(5星)	女二是真的很可爱 
(NA)	女主很会演啊，是jijiromanxi里面的，啊哈~
(NA)	先结婚后恋爱 找到那个让你变优秀的人
(4星)	前面很好笑.我喜欢韩国中年男子的演技.
(5星)	很好笑的一部剧，对女2男2无限好感
(5星)	爆笑剧，但不肤潜。刚开始因为池城的傻样为追不追纠结了很久，后来经不住被群众反复游说还是看了。最后，近来编剧中流行男一男二女一女二都不讨厌风么？
(NA)	三分给男一
(4星)	轻喜剧 不错
(3星)	不喜欢男主不喜欢男二，比较喜欢男主他爸。
(NA)	弃 我实在木有耐心了
(3星)	致命的弱点在于，女一实在是……太……老了！！
(4星)	多有爱的池城先生啊，连跟你一起卖萌的金在中都变亲切了呀。
(3星)	大爱崔江姬~
(5星)	轻松可爱
(3星)	追女人的香氣的同時看守護boss，相比起來自然更喜歡前者。守護boss中女主顯然是以為過度減肥＋熬夜＋化妝技術不佳導致面部形態的消極體現。男主的性格實在也是過度幼稚化，權當鬧劇來看。加上在中，哎，在中，妳被化妝師給毀了啊。
(4星)	纯是为了咱爷啊~大发~~
(NA)	女主实在太老了，少女身材大妈脸。男一还不如跟了男二。女二超有爱。
(2星)	在中啊。。
(4星)	非常搞笑——————超喜欢池城，虽然本剧后面部分有烂，但结尾几集编的不错，没虎头蛇尾，不错，哈哈，太喜欢啦
(5星)	能看见你。已经是满分。
