http://movie.douban.com/subject/6714078/	吸血鬼日记  第三季 The Vampire Diaries Season 3
(5星)	None
(5星)	 我爱Damon            
(5星)	 我们曾相爱，想到就心酸。            
(5星)	 尼玛！开始了！            
(5星)	 我的SE一定要坚强！            
(4星)	 我是DE党，为毛看到E给的S电话留言还会想流眼泪。。            
(3星)	 编剧脑袋真是被驴踢了            
(4星)	 这部剧出的时候感觉跟过年一样哈皮            
(5星)	 追的肝儿疼……            
(5星)	 编剧牛逼的不是一点点            
(5星)	 每周也就指着这些更新的美剧活着了……            
(NA)	 真心觉得不错，剧情紧凑，角色长的养眼            
(NA)	 ED恋是不可能的……悲惨的D            
(5星)	 这虐的，S要不你还是和E在一起吧…不是Elena，我是说Elijah。大萌？大家不是都看好D&amp;K麽…嗯我没说Katherine。Klaus？自动面壁去~人家和Caroline多般配…我说的明明是Kol。            
(4星)	 越来越虐人的编剧            
(2星)	 这么邪门的剧情，长得再帅也没兴趣了。            
(5星)	 好看了，每一集结束的时候的完全的想快点看下一集了，哎哟，好难等的啊。            
(5星)	 又开始了新一季的不淡定！！！！！            
(3星)	 吸血鬼的狗血日记            
(4星)	 一般 但我实在被美剧这种从三角恋规模变成人鬼世纪恋规模的本事征服了……            
(5星)	 渐渐精彩，值得追。。。。            
(5星)	 当然是满分了。啊啊啊。            
(5星)	 越来越好看了啊！            
(5星)	 DEDEDEDEDEDEDEDE            
(5星)	 越来越错综复杂 依旧牵动人心~            
(5星)	 美国人假期还能再多点，动不动停播            
(3星)	 好吧，居然这么早就停播了-.-不过我也不会追了，太扯了，越来越混乱。            
(4星)	 好吧，2个通宵看完的，我真觉得第三季好看多了，关键是elena和damon那暧昧的火花四溅啊，看到高潮停播，有够郁闷的，绝对的D党！            
(5星)	 5 stars for Joseph Morgan&gt;U&lt;            
(5星)	 目前美剧最爱。            
(2星)	 bored....            
(4星)	 又要开始追着美剧看啦\(^o^)/~            
(3星)	 决定弃剧            
(5星)	 吸血鬼日记第三季第一集已经出来了,在线观看地址，百度搜索“我爱美剧网”出来第一个就是的。            
(5星)	 目前美剧最爱。             
(3星)	 本来是喜欢damon的 但是klaus一开口我就倒戈了= =             
(4星)	 各种虐心啊，活着的死了，死了的又活了，就这么活活死死，绵远不绝啊！！            
(4星)	 出得好慢。。            
(4星)	 老K虐！死！我！了！            
(NA)	 第三季终于把我看累了。。怎么又不想看了            
(4星)	 当以为是恐怖片的时候，发现是爱情片，以为是爱情片的时候，才发现是复仇片，觉得可以定个位是复仇片的时候，第三季告诉我们这是一部讲述儿童幼儿教育的亲情片。            
(3星)	 S3E11是洗白我的啊K么。E12是不是让我这等以叔控的福利！不得不吐槽的是上一季善良的E捅死了相信他的以叔，这一季她捅死了对她敞开心扉的R妹。真不知道到底谁是反派啊魂淡！            
(3星)	 S3E10极度肥皂化. E11, better            
(4星)	 我喜欢的一直是Katherin~            
(NA)	 果然素老了 啃不动这款骨头了            
(3星)	 老套路。纠结的爱情故事。            
(NA)	 期待E与D滚床单，期待克劳斯与凯瑟琳滚床单            
(2星)	 CW的剧真是没一部能看下去的。。CW的编剧们。。我服了。。你们太能扯了。。想着法的变戏法却完全不注重细节。。            
(5星)	 什么时候出第十集啊！！等得我好苦            
(5星)	 强大的编剧 什么人类 吸血鬼 狼人 鬼魂 狼人+吸血鬼混血儿 女巫 。。。一切超自  然的生命体 各种情景各种出现 敢不敢在出人意料些            
(5星)	 剧情一如既往的混乱狗血，但还在激情地追着看下去，这到底是为什么。。。            
(5星)	 大萌 姐心脏病都快有了！            
(5星)	 这一季比较丰满~            
(5星)	 第二集末尾。！！！！！！！！！！！            
(5星)	None
(5星)	 剧里SE剧外DE 怎么这么美好呢 哈哈哈哈哈哈            
(5星)	 又要停播啦····吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖吖            
(5星)	 考完雅思开始看。            
(5星)	 编剧太厉害了。。            
(5星)	 偏爱吸血鬼题材，演员也都是喜欢的颜，美剧编辑真的很强大，感觉可以无限编下去，希望不要烂尾~~            
(5星)	 敢不看吗！！？？            
(3星)	 言情、二逼、琼瑶、编剧山穷水尽            
(3星)	 纯粹为了klaus            
(5星)	 越来越有点样子了啊            
(3星)	 没动力了。。            
(3星)	 随着越来越狗血的剧情,我开始考虑要不要弃了它....            
(5星)	 期待bonnie和anna快出现啊            
(5星)	 第三季看习惯了            
(4星)	 就这样继续狗血下去吧！            
(3星)	 弃            
(5星)	 三个人可以这样纠结 这样也可以            
(5星)	 编剧太会编了            
(2星)	 我们的敌人最开始是Damon然后是Katherine然后是Klaus然后还有谁？？？            
(5星)	 急不可耐啊            
(NA)	 而Jeremy虽然跟Matt成了基油，但是两个前女友Vikki和Anna一直在他眼前晃，引导他健康的取向……  哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 弃            
