http://movie.douban.com/subject/6753079/	绯闻女孩  第五季 Gossip Girl Season 5
(3星)	 每次都要吐槽一把剧情但是又忍不住继续看下去的我好贱啊            
(5星)	 不懂的人不会懂            
(4星)	 上东区  搞破鞋~~            
(3星)	 我看这部剧的动力就是nate啊，其他的一概无所谓啊~~可是你又要和老女人纠缠在一起是闹那般啊！！要不你直接变GAY吧！！！            
(5星)	 哈哈哈哈哈！！！！！孩子不是我的！！哈哈哈哈，咦我怎么哭了            
(4星)	 希望剧情不再几个人周而复始了   希望能看到B和C的故事继续            
(3星)	 总要看看有钱人的生活的，看看衣服什么的，这个剧集讲的什么对我已经不重要了。            
(4星)	 那个翻译。。。搞什么狗            
(2星)	 终于弃了！已经到了完全看不下去的地步了！            
(3星)	 大家都不喜欢摩洛哥王子，我喜欢            
(4星)	 要不是为了BC恋才不会看呢            
(4星)	 心里还真的蛮希望B和王子能走到最后啊……B都已经怀孕了，这季会是最后一季么？            
(4星)	 你们的关系。实在太烂了。            
(2星)	 1集弃……BG排列组合完了之后要开始搅基了么~            
(5星)	 C you&#39;ll never walk alone.            
(NA)	 垃圾！第一集就看睡了            
(4星)	 别人眼中的庸俗终于告一段落了            
(NA)	 這片子已經五年了，中間有一年沒看結果第一百集看起來好像沒有斷檔過。就爲了看那幾眼VERAWONG的婚紗和禮服最後結尾卻瞎了我的眼……………………告訴我G不是GG！！！！！！！！！！！            
(3星)	 无字幕果然不太爽……            
(2星)	 竟然還在拍……好吧，我只能說再接再厲了。            
(2星)	 啥时间 关键想知道怀孕的事啊啊啊            
(3星)	 上东区名流们的糜烂生活。            
(2星)	 看了头两集就弃了。女王你究竟结不结？            
(2星)	 本来听说这一季有基情才又重新开始看的啊！！结果~！特么又是坑爹啊！果断弃剧。。。。。            
(4星)	None
(NA)	 12            
(5星)	 111213            
(2星)	 hold不住了，一堆二逼，果断弃剧            
(5星)	 100集了，纪念，GG是我看过最长时间的美剧了。            
(NA)	 不知道为什么我居然还看了几集……            
(2星)	 爛尾+棄劇；編劇越來越挫越來越狗血完全八點檔嘛!!!            
(NA)	 听说第100集了所以看了下这部弃剧～我tm就是喜欢dan～完全吻合现实生活是不是-。-            
(4星)	 走温情线，当年看多了狗血剧情现在都好淡定            
(4星)	 尼玛的编剧!!!让B和C在一起你会死吗!!!别这么虐人了好么!!!            
(2星)	 大过年的，做点无聊的事情吧。。。            
(NA)	 我是来瞅VERAWANG的            
(5星)	 C絕對不能死T T            
(4星)	 从来都是有C和B的部分才看的 我算不算看过哟~            
(3星)	 感觉越来越错综纠结复杂 没有刚开始好看            
(4星)	 突然觉得第五季反而比以前的每一季都好, 可能跟我的经历更多的重合, 可能我对这个阶段的种种命题更感兴趣, 可能我更加了解美国, 也更加了解生活.            
(2星)	 你总要明白这些都不是生活.            
(5星)	 my dear Chuck gosh god bless you on X&#39;mas eve, T^T            
(4星)	 高考后就没离开过我，不论怎样，2年的友情            
(3星)	 完全抓不住编剧的点            
(NA)	 外貌协会表示粉喜欢。            
(3星)	 第五季意外地还行            
(4星)	 习惯性追了。。只是想知道结局。。。            
(NA)	 差不多可以完结了。            
(3星)	 希望后面剧情更精彩。            
(2星)	 再不大结局就老了，快换血吧。//12集弃。            
(5星)	 继续追.            
(2星)	 美国脑残剧            
(4星)	 明显逊色啊。你们是要chuck怎样啊？？怎样啊？？            
(4星)	 那个查丽的沙哑嗓子 torn me into pieces            
(3星)	 还能狗血多久？            
(5星)	 既然追了，就继续追下去吧。。。本季希望来点新意，别再虐BC了             
(5星)	 看人而已。。            
(4星)	 我都快忘了，第五季早看完了，竟然只有十集。据说第六季CB终于结婚了。看来我还要继续追            
(3星)	 这回查克真的死了吗。。。又耍人了            
