http://movie.douban.com/subject/6778668/	你是我爱人
(3星)	 张国立甩不了邓婕，只能在一部又一部电视剧里意淫各种吃嫩草            
(5星)	 这戏演得很真实，符合实际，适合家庭一起看，只要有个好心态，平和的对待里面的人物角色，会有教育意义的好戏！！！            
(2星)	 我特别不能理解一个外地姑娘因为没钱交房租被房东赶了出去，然后被自己闺蜜的男朋友的妈妈的闺蜜的前夫的姐夫暂时帮忙住在人家一套闲置的老房子里，并且也说了是暂住，可这姑娘居然一搬进去就一副常住的姿态，贴壁纸安窗帘摆玩偶还穿着露大腿根儿露乳沟的蕾丝吊带短裤给她闺蜜的男朋友的妈妈的闺蜜的前            
(NA)	 1            
(4星)	 最自然的是柳宴，贱的自然朴实。对白特别到位，句句见血。            
(4星)	 我挺喜欢廉洁妈妈的，天下父母心都是一样的。蔺海强是好人！            
(2星)	 个个都是贱人~没啥好看的~~~~还是看点温情的国产剧比较对我胃口            
(3星)	 张国立，邓婕，陈建斌            
(NA)	 虽然片子被剪的乱七八糟。柳宴和廉洁最后的对话，有些出乎意料的精彩。难得国产剧这么看透人生的。陈彤是个好编剧。            
(3星)	 前十五集觉得能打个4星。。后面整个剧情就有点莫名奇妙了。前半段，觉得挺生活化，挺真实的剧，后半段感觉就是在扯            
(1星)	 弃。片名应该改成《我的男友有老婆之真爱无敌》            
(3星)	 电视剧里的人怎么这么单纯阿。。他们是不是都不看电视剧的阿。。             
(NA)	 6 有用 HP2012-01-04张国立甩不了邓婕，只能在一部又一部电视剧里意淫各种吃嫩草哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 电视剧里的人怎么这么单纯阿。。他们是不是都不看电视剧的阿。。            
(1星)	 光腚棕菊不让穿越，那就一起来出轨小三吧！玩什么纯爱型的小三，我呸。一星给蔺老师，各种混蛋无聊恶心吐。            
(3星)	 不喜欢秋眉。。。            
(1星)	 麻麻天天看我也听了好多集= =所以男人不管多大都喜欢18岁少女是吗！！！！！！！两位已婚主演只能在戏里YY萝莉了~另外邓婕说话怎么那么刻薄啊~            
(3星)	 正在看            
(4星)	 挺好看的。            
(4星)	 喜欢海强和廉洁  电视剧不错            
(3星)	 裸婚？年轻人面对金钱权利的引诱，能够承受多少？一对情侣，面对社会的繁华及现实的落差，面对家庭的世俗世故及自我期望的落差，我们又能够承受多少？“携手那么难，不怕有牵绊，风云多变幻，好在有你陪伴”，祝有情人终成眷属，别误入歧途了。            
(5星)	 看了一集，就开始追了，哈了，好看！            
(3星)	 都是这个寒假和麻麻一起看的好嘛 我切台她还和我急叫我去里面看            
(4星)	 陪我妈看完了，又为我增加了一部看过的连续剧。            
(3星)	 现实性强……            
(3星)	 在三亚度假的时候看的。。也就那么回事儿卜 啧啧            
(3星)	 前面不错  后面扯淡            
(5星)	 张国立双下巴和我爸太像了，挺好看的一个片子            
(NA)	 陪妈看看。。。            
(3星)	 这夫妻俩真赚啊            
(3星)	 大结局搞笑了 幸福的四口之家？            
(5星)	 太喜欢了1            
(3星)	 可恨之人必有可怜之处= =            
(NA)	 极品真多。编剧是各种烂事儿直播贴看多了吧？你看小三虽然不招人喜欢，但也未必落得不好的下场。            
(3星)	 虎头蛇尾的一部连续剧。前10集剧本一流，有代入感；中间开始流于俗套，狗血情节增多。内容不足却硬要弄够30集，结果后10集几乎都在表述同一个情节，反反复复，不厌其烦。结局收得相当随便，又是那种“得一病想明白一辈子”的设定，很没劲。此外，小三善终的结局，太三俗了！            
(4星)	 柳宴从头到尾都让人讨厌,海强从头到尾就是软柿子,廉洁的工作我最爱,秋眉是最正常的女人了,海丽简直就是个神经妇女.总之就是看了能气死人!结果太傻,内容还不错,气也值得.            
(4星)	 国产剧里比较有内涵一点的，虽然有些剧情安排的戏剧化了，所有的矛盾都是用同一种手法化解，但是对白幽默在理，不乏一些关于感情和人生的教育片段，只有经历了才知道的道理，相信导演编剧应该是有亲身体会的。            
(3星)	 讨厌秋眉            
(3星)	 除去几个金牌戏骨 一切都很狗血            
(4星)	 看见廉洁，就像看到未来的自己。看来这辈子是成不了像秋湄这般讨好众人的「好」姑娘了。但是这究竟是好还是不好，我真不知道            
(NA)	 真的无法想像廉洁跟蔺海强接吻!            
(3星)	 最初觉得挺好看的，但后来被那一堆中年妇女没完没了的唠叨和操心弄得有一些窝火，要摊上那样的更年期妇女日子得整崩溃了。            
(3星)	 最真实的是柳宴，其他人都太空            
(3星)	 偶尔看部电视剧真充实，就像听一个朋友的故事一样，哈哈~春节跟到妈妈看的。。            
(5星)	 张建斌演得很好，把蔺海强演得入木三分，大爱。            
(1星)	 三观不正，一群贱人……被迫陪老妈看完了……            
(4星)	 不错的            
(3星)	 最后结束的太诡异了。之前打的那么严重后来瞬间就在一起了= =+            
(3星)	 这海报做的            
(3星)	 小三上街，人人喊打！            
(5星)	 好看，真实，张国立的戏份太逗了            
(3星)	 支持小三来的            
(3星)	 台词超欢乐。。。            
(2星)	 还真时尚。            
(2星)	 只有台词没有剧情。一个镜头能演半小时，要不是我有始有终的原则，好多次都想不看了。            
(5星)	 不弱啊            
(NA)	 话说我挺喜欢廉洁的 虽然对白编剧写的有点假 但是妹子真心人美心善啊            
(5星)	 出轨是一种时尚            
(4星)	 前面现实 后面有点儿为了不给观众遗憾 刻意制造的做作完美            
(3星)	 车里拍的场景实在是让人喜欢不起来。张国立成功的让我见识了一个稍微成功了的男人，在妻子变老，变胖之后，喜欢上了菜场上的新鲜菜。真tmd让人恶心啊，可是谁能说女人不一样令人作恶么？奉劝一句，女人何苦为难女人廉洁也让我喜欢不起来,尤其是她那妈.诶.父母都是为了孩子么.            
(3星)	 刚开始看还行，往后就闹心了，各种极品啊，看不下去了            
(4星)	 七长八短。还有点道理            
(4星)	 大过年和我妈一起看的电视剧，其实不怎么好看吧。但我妈很喜欢，我也就和她一起看下来了            
(4星)	 找找自己的位置好好确定下自己爱了没            
(3星)	 前半段觉得还挺好看的，后面情节好纠结            
(3星)	 不可思议，人物太单纯！尽管里面话，似乎很有道理，但是，剧情，太狗血了，尤其是蔺老师，简直非人啊！佩服至极！大家都是有血有肉的，我觉得角色不够饱满！            
(3星)	 陪妈妈看的            
(NA)	 30            
(3星)	 “得之我幸，失之我命”            
(3星)	 在剧中可以找到未来的自己。            
(4星)	 如果这部剧有续集，我猜廉洁一定会是个杯具            
(3星)	 凑合吧。不喜欢廉洁，讨厌秋眉。            
(4星)	 台词都挺有教育意义的 各种诠释了什么是真爱  就是结局对小三也太好了 充分说明自己有本事比什么都强             
(NA)	 还不错～～            
(2星)	 天底下 还有谁是数落你两句就能给你买套房子的            
(5星)	 一部掺杂人生百味的电视剧，带点人生道理，最重要的是两个大波妹对待爱情的观念截然不同，但都最终得到了幸福生活。            
(3星)	 一般吧            
(3星)	 剧情里都很现实，傍大款，小三，毕业学生就业问题，婆媳关系，房子，婚姻年龄差，离婚，隐婚，你想看的生活琐事都能在这部片中找到。前半部分叙事较为紧凑，尤其春生与秋眉的纠葛，海丽的捉小三，最后激发感情的矛盾还能吊足观众的口味。后面的剧情感觉就是瞎扯，结局后，让你讨厌了那两个年轻的姑娘。            
(3星)	 蔺海强是个好男人            
(4星)	 当小三不再小三时我居然不想看了            
(4星)	 蛮好看的 就是那款小三太恶心            
(3星)	 我妈妈逼我看的 说是受教育 这部剧很现实            
(2星)	 邓婕永远是一副后宫相            
(3星)	 3.5，还是不错的            
(3星)	 第一次看这种现实苦情戏，我居然还真给看完了，只能说明是真的老了吧            
(4星)	 喜欢看张国立演的电视啊            
(3星)	 喜欢柳宴，刀子嘴豆腐心的女强人；喜欢海强，善良，但善良的人免不了懦弱和悠游寡断；讨厌廉洁，很脑残，怎么那么讨厌啊；佩服秋眉，一切不容易啊            
(4星)	 现在国产电视剧越来越不错了，剧情可以，个人认为咏梅很有气质            
(5星)	 很喜欢，特别喜欢            
(4星)	 不错，挺好的            
(NA)	 当时在想廉洁可以坚持多久，这感情最后还是这么不堪一击吗，还好，坦诚相待与信任化解了危机。            
(5星)	 跟着母亲大人一起看的，挺现实的片儿~            
(5星)	 秒杀老中青            
(3星)	 我去 我竟然看完了，可怜可恨是双胞胎            
(3星)	 从20集开始看到张国立找一小三，演得很不错            
(NA)	 结局最幸福的人竟然是小三儿！编剧想传递的精神是当小三儿的人才是最幸福是么？！            
(3星)	 我可耻的看国产了。。。10年没看国产了，只因喜欢廉洁这样的姑娘。            
(3星)	 本来该给4星 但是因为太讨厌张萌了 一无是处还装纯情 用真爱给自己脸上贴金 最主要是男人们还觉得这种女人楚楚可怜            
(NA)	 按照自己的意愿去生活，无所谓对错，得之我幸，失之我命。            
(3星)	 真不敢相信，我居然看了这个，为了接地气嘛。中国电视剧，哪怕是现实题材的，人物关系和情节都特别扯，特别理想主义，特别窝囊。            
(4星)	 这片还真是刺到我痛处了.....哎            
(3星)	None
(4星)	 编剧恨不得借剧中每一个人的角色之口把道理给全说透了，反而唠唠叨叨讨人嫌；先前剧情发展都是拿计算器算出来似的精密，结尾反而煽情又不自然；总的说来，还行吧~            
(4星)	 后半部分实在太慢节奏了            
(4星)	 没事儿找事儿呗…            
(4星)	 剧情真的不错，挺紧凑。尤其喜欢海强的经验之谈，还有最后一集中柳宴和廉洁的对话，真的太精辟了，“得之我幸，失之我命”，要是人人都能有这样的人生态度，这个世上便会减少很多纷争吧            
(4星)	 人生由很多遗憾组成，得之我幸，失之我命。            
(NA)	 陪我妈看完的            
(3星)	 在家看了几集，真不喜欢廉洁，满脸油光            
(4星)	 台词很现实            
(3星)	 结局还是有点俗套            
(4星)	None
(NA)	 陪妈妈看那芒果的故事            
(5星)	 good            
(5星)	 编剧好，台词好，陈建斌好。            
(4星)	 蔺海强似乎是编导的代言人，承担着纠正不良意识的重任。但如果没有他，会沦为《婆婆来了》那样的悲喜剧。有小姑娘把它当做教科书，有其道理。“廉洁”很纠结，反而不如“秋眉”那么坦荡，那么拿得起放得下。            
(4星)	 还不错            
(3星)	 结局理想化了。            
(NA)	 每个人都能在剧中看见自己            
(4星)	 大陆近几年少见拍的很不错的现代剧，很真实的贴近生活。            
(2星)	 俩女孩“搀和”在俩姐弟各自家庭中（满眼的苹果手机、电脑……）            
(4星)	 在湖南台一集一集磨完的...还不错            
(3星)	 是别人强烈推荐的  但看到第七集就开始跳着看了~故事情节跟我想的一点也不差  所以有点小失落            
(NA)	  我真是讨厌廉洁,觉得做人像她这样 挺失败的,有着高学历,有自己的父母,而且没有童年阴影,为何要死赖着她所谓喜欢的男人呢,可以把精力用在自己的事业上,如果是真的爱海强,而海强处在纠结状态下,应该适当的学会躲避,不要给对方压力 真是离不开 放不下 你可以等 或告诉海强 有需要时可以找她 在你现在的状            
(3星)	 秋眉、廉洁，名字能看出性格，各自的命运说明读书无用，eq比iq重要800多倍            
(4星)	 很真实～            
(4星)	 浮躁的社会干净的人只有遇到彼此才能在一起            
(3星)	 所谓芒果台的开年大剧，相当凑合呀            
(NA)	 看完了！斯基瞒在里面就是柏阿姨啊！家长里短都要管啊！二十岁的小姑娘感情遇到挫折了要找他；他姐老公外遇了要找他；前妻还不依不挠找他找他就找他。我都替他累啊！！！！就斯基瞒那个角色设定和年龄差很萌，脑补很好用XD 顺便小姑娘找老公可以参考下……（喂            
(4星)	 这个电视剧告诉我们，同样相差二十岁，但是和结婚有老婆的就是小三是不道德的且必定会失败，但要是和离婚的在一起，就是爱情            
(4星)	 人这一辈子，这么短，真的不必活得这么纠结。按自己的意愿，去做自己喜欢的事，一切都是随心的好。得之我幸失之我命。柳宴最后的感悟挺对的，对于孩子对于爱人，都是这样，不要把自己的意愿强加在他们身边，每个人都应该有自己喜欢的生活方式。            
(4星)	 还成~谁叫我大叔控呢。并且，我尊重每个人的选择，但不表示我赞同。有人质疑秋眉的好结局，我觉得她也不容易，还得带自己老公的情人去堕胎，一般女人谁受的了。廉洁就一文艺小青年，不过难得还会做菜洗衣服照护小孩。建军实在是太不靠谱了点，要知道有时候自尊是资本换来的，否则不就一孔乙己嘛            
(3星)	 不明主题            
(2星)	 电视剧重对白轻情节几乎已经到了让人无法忍受的地步。整部电视剧不过是在换各种不同的场景，说不同的话，虽然其中不乏一些反映现实的警言警句。            
(4星)	 最喜欢的就是张国立了            
(3星)	 狗血            
(4星)	 我太追求女性的知性美了！            
(3星)	 跟老妈一起看的，莫非小三得到最好结局就是现实吗～这也太扯了吧。。塑造了几个很讨厌的角色啊～            
(1星)	 这种点视觉传输的价值观就是，20多岁小姑娘嫁给40多的离异男人，其独立自强原配得癌症病死。。。。真是没别的话了！！！！！            
(1星)	 这是什嘛神奇电视剧？？名字应该叫做：小三的奋斗史！片中最好的姑娘反而过得很艰难30岁了还没嫁粗去，小三却绑了个超级高富帅！又好像要接大公司了！编剧是在教育我们广大嫁不粗去的女性要去当小三咩？？？            
(2星)	 莫名其妙            
(5星)	 喜欢张国立            
(5星)	 台词还是很能启发人的            
(4星)	 社会，家庭，情感衔接的一个缩影。喜欢看廉洁童真般的调皮表情，还有蔺海强对待事物的见解，耐人寻味。            
(3星)	 没事看电视都看完了。。            
(3星)	 陪阿妈看点家常里短。蔺海强和廉洁蛮好，其他很多角色太极端。            
(3星)	 好蛋疼啊            
(3星)	 没有预期的好            
(4星)	 还就看上邓婕的泼辣劲了 凤辣子要是没了传统家庭约束 不就得这样啊            
(4星)	 剧本写得不错，很符合当下。特别受不了的人物:柳宴，海丽，廉洁妈。            
(1星)	 其实没看这部戏。不讨厌张国立老师，也不讨厌邓婕，但是他们一起出演有关“小三”的家庭伦理剧，就觉得不是很舒服。知道当年事件的人，也都应该知道邓婕就是在张默的母亲怀着张默的时候出现的小三啊。多年后张默的舅舅写过一些关于这段往事的回忆录吧，看着就让人觉得张默的母亲挺不容易的。            
(4星)	 每个电视剧都是现实为基础，赤裸裸的现实            
(1星)	 每天被迫看的要吐了。。。            
(1星)	 一部混乱和狗血到让人不敢想象的电视剧，居然看完了。最后看到小三成为了最幸福和成功的人，获得了高帅富，孩子和一个大公司，同时她还是一位19岁开始在北京闯没什么文化却可以装苹果双系统和随便窃取他人QQ聊天记录的超级“电脑高手”。对不起，我也阵亡了……            
(1星)	 全部是大贱人            
(5星)	 人物复杂，没有明显的善恶。又有感情的焦灼，又有现实的诱惑。莫说老娘们儿猛于虎，“外地小姑娘“也不是省油的灯。剧中廉洁这样的，最不喜欢。            
(3星)	 结尾让我想骂人            
(5星)	 真实的像是身边发生的故事。            
(2星)	 阵亡了            
(3星)	 蔺海强很经典~~~！堂客们真的很罗嗦诶。。            
(2星)	 剧情真的有点二。不过现在的人，怎么想的都有。什么事情都只有自己最清楚            
(3星)	 关于小三的故事，挺喜欢看蔺海强和廉洁的那段，年龄不是问题，两个人在一起舒服很重要！            
(4星)	 还不错~爱张萌            
(4星)	 被老妈培养出来的 也许小三还真得用辩证的态度来看             
(5星)	 个人很喜欢            
(3星)	None
