http://movie.douban.com/subject/6855096/	我也是花 나도, 꽃!
(5星)	 这个世界，一个怪胎总会遇到另一个怪胎的加强版！            
(5星)	 第一集两位猪脚演技还有点生硬 but往后走就越来越顺了 台词很赞 老套故事讲得有点小跳跃很打动人 尤其父母离异给孩子带来的伤口这种题材能触动很多人的内心吧 金道宇果然靠得住啊 还有非常加分的一点是这剧的配乐实在无敌了！！！第四集里边响起jessie j的sexy silk时我就决定打五星鸟 推荐推荐~~~            
(5星)	 非常喜欢！特别是男主角的演技，太棒了！我都被他带进戏里了！            
(5星)	 很温暖的一部电视剧，演员细节的处理十分自然，很生活，很贴切。在捧腹大笑的同时，却蕴含着深刻的人生哲理。男主角年纪看着虽小，但却演出了你完全可以依赖的成熟稳重。一口气看完8集，更多的是笑，后面的剧情应该会很纠结，很虐心。            
(5星)	 现在来说的 韩剧里比较好看的一个了，尹时允的演技真的不错，面包王的时候还真的觉得还好，现在越看越帅，演技也不错·····            
(5星)	 收视率低到令人心痛，完全和剧集的质量成反比。            
(5星)	 30多的李智雅看起来像个18岁的小女森 不可思议。。。保养得魅力。。。尹时润很萌。。。。。好看             
(4星)	 两颗给尹时允,两颗给Suzy唱的&lt;眼泪太多&gt;            
(5星)	 男主帅气啊……            
(NA)	 尹时允这种小家碧玉型男子实在不符合我的审美，要是金载沅没有受伤的话，这部剧应该会更好看的，起码在外型上他和李智雅更般配……            
(4星)	 很多时候，我就是需要这样一部不用动脑筋欢欢乐乐地看的电视剧。            
(4星)	None
(5星)	 喜欢尹时允。            
(4星)	 女主好美 两个女配都是 整容是失败品吧 其中一个半张脸都是歪的...理解无能.....            
(5星)	 非常非常好看            
(3星)	 又是徐孝琳            
(5星)	 有时看到男女主角，都挺痛心的            
(3星)	 冲着金三顺的编剧去看的。看了两集，目前好看。            
(4星)	 基本故事结构就是自己犯事自己再学会擦屁股的故事结构。            
(5星)	 平时都不怎么爱看韩剧的，原本是无聊开始看了一集原以为是恶俗的桥段泡沫剧，由于剧荒等到更新到3集时跟着看下去。之后，很庆幸当时自己看了。不输于当年的金三顺和狐狸在干嘛的引人……居然没有快进着看还追剧了还入贴吧了……细节制胜的剧情和值得赞的OST&amp;唯一奇怪的就是破收视率怎么和质量成反比            
(3星)	 要是换个好看点得女猪脚就好了啊~~男主角还是很喜欢的，小李准基            
(4星)	 很久没看到这样清新搞笑，耳目一新的电视剧了，女主角不错            
(5星)	 让轻度泪腺沙漠症的我们得到些许片刻的湿润 欢喜            
(5星)	 一氣呵成，不拖拉。男主動的時候要帥氣，單眼皮，很可愛，女主表情很豐富。            
(4星)	 这不是一般的韩剧= =完全猜不透剧情            
(5星)	 今年冬天难得一见的好剧。剧中没有真正的坏人，也没有真正完美的好人，只是一群不懂得爱与被爱，就成为了大人的人。。。我也是这样的人吧？！ 不断的努力学习爱人和被爱。            
(4星)	 收拾爆低的剧 为什么我还很喜欢？ 真心觉得尹施允演技不错啊 单眼皮什么的最喜欢了 所以老套的剧情还是可以接受的            
(5星)	 蛮好看温暖的一个剧不知道为嘛收视那么低，搞的还要提前结束，哎西~            
(4星)	 不管收视率如何，徐在熙是个让人心动的男人。            
(5星)	 我也希望我是花            
(5星)	 一部为2011年冬天带来温暖和快乐的优秀韩剧！            
(5星)	 男主很棒，又开始HC了~~            
(2星)	 两星是给女主角的演技的            
(NA)	 唯一有共鸣的点是抑郁症。。。男主苦大仇深的过去的设定实在太无趣了。。            
(5星)	 平平淡淡就是爱。            
(5星)	 这部剧给我的教育是，再低的收视率，也不能掩盖一部电视剧给人的温馨和感动。很喜欢这样温馨的故事。            
(NA)	 ost每一首都很好听！很好看的剧情，狐狸眼男主看上去很小生，但其实很man哈哈，花样女主非常可爱，像我的某位友人，都是火爆脾气的美人儿啊~讲故事的手法精炼有条理，能够适当的放包袱解包袱，让人看得很舒服很喜欢，是部可以回味的好剧！            
(3星)	 有点看不下去，不喜欢男主角的长相啊，还那么多人爱。            
(4星)	 李智雅这个造型还蛮好看的 我对尹时允好感度提升了  剧情非常追人            
(5星)	 我现在就是尹时润的脑残粉，光看人也行啊，不过剧本也是不错的            
(5星)	 很好看            
(NA)	 音乐很不错 两个主角也很喜欢，怎么收视率就低靡呢 看来上映的不是时候            
(4星)	 男一男二都挺不错昂。            
(4星)	None
(4星)	 目前认为的超超超好看的一部剧 男主超帅的啊！！            
(5星)	 我爱死了尹施允❤❤❤            
(NA)	 啊！！！！！我的少女心啊！！！            
(3星)	 忍了8集，很好的本子，换了这对男女主角也许会好很多倍。虽然尹时允因为highkick2的缘故感觉亲切，但这孩子实在是长得太孩子气了，男人味的感觉除了发脾气大喊大叫时有点，别的时候实在是自个儿也费力啊啊- -            
(4星)	 看了第一集，没想到女主角是70后，非常看轻。相比三顺姐可是老态很多。。。就这么完结，很不是滋味。最后集看了几遍，果然是三顺式的结局哦！出国没有？不知道…婚没有？不知道…可恶的MBC            
(5星)	 韩剧总是看不到最后，打发时间也便完了。这个剧两个主角倒是很抓人，存在感很强的抑郁症女主，有阴影、狠起来眼神不错的男主，外加女二女三男二还有小巡警每个人的性格塑造的都挺好，又不怎么撒狗血，看得我真是很触动很触动啊= =PS.觉得女主那个演员挺不错的 减一集好桑心。。            
(3星)	 烂尾。。            
(4星)	 拍的內容大前提下無新意，小前提下卻很多細節驚喜。            
(NA)	 趙馬路啊 沒有你要怎麼看這電視...            
(3星)	 前面几集吸引人，后面不免俗套了。            
(4星)	 还不错。因为我喜欢主角的性格。当然，剧情还是差得很，我只喜欢细节。            
(5星)	 喜欢尹施允，喜欢他的笑，也许是因为似曾相似的感觉。            
(5星)	 赞啊~~~            
(5星)	 男主女主都爱!男主让我想起唐易这个男人，温柔，暴戾。但这个男人更可爱~            
(4星)	 不知道为毛这样的剧情，吸引不了韩国观众的心，收视率低下，以至草草结局，如果非要较真里面的情节安排是否合理，大可没有必要，我关心的只是编剧的用心和演员的功力            
(5星)	 这是我两年以来看过最好的偶像剧！            
(5星)	 其实是一部很好看的剧！            
(5星)	 真心好好看好好看，OST也首首亮点呀。            
(5星)	 帅气啊 太帅了- -            
(3星)	 太拖，凑合着看完了            
(4星)	 两个人相爱了反而变得不好看，果然暧昧是最美好的            
(5星)	 2011年我除了城市猎人最喜欢的剧~~~绝对的低收视但是剧情，演员绝对有保证，只是对手过于强大~~一如今天的暴力罗曼史的地位~            
(3星)	 韩剧前五、六集用心制作，惯性烂尾的定律，对我的作用就是前半段牵肠挂肚，后半多拖过。此剧有点乱，男女主角感情的产生有点莫名其妙。这姐弟恋的搭配真是，女主表现平平，男主虽然年轻，但还是很有气场的。            
